material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
migo;Cake7.bmp;8;0;7;4;0;0;0;0;0;0;repeated_related;lure
migo;Nut2.bmp;31;2;5;4;7;7;0;0;7;7;center;target
migo;Biscuit20.bmp;3;0;5;2;0;0;0;0;0;0;repeated;lure
migo;Coins3.bmp;13;4;3;3;11;11;39;39;25;39;repeated;target
migo;Hand17.bmp;21;0;3;2;0;0;0;0;0;0;center;lure
migo;Jigsaw14.bmp;24;1;1;1;44;0;0;0;44;44;control;target
migo;Bag5.bmp;2;1;9;4;37;0;0;0;37;37;related;target
migo;Bun17.bmp;6;1;2;1;23;0;0;0;23;23;control;target
migo;Apple18.bmp;1;3;7;4;10;10;41;0;20,333333;41;repeated_related;target
migo;Fudge17.bmp;18;0;2;1;0;0;0;0;0;0;control;lure
migo;Star1.bmp;42;0;3;3;0;0;0;0;0;0;related;lure
migo;Button10.bmp;7;0;5;2;0;0;0;0;0;0;repeated;lure
migo;Lipstick3.bmp;28;3;7;4;9;9;24;0;14;24;repeated_related;target
migo;Tomato18.bmp;47;3;1;1;7;26;26;0;19,666667;26;repeated;target
migo;Toothbrush12.bmp;48;0;2;1;0;0;0;0;0;0;control;lure
migo;Onion18.bmp;32;0;7;4;0;0;0;0;0;0;repeated_related;lure
migo;Umbrella21.bmp;49;1;10;4;14;0;0;0;14;14;related;target
migo;Leaf10.bmp;27;0;4;2;0;0;0;0;0;0;center;lure
migo;Screw13.bmp;39;0;3;3;0;0;0;0;0;0;related;lure
migo;Keys5.bmp;26;3;5;4;19;27;27;0;24,333333;27;center;target
