material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
words;stickstoff;48;4;3;3;22;22;38;38;30;38;repeated;target
words;dolch;36;1;9;4;20;0;0;0;20;20;related;target
words;millimeter;72;3;8;4;27;27;62;0;38,666667;62;repeated_related;target
words;herzog;53;1;9;4;61;0;0;0;61;61;related;target
words;gin;69;0;5;2;0;0;0;0;0;0;repeated;lure
words;zwilling;39;0;3;2;0;0;0;0;0;0;center;lure
words;stuttgart;16;0;9;4;0;0;0;0;0;0;repeated_related;lure
words;lunge;42;0;4;3;0;0;0;0;0;0;related;lure
words;glas;31;3;0;0;26;26;34;0;28,666667;34;repeated;target
words;lehrer;11;0;3;2;0;0;0;0;0;0;related;lure
words;computer;33;3;7;3;24;57;57;0;46;57;repeated_related;target
words;gymnasium;20;1;1;1;51;0;0;0;51;51;control;target
words;schmecken;65;3;5;3;11;11;44;0;22;44;center;target
words;biene;13;3;3;3;28;28;54;0;36,666667;54;repeated;target
words;yacht;35;0;9;4;0;0;0;0;0;0;repeated_related;lure
words;horrorfilm;59;1;1;1;64;0;0;0;64;64;control;target
words;spinat;2;0;3;1;0;0;0;0;0;0;control;lure
words;wimperntusche;37;3;7;4;5;5;63;0;24,333333;63;repeated_related;target
words;peugeot;30;1;11;4;13;0;0;0;13;13;related;target
words;kupplung;63;1;1;1;63;0;0;0;63;63;control;target
words;sonnenschein;61;0;5;2;0;0;0;0;0;0;repeated;lure
words;banane;3;0;3;2;0;0;0;0;0;0;related;lure
words;kirche;52;2;5;3;18;57;0;0;37,5;57;center;target
words;windpocken;22;0;3;2;0;0;0;0;0;0;center;lure
words;gepard;40;2;7;4;21;33;0;0;27;33;center;target
words;tanne;10;0;9;4;0;0;0;0;0;0;repeated_related;lure
words;asien;38;0;4;2;0;0;0;0;0;0;repeated;lure
words;physik;19;0;2;1;0;0;0;0;0;0;control;lure
words;bein;1;0;3;1;0;0;0;0;0;0;control;lure
words;meer;67;0;3;2;0;0;0;0;0;0;center;lure
