material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
words;hammer;4;3;8;4;29;29;57;0;38,333333;57;repeated_related;target
words;dänemark;18;0;4;2;0;0;0;0;0;0;repeated;lure
words;wimperntusche;37;0;10;4;0;0;0;0;0;0;repeated_related;lure
words;bohnen;2;0;3;2;0;0;0;0;0;0;control;lure
words;nordamerika;38;0;3;3;0;0;0;0;0;0;related;lure
words;zug;34;3;3;3;26;26;53;0;35;53;repeated;target
words;vivaldi;51;3;6;4;27;59;59;0;48,333333;59;center;target
words;backgammon;57;3;7;4;13;36;36;0;28,333333;36;repeated_related;target
words;wodka;69;0;3;3;0;0;0;0;0;0;related;lure
words;haschisch;54;2;6;4;7;33;0;0;20;33;center;target
words;münchen;16;0;9;4;0;0;0;0;0;0;repeated_related;lure
words;sicherheitsnadel;70;0;3;2;0;0;0;0;0;0;center;lure
words;kugelschreiber;28;1;9;4;32;0;0;0;32;32;related;target
words;millimeter;72;1;9;4;38;0;0;0;38;38;related;target
words;tiger;40;0;3;3;0;0;0;0;0;0;related;lure
words;actionfilm;59;3;7;4;18;49;49;0;38,666667;49;repeated_related;target
words;backform;68;1;9;4;26;0;0;0;26;26;related;target
words;boot;35;0;3;2;0;0;0;0;0;0;control;lure
words;schwert;36;2;6;4;37;37;0;0;37;37;center;target
words;rock;5;3;3;3;30;46;46;0;40,666667;46;repeated;target
words;brieföffner;32;0;3;2;0;0;0;0;0;0;control;lure
words;lilie;7;0;10;4;0;0;0;0;0;0;repeated_related;lure
words;posaune;14;0;4;2;0;0;0;0;0;0;repeated;lure
words;grippe;22;3;3;3;25;25;44;0;31,333333;44;repeated;target
words;realschule;20;0;4;2;0;0;0;0;0;0;repeated;lure
words;kerosin;29;1;2;1;47;0;0;0;47;47;control;target
words;steinbock;39;0;4;2;0;0;0;0;0;0;center;lure
words;flanell;24;1;2;1;39;0;0;0;39;39;control;target
words;kaiser;53;0;3;2;0;0;0;0;0;0;center;lure
words;banane;3;1;1;1;17;0;0;0;17;17;control;target
