material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
brady;highchair_10.bmp;32;0;4;3;0;0;0;0;0;0;related;lure
brady;beanbagchair_14.bmp;5;1;9;4;55;0;0;0;55;55;related;target
brady;speaker_6.bmp;60;0;9;4;0;0;0;0;0;0;repeated_related;lure
brady;backpack_16.bmp;3;1;1;1;60;0;0;0;60;60;control;target
brady;doorknocker_4.bmp;20;3;3;3;19;43;43;0;35;43;repeated;target
brady;watch_14.bmp;69;0;3;1;0;0;0;0;0;0;control;lure
brady;shoe_7.bmp;54;0;4;2;0;0;0;0;0;0;center;lure
brady;flashlight_12.bmp;23;0;4;2;0;0;0;0;0;0;repeated;lure
brady;laptop_10.bmp;36;3;3;3;14;14;40;0;22,666667;40;repeated;target
brady;pasta_10.bmp;42;1;1;1;7;0;0;0;7;7;control;target
brady;router_12.bmp;49;1;5;4;50;0;0;0;50;50;center;target
brady;wig_12.bmp;71;0;2;2;0;0;0;0;0;0;related;lure
brady;carriage_12.bmp;11;2;5;3;4;4;0;0;4;4;center;target
brady;garbagecan_10.bmp;24;0;4;1;0;0;0;0;0;0;repeated;lure
brady;rollerskates_17.bmp;48;0;4;2;0;0;0;0;0;0;center;lure
brady;saltpeppershake_12.bmp;52;0;2;1;0;0;0;0;0;0;control;lure
brady;remote_13.bmp;46;0;4;2;0;0;0;0;0;0;repeated;lure
brady;powerstrip_10.bmp;44;1;1;1;31;0;0;0;31;31;control;target
brady;scooter_5.bmp;53;0;9;4;0;0;0;0;0;0;repeated_related;lure
brady;glasses_9.bmp;25;1;9;4;25;0;0;0;25;25;related;target
brady;cake_14.bmp;8;0;3;2;0;0;0;0;0;0;related;lure
brady;cellphone_8.bmp;13;0;3;2;0;0;0;0;0;0;center;lure
brady;orifan_14.bmp;40;2;5;4;46;46;0;0;46;46;center;target
brady;jacket_10.bmp;35;3;8;4;20;20;42;0;27,333333;42;repeated_related;target
brady;cherubstatue_12.bmp;16;3;9;4;29;47;47;0;41;47;repeated_related;target
brady;shredder_7.bmp;55;1;10;4;7;0;0;0;7;7;related;target
brady;saddle_5.bmp;51;3;3;3;13;57;57;0;42,333333;57;repeated;target
brady;leatherman_10.bmp;38;0;2;1;0;0;0;0;0;0;control;lure
brady;abacus_6.bmp;1;3;8;4;3;56;56;0;38,333333;56;repeated_related;target
brady;sofa_12.bmp;59;0;8;4;0;0;0;0;0;0;repeated_related;lure
