experiment	subject	trial	order	material	repeated	related	probetype	response	correct	rt	confidence	confidence_rt	probe	category	ndisplayed	nrelated	nrelated_unique	trial1	trial2	trial3	trial4	mean_trial	last_trial	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	106	-1	5	brady	2	2	lure	1	0	1334	4	2846	orifan_14.bmp	40	0	10	4	0	0	0	0	0,000000	0	26	1	1	1	1	HUMANMEDIZIN
FAUST_1[2014-06]	106	-1	5	brady	2	1	lure	2	1	1266	4	1798	leatherman_10.bmp	38	0	4	1	0	0	0	0	0,000000	0	26	1	1	1	1	HUMANMEDIZIN
FAUST_1[2014-06]	106	-1	5	brady	3	3	target	1	1	850	4	1261	cellphone_12.bmp	13	2	6	4	34	34	0	0	34,000000	34	26	1	1	1	1	HUMANMEDIZIN
FAUST_1[2014-06]	106	-1	5	brady	2	2	target	1	1	850	4	989	rusdoll_1.bmp	50	3	7	4	24	43	43	0	36,000000	43	26	1	1	1	1	HUMANMEDIZIN
FAUST_1[2014-06]	106	-1	5	brady	1	2	lure	1	0	1953	4	991	printer_3.bmp	45	0	3	3	0	0	0	0	0,000000	0	26	1	1	1	1	HUMANMEDIZIN
FAUST_1[2014-06]	106	-1	5	brady	2	2	target	1	1	911	4	689	guitar_14.bmp	28	3	8	4	18	18	35	0	23,000000	35	26	1	1	1	1	HUMANMEDIZIN
FAUST_1[2014-06]	106	-1	5	brady	3	3	lure	1	0	990	4	1130	watch_8.bmp	69	0	4	2	0	0	0	0	0,000000	0	26	1	1	1	1	HUMANMEDIZIN
FAUST_1[2014-06]	106	-1	5	brady	3	3	lure	2	1	1590	2	1042	powerstrip_14.bmp	44	0	3	2	0	0	0	0	0,000000	0	26	1	1	1	1	HUMANMEDIZIN
FAUST_1[2014-06]	106	-1	5	brady	2	1	target	2	0	2005	2	923	parfait_13.bmp	41	4	3	3	16	16	62	62	39,000000	62	26	1	1	1	1	HUMANMEDIZIN
FAUST_1[2014-06]	106	-1	5	brady	1	1	lure	2	1	1459	2	949	trophy_14.bmp	62	0	2	2	0	0	0	0	0,000000	0	26	1	1	1	1	HUMANMEDIZIN
FAUST_1[2014-06]	106	-1	5	brady	2	1	target	2	0	1366	3	890	sofa_9.bmp	59	3	0	0	1	1	38	0	13,000000	38	26	1	1	1	1	HUMANMEDIZIN
