experiment	subject	block	trial	order	material	repeated	related	probetype	response	correct	rt	math_response	math_correctresponse	math_correct	math_rt	confidence	confidence_rt	probe	item1	item2	item3	item4	item5	item6	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	16	1	6	5	3	1	1	1	1	1	4342	2	2	1	1346	3	2138	watch_3.bmp	watch_3.bmp	abacus_6.bmp	abacus_15.bmp	abacus_4.bmp	abacus_7.bmp	abacus_4.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	17	5	3	2	1	1	2	0	7456	2	1	0	1931	3	3917	trumpet_5.bmp	chair_11.bmp	chair_16.bmp	trumpet_5.bmp	chair_3.bmp	chair_2.bmp	trumpet_5.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	14	5	3	1	2	1	1	1	6042	2	2	1	698	3	5981	flashlight_12.bmp	flashlight_2.bmp	flashlight_17.bmp	flashlight_12.bmp	hairbrush_16.bmp	flashlight_1.bmp	hairbrush_16.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	18	5	3	2	2	1	1	1	2419	2	1	0	1087	4	5873	videogamecontroller_13.bmp	videogamecontroller_11.bmp	glove_15.bmp	videogamecontroller_3.bmp	videogamecontroller_13.bmp	videogamecontroller_2.bmp	videogamecontroller_13.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	29	5	3	1	1	1	2	0	10932	1	2	0	1751	3	2860	goggle_1.bmp	goggle_1.bmp	garbagecan_17.bmp	garbagecan_8.bmp	garbagecan_2.bmp	garbagecan_10.bmp	garbagecan_2.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	10	5	3	2	1	1	2	0	5311	1	1	1	1191	3	6579	scooter_5.bmp	doorknocker_11.bmp	scooter_5.bmp	doorknocker_4.bmp	doorknocker_5.bmp	doorknocker_14.bmp	scooter_5.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	20	5	3	1	2	1	1	1	2045	1	1	1	1903	3	2614	speaker_6.bmp	speaker_10.bmp	speaker_15.bmp	printer_16.bmp	speaker_17.bmp	printer_16.bmp	speaker_6.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	30	5	3	2	2	1	1	1	1627	2	1	0	2255	4	5028	socks_4.bmp	socks_12.bmp	socks_15.bmp	skateboard_15.bmp	socks_4.bmp	socks_10.bmp	socks_4.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	22	5	3	1	1	1	1	1	4650	1	2	0	2100	4	2239	sofa_9.bmp	circuitboard_16.bmp	circuitboard_4.bmp	circuitboard_16.bmp	sofa_9.bmp	circuitboard_2.bmp	circuitboard_13.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	25	5	3	2	1	1	1	1	3738	2	2	1	1654	4	2598	carabiner_2.bmp	carabiner_2.bmp	guitar_8.bmp	carabiner_2.bmp	guitar_5.bmp	guitar_7.bmp	guitar_10.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	4	5	3	1	2	1	1	1	4894	-1	1	0	0	3	4154	lawnmower_17.bmp	easteregg_14.bmp	lawnmower_8.bmp	easteregg_14.bmp	lawnmower_3.bmp	lawnmower_15.bmp	lawnmower_17.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	16	5	3	2	2	1	1	1	3882	2	2	1	2038	4	13886	highchair_15.bmp	highchair_3.bmp	highchair_10.bmp	highchair_15.bmp	highchair_6.bmp	cherubstatue_5.bmp	highchair_15.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	3	5	3	1	1	2	2	1	3043	2	2	1	2840	4	3067	plant_2.bmp	leatherman_14.bmp	leatherman_2.bmp	leatherman_7.bmp	plant_8.bmp	leatherman_5.bmp	leatherman_7.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	8	5	3	2	1	2	2	1	3461	2	2	1	1338	4	2180	watergun_7.bmp	watergun_9.bmp	turtle_6.bmp	watergun_9.bmp	turtle_11.bmp	turtle_12.bmp	turtle_7.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	19	5	3	1	2	2	1	0	1694	2	2	1	1618	3	2513	orifan_17.bmp	saltpeppershake_12.bmp	orifan_14.bmp	orifan_7.bmp	orifan_6.bmp	saltpeppershake_12.bmp	orifan_1.bmp	53	1	1	1	2	PHYSICK
FAUST_1[2014-06]	16	1	13	5	3	2	2	2	2	1	8781	2	1	0	1452	2	3850	beanbagchair_17.bmp	beanbagchair_12.bmp	beanbagchair_3.bmp	beanbagchair_15.bmp	beanbagchair_14.bmp	laptop_7.bmp	beanbagchair_14.bmp	53	1	1	1	2	PHYSICK
