material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
migo;Pen17.bmp;35;0;4;2;0;0;0;0;0;0;center;lure
migo;Plug18.bmp;36;1;9;4;21;0;0;0;21;21;related;target
migo;Star19.bmp;42;0;3;2;0;0;0;0;0;0;center;lure
migo;Chocolate17.bmp;12;0;4;2;0;0;0;0;0;0;repeated;lure
migo;Toothbrush9.bmp;48;0;10;4;0;0;0;0;0;0;repeated_related;lure
migo;Daff3.bmp;14;0;10;4;0;0;0;0;0;0;repeated_related;lure
migo;Candle17.bmp;9;3;3;3;3;24;24;0;17;24;repeated;target
migo;Jigsaw11.bmp;24;2;4;3;44;44;0;0;44;44;center;target
migo;Umbrella19.bmp;49;0;2;2;0;0;0;0;0;0;related;lure
migo;Lipstick2.bmp;28;0;2;1;0;0;0;0;0;0;control;lure
migo;Nut11.bmp;31;0;2;1;0;0;0;0;0;0;control;lure
migo;Cake24.bmp;8;4;7;4;6;6;23;23;14,5;23;repeated_related;target
migo;Bag5.bmp;2;1;9;4;32;0;0;0;32;32;related;target
migo;Hanger12.bmp;22;3;8;4;7;43;43;0;31;43;repeated_related;target
migo;Button10.bmp;7;0;4;3;0;0;0;0;0;0;related;lure
migo;Scissors3.bmp;38;1;6;4;42;0;0;0;42;42;center;target
migo;Hand8.bmp;21;3;1;1;3;3;44;0;16,666667;44;repeated;target
migo;Man24.bmp;29;0;6;2;0;0;0;0;0;0;repeated;lure
migo;Tomato5.bmp;47;1;1;1;23;0;0;0;23;23;control;target
migo;Chilli19.bmp;11;1;1;1;29;0;0;0;29;29;control;target
