material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
brady;shredder_1.bmp;55;0;2;2;0;0;0;0;0;0;related;lure
brady;cat_5.bmp;12;0;9;4;0;0;0;0;0;0;repeated_related;lure
brady;iceskates_14.bmp;34;0;3;2;0;0;0;0;0;0;related;lure
brady;shoe_13.bmp;54;0;4;1;0;0;0;0;0;0;repeated;lure
brady;trunk_1.bmp;64;3;8;4;26;48;48;0;40,666667;48;repeated_related;target
brady;coffee_2.bmp;18;0;11;4;0;0;0;0;0;0;repeated_related;lure
brady;scooter_11.bmp;53;2;5;4;56;56;0;0;56;56;center;target
brady;saltpeppershake_9.bmp;52;0;9;4;0;0;0;0;0;0;repeated;lure
brady;cheesegrater_15.bmp;15;3;3;3;9;9;37;0;18,333333;37;repeated;target
brady;cake_14.bmp;8;0;2;1;0;0;0;0;0;0;control;lure
brady;vase_1.bmp;67;0;3;2;0;0;0;0;0;0;center;lure
brady;lawnmower_15.bmp;37;1;9;4;35;0;0;0;35;35;related;target
brady;sink_1.bmp;56;3;8;4;6;6;50;0;20,666667;50;repeated_related;target
brady;windchime_10.bmp;72;0;5;2;0;0;0;0;0;0;repeated;lure
brady;abacus_2.bmp;1;1;8;4;40;0;0;0;40;40;related;target
brady;camera_7.bmp;9;0;10;4;0;0;0;0;0;0;repeated_related;lure
brady;skateboard_11.bmp;57;1;1;1;36;0;0;0;36;36;control;target
brady;backpack_13.bmp;3;3;3;3;31;33;33;0;32,333333;33;repeated;target
brady;powerstrip_10.bmp;44;0;2;1;0;0;0;0;0;0;control;lure
brady;birdhouse_6.bmp;6;1;1;1;55;0;0;0;55;55;control;target
brady;highchair_10.bmp;32;4;3;3;8;8;40;40;24;40;repeated;target
brady;garbagecan_10.bmp;24;0;2;1;0;0;0;0;0;0;control;lure
brady;beanbagchair_15.bmp;5;3;5;4;9;61;61;0;43,666667;61;center;target
brady;saddle_5.bmp;51;0;4;4;0;0;0;0;0;0;related;lure
brady;speaker_10.bmp;60;1;9;4;5;0;0;0;5;5;related;target
brady;jacket_10.bmp;35;1;1;1;17;0;0;0;17;17;control;target
brady;tricycle_15.bmp;61;0;3;2;0;0;0;0;0;0;center;lure
brady;hairbrush_7.bmp;29;2;5;4;23;23;0;0;23;23;center;target
brady;printer_1.bmp;45;3;8;4;27;64;64;0;51,666667;64;repeated_related;target
brady;laptop_16.bmp;36;0;3;2;0;0;0;0;0;0;center;lure
