material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
words;zeitung;27;0;3;3;0;0;0;0;0;0;related;lure
words;leber;42;1;10;4;38;0;0;0;38;38;related;target
words;verb;66;0;4;2;0;0;0;0;0;0;center;lure
words;kamera;33;0;9;4;0;0;0;0;0;0;repeated_related;lure
words;fuß;1;3;7;4;20;57;57;0;44,666667;57;repeated_related;target
words;erdkunde;19;2;4;3;21;59;0;0;40;59;center;target
words;backblech;68;1;9;4;40;0;0;0;40;40;related;target
words;kohlenstoff;48;1;1;1;46;0;0;0;46;46;control;target
words;banane;3;0;4;2;0;0;0;0;0;0;repeated;lure
words;gummibärchen;55;0;3;2;0;0;0;0;0;0;center;lure
words;klebeband;32;0;5;2;0;0;0;0;0;0;repeated;lure
words;audi;30;0;8;4;0;0;0;0;0;0;repeated_related;lure
words;saturn;60;3;0;0;2;2;47;0;17;47;repeated;target
words;polizist;11;1;9;4;11;0;0;0;11;11;related;target
words;becher;31;3;8;4;10;47;47;0;34,666667;47;repeated_related;target
words;flöte;14;1;2;1;18;0;0;0;18;18;control;target
words;schiff;35;0;3;2;0;0;0;0;0;0;center;lure
words;thüringen;41;3;3;3;24;60;60;0;48;60;repeated;target
words;pistole;36;0;2;2;0;0;0;0;0;0;control;lure
words;windpocken;22;3;0;0;20;20;45;0;28,333333;45;repeated;target
words;gabel;21;0;5;2;0;0;0;0;0;0;repeated;lure
words;regen;61;0;8;4;0;0;0;0;0;0;repeated_related;lure
words;tochter;45;0;2;2;0;0;0;0;0;0;related;lure
words;tennis;8;0;2;1;0;0;0;0;0;0;control;lure
words;könig;53;0;2;1;0;0;0;0;0;0;control;lure
words;asien;38;1;1;1;39;0;0;0;39;39;control;target
words;hamburger;43;2;5;3;52;52;0;0;52;52;center;target
words;theater;58;3;7;4;31;31;50;0;37,333333;50;repeated_related;target
words;rhein;17;0;3;2;0;0;0;0;0;0;related;lure
words;dänemark;18;2;4;4;6;6;0;0;6;6;center;target
