material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
words;flasche;31;1;8;4;8;0;0;0;8;8;related;target
words;gymnasium;20;0;2;1;0;0;0;0;0;0;control;lure
words;könig;53;0;2;2;0;0;0;0;0;0;related;lure
words;hessen;41;1;1;1;31;0;0;0;31;31;control;target
words;richter;11;3;3;3;15;15;60;0;30;60;repeated;target
words;kohlenstoff;48;1;1;1;27;0;0;0;27;27;control;target
words;hemd;5;3;7;4;12;64;64;0;46,666667;64;repeated_related;target
words;tochter;45;0;5;2;0;0;0;0;0;0;repeated;lure
words;schreiben;26;0;8;4;0;0;0;0;0;0;repeated_related;lure
words;vampir;50;0;3;1;0;0;0;0;0;0;control;lure
words;trauer;44;0;4;3;0;0;0;0;0;0;related;lure
words;schweiz;18;3;3;3;11;53;53;0;39;53;repeated;target
words;zange;4;0;3;2;0;0;0;0;0;0;center;lure
words;mücke;13;3;8;4;6;58;58;0;40,666667;58;repeated_related;target
words;baumwolle;24;0;8;4;0;0;0;0;0;0;repeated_related;lure
words;eiche;10;0;2;2;0;0;0;0;0;0;related;lure
words;asien;38;0;10;4;0;0;0;0;0;0;repeated_related;lure
words;stecknadel;70;0;3;2;0;0;0;0;0;0;center;lure
words;baracke;23;4;1;1;14;14;39;39;26,5;39;repeated;target
words;heroin;54;2;4;3;10;10;0;0;10;10;center;target
words;kirche;52;0;4;2;0;0;0;0;0;0;center;lure
words;mark;47;1;1;1;32;0;0;0;32;32;control;target
words;tisch;6;0;3;1;0;0;0;0;0;0;control;lure
words;nomen;66;2;5;4;29;33;0;0;31;33;center;target
words;lippenstift;37;1;9;4;40;0;0;0;40;40;related;target
words;münchen;16;1;5;4;19;0;0;0;19;19;center;target
words;forelle;12;1;8;4;13;0;0;0;13;13;related;target
words;silber;15;3;8;3;2;2;62;0;22;62;repeated_related;target
words;drucker;33;0;4;2;0;0;0;0;0;0;repeated;lure
words;donau;17;0;5;1;0;0;0;0;0;0;repeated;lure
