material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
migo;Bracelet2.bmp;4;3;8;4;13;37;37;0;29;37;repeated_related;target
migo;Candle17.bmp;9;1;1;1;24;0;0;0;24;24;control;target
migo;Ginger5.bmp;19;3;3;3;19;30;30;0;26,333333;30;repeated;target
migo;Chocolate24.bmp;12;0;4;3;0;0;0;0;0;0;center;lure
migo;Button14.bmp;7;0;3;2;0;0;0;0;0;0;control;lure
migo;Plug4.bmp;36;1;9;4;43;0;0;0;43;43;related;target
migo;Man10.bmp;29;0;2;2;0;0;0;0;0;0;control;lure
migo;Car13.bmp;10;0;3;3;0;0;0;0;0;0;related;lure
migo;Hanger14.bmp;22;3;7;4;20;26;26;0;24;26;repeated_related;target
migo;Bun5.bmp;6;1;5;4;35;0;0;0;35;35;center;target
migo;Glass16.bmp;20;0;3;3;0;0;0;0;0;0;related;lure
migo;Sweet22.bmp;45;0;9;4;0;0;0;0;0;0;repeated_related;lure
migo;Lipstick3.bmp;28;4;0;0;7;7;35;35;21;35;repeated;target
migo;Feather11.bmp;15;0;4;2;0;0;0;0;0;0;repeated;lure
migo;Nut11.bmp;31;0;3;2;0;0;0;0;0;0;center;lure
migo;Swirl13.bmp;46;0;5;2;0;0;0;0;0;0;repeated;lure
migo;Onion13.bmp;32;1;9;4;1;0;0;0;1;1;related;target
migo;Leaf10.bmp;27;3;4;4;21;41;41;0;34,333333;41;center;target
migo;Biscuit9.bmp;3;0;7;4;0;0;0;0;0;0;repeated_related;lure
migo;Pear4.bmp;34;1;1;1;42;0;0;0;42;42;control;target
