experiment	subject	trial	order	material	repeated	related	probetype	response	correct	rt	confidence	confidence_rt	probe	category	ndisplayed	nrelated	nrelated_unique	trial1	trial2	trial3	trial4	mean_trial	last_trial	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	34	-1	6	brady	1	2	lure	2	1	6992	1	2227	flashlight_13.bmp	23	0	3	3	0	0	0	0	0,000000	0	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	3	3	target	1	1	4667	4	1240	guitar_5.bmp	28	2	5	4	61	61	0	0	61,000000	61	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	1	1	lure	2	1	1910	3	429	saltpeppershake_2.bmp	52	0	2	2	0	0	0	0	0,000000	0	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	2	2	target	1	1	1042	2	681	camera_4.bmp	9	3	7	4	3	57	57	0	39,000000	57	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	3	3	lure	1	0	1552	3	963	tricycle_5.bmp	61	0	4	2	0	0	0	0	0,000000	0	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	1	2	lure	1	0	1076	2	1241	videogamecontroller_13.bmp	68	0	3	3	0	0	0	0	0,000000	0	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	1	1	target	1	1	1105	4	745	cellphone_4.bmp	13	1	2	1	64	0	0	0	64,000000	64	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	3	3	target	1	1	853	4	1150	jacket_13.bmp	35	2	6	4	8	56	0	0	32,000000	56	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	2	2	target	1	1	1356	2	1062	parfait_13.bmp	41	3	7	4	21	37	37	0	31,000000	37	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	2	1	target	1	1	1040	4	795	trunk_7.bmp	64	3	3	3	5	5	62	0	24,000000	62	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	1	1	lure	2	1	3312	2	963	chair_11.bmp	14	0	3	1	0	0	0	0	0,000000	0	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	2	1	target	1	1	921	3	906	router_12.bmp	49	2	1	1	7	7	0	0	7,000000	7	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	1	2	target	1	1	1218	1	817	fan_17.bmp	22	1	8	3	11	0	0	0	11,000000	11	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	3	3	target	1	1	900	4	870	doorknob_10.bmp	19	2	5	3	54	54	0	0	54,000000	54	31	1	1	1	1	ÖKOLOGIE
FAUST_1[2014-06]	34	-1	6	brady	3	3	lure	2	1	1639	3	708	shoe_9.bmp	54	0	3	2	0	0	0	0	0,000000	0	31	1	1	1	1	ÖKOLOGIE
