material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
words;hammer;4;0;4;1;0;0;0;0;0;0;control;lure
words;tempel;52;3;7;4;16;45;45;0;35,333333;45;repeated_related;target
words;walzer;62;0;3;3;0;0;0;0;0;0;related;lure
words;kaiser;53;0;2;2;0;0;0;0;0;0;control;lure
words;realschule;20;1;5;4;51;0;0;0;51;51;center;target
words;adjektiv;66;0;3;2;0;0;0;0;0;0;center;lure
words;lilie;7;3;7;4;15;15;47;0;25,666667;47;repeated_related;target
words;cent;47;1;10;4;53;0;0;0;53;53;related;target
words;radio;27;0;9;4;0;0;0;0;0;0;repeated_related;lure
words;schach;57;1;9;4;59;0;0;0;59;59;related;target
words;bohnen;2;3;3;3;26;26;42;0;31,333333;42;repeated;target
words;hafer;64;0;3;2;0;0;0;0;0;0;center;lure
words;venus;60;0;4;3;0;0;0;0;0;0;related;lure
words;fink;9;1;1;1;9;0;0;0;9;9;control;target
words;meter;72;0;5;1;0;0;0;0;0;0;repeated;lure
words;schuppen;23;3;6;4;6;62;62;0;43,333333;62;center;target
words;schäferhund;46;0;9;4;0;0;0;0;0;0;repeated_related;lure
words;rot;49;0;4;2;0;0;0;0;0;0;repeated;lure
words;hose;5;0;3;2;0;0;0;0;0;0;control;lure
words;küchenwaage;68;0;4;3;0;0;0;0;0;0;related;lure
words;erdkunde;19;0;3;2;0;0;0;0;0;0;center;lure
words;pommes;43;1;1;1;50;0;0;0;50;50;control;target
words;stuhl;6;0;8;4;0;0;0;0;0;0;repeated_related;lure
words;lippenstift;37;0;5;2;0;0;0;0;0;0;repeated;lure
words;hexe;50;4;3;3;10;10;33;33;21,5;33;repeated;target
words;haschisch;54;1;9;4;17;0;0;0;17;17;related;target
words;bleifrei;29;1;1;1;60;0;0;0;60;60;control;target
words;glas;31;3;7;4;3;56;56;0;38,333333;56;repeated_related;target
words;oboe;14;2;5;3;32;35;0;0;33,5;35;center;target
words;mücke;13;4;0;0;8;8;54;54;31;54;repeated;target
