experiment	subject	block	trial	order	material	repeated	related	probetype	response	correct	rt	math_response	math_correctresponse	math_correct	math_rt	confidence	confidence_rt	probe	item1	item2	item3	item4	item5	item6	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	123	1	13	3	2	1	1	1	2	0	8382	1	1	1	2153	1	1379	Umbrella6.bmp	Mushroom18.bmp	Umbrella6.bmp	Mushroom18.bmp	Mushroom25.bmp	Mushroom7.bmp	Mushroom6.bmp	23	1	1	1	1	ROMANISTIKSPANISCHGEOGRAPHIE
FAUST_1[2014-06]	123	1	19	3	2	2	1	1	1	1	5634	2	1	0	1824	3	1401	Bracelet1.bmp	Present2.bmp	Bracelet1.bmp	Present17.bmp	Present9.bmp	Present3.bmp	Bracelet1.bmp	23	1	1	1	1	ROMANISTIKSPANISCHGEOGRAPHIE
FAUST_1[2014-06]	123	1	6	3	2	1	2	1	1	1	3068	2	1	0	2850	4	2905	Hand17.bmp	Apple5.bmp	Hand1.bmp	Hand10.bmp	Apple5.bmp	Hand17.bmp	Hand8.bmp	23	1	1	1	1	ROMANISTIKSPANISCHGEOGRAPHIE
FAUST_1[2014-06]	123	1	16	3	2	2	2	1	1	1	2566	1	1	1	1964	3	4289	Swirl23.bmp	Swirl10.bmp	Plug18.bmp	Swirl13.bmp	Swirl23.bmp	Swirl5.bmp	Swirl23.bmp	23	1	1	1	1	ROMANISTIKSPANISCHGEOGRAPHIE
FAUST_1[2014-06]	123	1	22	3	2	1	1	1	1	1	1796	2	2	1	2150	4	1531	Varnish5.bmp	Lipstick2.bmp	Lipstick7.bmp	Lipstick3.bmp	Lipstick2.bmp	Varnish5.bmp	Lipstick15.bmp	23	1	1	1	1	ROMANISTIKSPANISCHGEOGRAPHIE
FAUST_1[2014-06]	123	1	12	3	2	2	1	1	1	1	3416	1	1	1	1881	3	4380	Shell18.bmp	Strawberry21.bmp	Shell18.bmp	Strawberry18.bmp	Shell18.bmp	Strawberry3.bmp	Strawberry4.bmp	23	1	1	1	1	ROMANISTIKSPANISCHGEOGRAPHIE
FAUST_1[2014-06]	123	1	17	3	2	1	2	1	1	1	3479	-1	2	0	0	3	1544	Fudge15.bmp	Fudge8.bmp	Paperclip14.bmp	Fudge15.bmp	Fudge20.bmp	Fudge5.bmp	Paperclip14.bmp	23	1	1	1	1	ROMANISTIKSPANISCHGEOGRAPHIE
FAUST_1[2014-06]	123	1	9	3	2	2	2	1	1	1	2829	-1	1	0	0	3	3109	Onion13.bmp	Glass3.bmp	Onion13.bmp	Onion19.bmp	Onion18.bmp	Onion14.bmp	Onion13.bmp	23	1	1	1	1	ROMANISTIKSPANISCHGEOGRAPHIE
FAUST_1[2014-06]	123	1	10	3	2	1	1	2	2	1	4011	1	1	1	2010	2	1733	Ginger17.bmp	Man10.bmp	Man24.bmp	Man15.bmp	Man24.bmp	Man2.bmp	Ginger15.bmp	23	1	1	1	1	ROMANISTIKSPANISCHGEOGRAPHIE
FAUST_1[2014-06]	123	1	18	3	2	2	1	2	2	1	1540	1	1	1	1881	3	1421	Key11.bmp	Key20.bmp	Holly20.bmp	Holly17.bmp	Holly3.bmp	Holly11.bmp	Key20.bmp	23	1	1	1	1	ROMANISTIKSPANISCHGEOGRAPHIE
