experiment	subject	material	item	category	stm_probe	ndisplayed	nrelated	nrelated_unique	1st_trial	2nd_trial	3rd_trial	4th_trail	mean_trail	last_trial
FAUST_1[2014-06]	118	words	bein	  1	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	arm	  1	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	kopf	  1	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	hand	  1	  0	  1	  1	  1	 53	  0	  0	  0	53,000000	53
FAUST_1[2014-06]	118	words	fuß	  1	  0	  1	  1	  1	 26	  0	  0	  0	26,000000	26
FAUST_1[2014-06]	118	words	spinat	  2	  1	  1	  7	  4	 24	  0	  0	  0	24,000000	24
FAUST_1[2014-06]	118	words	bohnen	  2	  0	  4	  4	  4	 24	 24	 61	 61	42,500000	61
FAUST_1[2014-06]	118	words	tomaten	  2	  0	  1	  7	  4	 24	  0	  0	  0	24,000000	24
FAUST_1[2014-06]	118	words	blumenkohl	  2	  0	  1	  7	  4	 24	  0	  0	  0	24,000000	24
FAUST_1[2014-06]	118	words	karotten	  2	  0	  1	  7	  4	 24	  0	  0	  0	24,000000	24
FAUST_1[2014-06]	118	words	banane	  3	  0	  1	  5	  3	 61	  0	  0	  0	61,000000	61
FAUST_1[2014-06]	118	words	apfel	  3	  0	  0	  6	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	birne	  3	  1	  2	  4	  3	 61	 61	  0	  0	61,000000	61
FAUST_1[2014-06]	118	words	pflaume	  3	  0	  1	  5	  3	 61	  0	  0	  0	61,000000	61
FAUST_1[2014-06]	118	words	erdbeere	  3	  0	  2	  4	  3	 25	 61	  0	  0	43,000000	61
FAUST_1[2014-06]	118	words	hammer	  4	  0	  0	  4	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	säge	  4	  0	  2	  2	  1	 36	 36	  0	  0	36,000000	36
FAUST_1[2014-06]	118	words	meißel	  4	  0	  2	  2	  1	 10	 10	  0	  0	10,000000	10
FAUST_1[2014-06]	118	words	bohrer	  4	  0	  0	  4	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	zange	  4	  0	  0	  4	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	hose	  5	  0	  1	  7	  4	 40	  0	  0	  0	40,000000	40
FAUST_1[2014-06]	118	words	jacke	  5	  0	  1	  7	  4	 30	  0	  0	  0	30,000000	30
FAUST_1[2014-06]	118	words	rock	  5	  0	  2	  6	  4	 30	 40	  0	  0	35,000000	40
FAUST_1[2014-06]	118	words	hemd	  5	  0	  2	  6	  4	 30	 40	  0	  0	35,000000	40
FAUST_1[2014-06]	118	words	bluse	  5	  0	  2	  6	  4	 30	 40	  0	  0	35,000000	40
FAUST_1[2014-06]	118	words	tisch	  6	  0	  2	  8	  4	 32	 55	  0	  0	43,500000	55
FAUST_1[2014-06]	118	words	stuhl	  6	  0	  1	  9	  4	 55	  0	  0	  0	55,000000	55
FAUST_1[2014-06]	118	words	schrank	  6	  0	  3	  7	  4	 32	 55	 55	  0	47,333333	55
FAUST_1[2014-06]	118	words	sofa	  6	  0	  2	  8	  4	 32	 55	  0	  0	43,500000	55
FAUST_1[2014-06]	118	words	regal	  6	  1	  2	  8	  4	 32	 55	  0	  0	43,500000	55
FAUST_1[2014-06]	118	words	rose	  7	  0	  1	  6	  3	 57	  0	  0	  0	57,000000	57
FAUST_1[2014-06]	118	words	tulpe	  7	  0	  0	  7	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	nelke	  7	  0	  4	  3	  3	 31	 31	 57	 57	44,000000	57
FAUST_1[2014-06]	118	words	lilie	  7	  0	  1	  6	  3	 57	  0	  0	  0	57,000000	57
FAUST_1[2014-06]	118	words	veilchen	  7	  0	  1	  6	  3	 57	  0	  0	  0	57,000000	57
FAUST_1[2014-06]	118	words	fußball	  8	  0	  1	  8	  4	  4	  0	  0	  0	4,000000	4
FAUST_1[2014-06]	118	words	tennis	  8	  1	  1	  8	  4	  4	  0	  0	  0	4,000000	4
FAUST_1[2014-06]	118	words	golf	  8	  0	  2	  7	  4	  4	  4	  0	  0	4,000000	4
FAUST_1[2014-06]	118	words	schwimmen	  8	  0	  1	  8	  4	  4	  0	  0	  0	4,000000	4
FAUST_1[2014-06]	118	words	skifahren	  8	  1	  4	  5	  4	  4	 40	 40	 40	31,000000	40
FAUST_1[2014-06]	118	words	amsel	  9	  0	  1	  5	  4	 13	  0	  0	  0	13,000000	13
FAUST_1[2014-06]	118	words	schwalbe	  9	  1	  2	  4	  4	 50	 50	  0	  0	50,000000	50
FAUST_1[2014-06]	118	words	fink	  9	  0	  1	  5	  4	 13	  0	  0	  0	13,000000	13
FAUST_1[2014-06]	118	words	taube	  9	  0	  1	  5	  4	 13	  0	  0	  0	13,000000	13
FAUST_1[2014-06]	118	words	meise	  9	  0	  1	  5	  4	 13	  0	  0	  0	13,000000	13
FAUST_1[2014-06]	118	words	eiche	 10	  1	  1	  5	  4	 60	  0	  0	  0	60,000000	60
FAUST_1[2014-06]	118	words	birke	 10	  1	  2	  4	  4	  1	 60	  0	  0	30,500000	60
FAUST_1[2014-06]	118	words	tanne	 10	  0	  1	  5	  4	 60	  0	  0	  0	60,000000	60
FAUST_1[2014-06]	118	words	weide	 10	  0	  1	  5	  4	 60	  0	  0	  0	60,000000	60
FAUST_1[2014-06]	118	words	buche	 10	  0	  1	  5	  4	 60	  0	  0	  0	60,000000	60
FAUST_1[2014-06]	118	words	lehrer	 11	  0	  1	  5	  3	 22	  0	  0	  0	22,000000	22
FAUST_1[2014-06]	118	words	arzt	 11	  0	  1	  5	  3	 22	  0	  0	  0	22,000000	22
FAUST_1[2014-06]	118	words	pfarrer	 11	  1	  2	  4	  3	 22	 38	  0	  0	30,000000	38
FAUST_1[2014-06]	118	words	polizist	 11	  0	  0	  6	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	richter	 11	  0	  2	  4	  3	 22	 22	  0	  0	22,000000	22
FAUST_1[2014-06]	118	words	forelle	 12	  1	  5	  6	  3	  2	  2	  2	 49	20,800000	49
FAUST_1[2014-06]	118	words	hering	 12	  0	  2	  9	  3	  2	 49	  0	  0	25,500000	49
FAUST_1[2014-06]	118	words	lachs	 12	  0	  2	  9	  3	  2	 49	  0	  0	25,500000	49
FAUST_1[2014-06]	118	words	thunfisch	 12	  0	  0	 11	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	makrele	 12	  0	  2	  9	  3	  2	 49	  0	  0	25,500000	49
FAUST_1[2014-06]	118	words	ameise	 13	  0	  1	  9	  4	 64	  0	  0	  0	64,000000	64
FAUST_1[2014-06]	118	words	mücke	 13	  1	  3	  7	  4	 12	 64	 64	  0	46,666667	64
FAUST_1[2014-06]	118	words	wespe	 13	  0	  2	  8	  4	 12	 12	  0	  0	12,000000	12
FAUST_1[2014-06]	118	words	biene	 13	  0	  2	  8	  4	 12	 64	  0	  0	38,000000	64
FAUST_1[2014-06]	118	words	hummel	 13	  0	  2	  8	  4	 12	 64	  0	  0	38,000000	64
FAUST_1[2014-06]	118	words	posaune	 14	  0	  1	  2	  1	 24	  0	  0	  0	24,000000	24
FAUST_1[2014-06]	118	words	klarinette	 14	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	oboe	 14	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	trompete	 14	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	flöte	 14	  1	  2	  1	  1	 45	 45	  0	  0	45,000000	45
FAUST_1[2014-06]	118	words	gold	 15	  0	  2	  8	  4	  9	 42	  0	  0	25,500000	42
FAUST_1[2014-06]	118	words	silber	 15	  0	  1	  9	  4	  9	  0	  0	  0	9,000000	9
FAUST_1[2014-06]	118	words	eisen	 15	  0	  1	  9	  4	 42	  0	  0	  0	42,000000	42
FAUST_1[2014-06]	118	words	bronze	 15	  1	  4	  6	  4	  9	  9	  9	 42	17,250000	42
FAUST_1[2014-06]	118	words	messing	 15	  0	  2	  8	  4	  9	 42	  0	  0	25,500000	42
FAUST_1[2014-06]	118	words	berlin	 16	  0	  1	  1	  1	 54	  0	  0	  0	54,000000	54
FAUST_1[2014-06]	118	words	hamburg	 16	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	münchen	 16	  1	  1	  1	  1	  3	  0	  0	  0	3,000000	3
FAUST_1[2014-06]	118	words	stuttgart	 16	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	hannover	 16	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	donau	 17	  1	  3	  5	  4	 18	 18	 46	  0	27,333333	46
FAUST_1[2014-06]	118	words	rhein	 17	  0	  2	  6	  4	 46	 46	  0	  0	46,000000	46
FAUST_1[2014-06]	118	words	elbe	 17	  0	  1	  7	  4	 46	  0	  0	  0	46,000000	46
FAUST_1[2014-06]	118	words	main	 17	  0	  1	  7	  4	 46	  0	  0	  0	46,000000	46
FAUST_1[2014-06]	118	words	weser	 17	  0	  1	  7	  4	 46	  0	  0	  0	46,000000	46
FAUST_1[2014-06]	118	words	dänemark	 18	  0	  2	  3	  3	  3	 38	  0	  0	20,500000	38
FAUST_1[2014-06]	118	words	england	 18	  0	  1	  4	  3	 38	  0	  0	  0	38,000000	38
FAUST_1[2014-06]	118	words	italien	 18	  0	  1	  4	  3	 38	  0	  0	  0	38,000000	38
FAUST_1[2014-06]	118	words	schweiz	 18	  0	  0	  5	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	österreich	 18	  0	  1	  4	  3	 38	  0	  0	  0	38,000000	38
FAUST_1[2014-06]	118	words	physik	 19	  0	  1	  5	  3	 58	  0	  0	  0	58,000000	58
FAUST_1[2014-06]	118	words	chemie	 19	  0	  0	  6	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	biologie	 19	  0	  3	  3	  3	 32	 32	 58	  0	40,666667	58
FAUST_1[2014-06]	118	words	mathematik	 19	  0	  1	  5	  3	 58	  0	  0	  0	58,000000	58
FAUST_1[2014-06]	118	words	erdkunde	 19	  0	  1	  5	  3	 58	  0	  0	  0	58,000000	58
FAUST_1[2014-06]	118	words	gymnasium	 20	  0	  3	  3	  3	  3	  3	 41	  0	15,666667	41
FAUST_1[2014-06]	118	words	realschule	 20	  0	  0	  6	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	118	words	hauptschule	 20	  0	  1	  5	  3	  3	  0	  0	  0	3,000000	3
FAUST_1[2014-06]	118	words	gesamtschule	 20	  0	  1	  5	  3	  3	  0	  0	  0	3,000000	3
FAUST_1[2014-06]	118	words	berufsschule	 20	  0	  1	  5	  3	  3	  0	  0	  0	3,000000	3
