material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
brady;babycrib_2.bmp;2;3;7;4;15;15;40;0;23,333333;40;repeated_related;target
brady;scooter_10.bmp;53;0;4;1;0;0;0;0;0;0;repeated;lure
brady;cellphone_12.bmp;13;2;5;4;1;39;0;0;20;39;center;target
brady;highchair_15.bmp;32;1;9;4;5;0;0;0;5;5;related;target
brady;jacket_7.bmp;35;0;3;2;0;0;0;0;0;0;center;lure
brady;carabiner_6.bmp;10;1;10;4;26;0;0;0;26;26;related;target
brady;trumpet_5.bmp;63;1;1;1;14;0;0;0;14;14;control;target
brady;doorknocker_2.bmp;20;3;6;4;14;14;46;0;24,666667;46;center;target
brady;doorknob_17.bmp;19;1;6;4;56;0;0;0;56;56;center;target
brady;flashlight_17.bmp;23;3;3;3;12;12;61;0;28,333333;61;repeated;target
brady;goggle_4.bmp;27;4;3;3;28;28;44;44;36;44;repeated;target
brady;leatherman_14.bmp;38;0;3;3;0;0;0;0;0;0;related;lure
brady;remote_11.bmp;46;0;7;4;0;0;0;0;0;0;repeated_related;lure
brady;beanbagchair_17.bmp;5;0;4;2;0;0;0;0;0;0;center;lure
brady;mic_10.bmp;39;0;3;1;0;0;0;0;0;0;control;lure
brady;sink_11.bmp;56;1;1;1;58;0;0;0;58;58;control;target
brady;cherubstatue_11.bmp;16;0;5;2;0;0;0;0;0;0;repeated;lure
brady;rollerskates_2.bmp;48;4;7;4;17;17;38;38;27,5;38;repeated_related;target
brady;cat_10.bmp;12;0;5;2;0;0;0;0;0;0;repeated;lure
brady;glasses_15.bmp;25;3;3;3;25;25;38;0;29,333333;38;repeated;target
brady;bowlingpin_3.bmp;7;1;2;1;63;0;0;0;63;63;control;target
brady;parfait_15.bmp;41;0;8;4;0;0;0;0;0;0;repeated_related;lure
brady;orifan_1.bmp;40;0;7;4;0;0;0;0;0;0;repeated_related;lure
brady;vase_6.bmp;67;1;10;4;54;0;0;0;54;54;related;target
brady;chair_16.bmp;14;0;3;3;0;0;0;0;0;0;related;lure
brady;glove_8.bmp;26;3;7;4;10;10;48;0;22,666667;48;repeated_related;target
brady;camera_3.bmp;9;0;2;1;0;0;0;0;0;0;control;lure
brady;circuitboard_16.bmp;17;0;3;2;0;0;0;0;0;0;center;lure
brady;router_12.bmp;49;0;3;1;0;0;0;0;0;0;control;lure
brady;hammer_11.bmp;31;0;3;3;0;0;0;0;0;0;related;lure
