material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
words;jungfrau;39;3;9;4;6;6;52;0;21,333333;52;repeated_related;target
words;dollar;47;0;3;2;0;0;0;0;0;0;control;lure
words;lila;49;0;4;2;0;0;0;0;0;0;center;lure
words;hering;12;0;9;4;0;0;0;0;0;0;repeated_related;lure
words;mumps;22;0;4;3;0;0;0;0;0;0;related;lure
words;erdbeere;3;3;4;3;9;60;60;0;43;60;center;target
words;koriander;25;1;2;1;32;0;0;0;32;32;control;target
words;monopoly;57;0;5;2;0;0;0;0;0;0;repeated;lure
words;zeichnen;26;3;3;3;24;54;54;0;44;54;repeated;target
words;drucker;33;0;4;2;0;0;0;0;0;0;center;lure
words;fähre;35;1;9;4;47;0;0;0;47;47;related;target
words;buche;10;2;6;3;19;40;0;0;29,5;40;center;target
words;mücke;13;1;1;1;33;0;0;0;33;33;control;target
words;zange;4;2;6;4;28;53;0;0;40,5;53;center;target
words;spinat;2;0;2;2;0;0;0;0;0;0;control;lure
words;rock;5;3;0;0;21;55;55;0;43,666667;55;repeated;target
words;brieföffner;32;0;5;1;0;0;0;0;0;0;repeated;lure
words;berlin;16;0;4;3;0;0;0;0;0;0;related;lure
words;haschisch;54;1;9;4;64;0;0;0;64;64;related;target
words;eisen;15;0;4;3;0;0;0;0;0;0;related;lure
words;wasserstoff;48;0;3;2;0;0;0;0;0;0;control;lure
words;tulpe;7;0;10;4;0;0;0;0;0;0;repeated_related;lure
words;gabel;21;1;9;4;14;0;0;0;14;14;related;target
words;schwalbe;9;1;1;1;63;0;0;0;63;63;control;target
words;fuß;1;3;7;4;5;51;51;0;35,666667;51;repeated_related;target
words;kanne;31;3;1;1;28;28;43;0;33;43;repeated;target
words;kaiser;53;3;8;4;26;26;43;0;31,666667;43;repeated_related;target
words;nordamerika;38;0;9;4;0;0;0;0;0;0;repeated_related;lure
words;rumba;62;0;3;2;0;0;0;0;0;0;center;lure
words;thüringen;41;0;5;2;0;0;0;0;0;0;repeated;lure
