trialnr,blocknr,cs_filename,usval,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,vis_option_6,vis_option_5,vis_option_4,vis_option_3,vis_option_2,vis_option_1  
270,1,cs17.bmp,neu,100,7004.jpg,1000,maske_12.bmp,500,maske_11.bmp,900,1616.jpg,7620.JPG,7004.jpg,2635.jpg,7187.jpg,7504.jpg
288,1,cs3.bmp,neu,900,3550.2.jpg,1000,maske_8.bmp,500,maske_5.bmp,100,3550.2.jpg,7004.jpg,7000.jpg,2635.jpg,7504.jpg,5395.jpg
96,1,cs29.bmp,pos,100,5830.JPG,1000,maske_6.bmp,500,maske_3.bmp,900,cs12.bmp,cs26.bmp,cs29.bmp,cs2.bmp,cs22.bmp,cs16.bmp
168,1,cs15.bmp,neg,30,9611.jpg,1000,maske_2.bmp,500,maske_8.bmp,970,cs30.bmp,cs8.bmp,cs15.bmp,cs7.bmp,cs11.bmp,cs25.bmp
120,1,cs4.bmp,pos,900,1710.JPG,1000,maske_11.bmp,500,maske_4.bmp,100,cs29.bmp,cs5.bmp,cs21.bmp,cs2.bmp,cs4.bmp,cs16.bmp
282,1,cs3.bmp,neu,900,7620.JPG,1000,maske_5.bmp,500,maske_12.bmp,100,2487.jpg,7830.jpg,7620.JPG,5731.jpg,7090.jpg,8211.jpg
90,1,cs29.bmp,pos,100,1710.JPG,1000,maske_11.bmp,500,maske_10.bmp,900,cs9.bmp,cs21.bmp,cs2.bmp,cs29.bmp,cs16.bmp,cs22.bmp
126,1,cs1.bmp,neg,30,9530.JPG,1000,maske_3.bmp,500,maske_10.bmp,970,cs8.bmp,cs11.bmp,cs1.bmp,cs6.bmp,cs20.bmp,cs27.bmp
78,1,cs26.bmp,pos,100,1750.JPG,1000,maske_11.bmp,500,maske_9.bmp,900,cs21.bmp,cs16.bmp,cs5.bmp,cs14.bmp,cs26.bmp,cs22.bmp
204,1,cs8.bmp,neg,100,9520.JPG,1000,maske_9.bmp,500,maske_10.bmp,900,cs8.bmp,cs7.bmp,cs30.bmp,cs6.bmp,cs20.bmp,cs23.bmp
210,1,cs11.bmp,neg,100,9220.jpg,1000,maske_2.bmp,500,maske_5.bmp,900,cs25.bmp,cs27.bmp,cs11.bmp,cs8.bmp,cs20.bmp,cs7.bmp
138,1,cs27.bmp,neg,30,9000.jpg,1000,maske_3.bmp,500,maske_5.bmp,970,cs20.bmp,cs30.bmp,cs23.bmp,cs8.bmp,cs10.bmp,cs27.bmp
6,1,cs16.bmp,pos,30,1750.JPG,1000,maske_4.bmp,500,maske_1.bmp,970,cs16.bmp,cs29.bmp,cs12.bmp,cs2.bmp,cs22.bmp,cs21.bmp
156,1,cs6.bmp,neg,30,7359.jpg,1000,maske_8.bmp,500,maske_4.bmp,970,cs1.bmp,cs25.bmp,cs23.bmp,cs6.bmp,cs11.bmp,cs8.bmp
36,1,cs9.bmp,pos,30,8420.JPG,1000,maske_9.bmp,500,maske_1.bmp,970,cs2.bmp,cs9.bmp,cs22.bmp,cs18.bmp,cs16.bmp,cs5.bmp
318,1,cs13.bmp,neu,100,5455.jpg,1000,maske_6.bmp,500,maske_12.bmp,900,5455.jpg,7503.JPG,7490.jpg,3550.2.jpg,1616.jpg,5731.jpg
252,1,cs19.bmp,neu,30,7490.jpg,1000,maske_9.bmp,500,maske_7.bmp,970,7503.JPG,7490.jpg,1935.jpg,7000.jpg,7830.jpg,7820.jpg
174,1,cs30.bmp,neg,30,9290.jpg,1000,maske_2.bmp,500,maske_7.bmp,970,cs23.bmp,cs27.bmp,cs20.bmp,cs7.bmp,cs10.bmp,cs30.bmp
66,1,cs18.bmp,pos,30,7502.jpg,1000,maske_11.bmp,500,maske_7.bmp,970,cs18.bmp,cs5.bmp,cs9.bmp,cs4.bmp,cs29.bmp,cs14.bmp
150,1,cs6.bmp,neg,30,6311.jpg,1000,maske_11.bmp,500,maske_8.bmp,970,cs27.bmp,cs15.bmp,cs11.bmp,cs1.bmp,cs6.bmp,cs30.bmp
228,1,cs20.bmp,neg,900,6311.jpg,1000,maske_8.bmp,500,maske_12.bmp,100,cs1.bmp,cs11.bmp,cs25.bmp,cs20.bmp,cs6.bmp,cs23.bmp
186,1,cs23.bmp,neg,30,3220.JPG,1000,maske_4.bmp,500,maske_12.bmp,970,cs10.bmp,cs30.bmp,cs27.bmp,cs23.bmp,cs15.bmp,cs6.bmp
42,1,cs12.bmp,pos,30,2080.jpg,1000,maske_3.bmp,500,maske_12.bmp,970,cs22.bmp,cs26.bmp,cs18.bmp,cs21.bmp,cs12.bmp,cs29.bmp
84,1,cs26.bmp,pos,100,2058.jpg,1000,maske_3.bmp,500,maske_8.bmp,900,cs26.bmp,cs4.bmp,cs12.bmp,cs14.bmp,cs9.bmp,cs2.bmp
102,1,cs22.bmp,pos,900,2050.jpg,1000,maske_3.bmp,500,maske_5.bmp,100,cs22.bmp,cs5.bmp,cs26.bmp,cs14.bmp,cs12.bmp,cs21.bmp
312,1,cs28.bmp,neu,30,5731.jpg,1000,maske_12.bmp,500,maske_3.bmp,970,5731.jpg,2580.jpg,3550.2.jpg,2620.jpg,7830.jpg,7490.jpg
54,1,cs21.bmp,pos,30,7502.jpg,1000,maske_11.bmp,500,maske_1.bmp,970,cs21.bmp,cs4.bmp,cs9.bmp,cs12.bmp,cs16.bmp,cs5.bmp
258,1,cs19.bmp,neu,30,7004.jpg,1000,maske_6.bmp,500,maske_3.bmp,970,5510.jpg,5731.jpg,5395.jpg,7211.jpg,7004.jpg,5455.jpg
108,1,cs22.bmp,pos,900,2040.jpg,1000,maske_12.bmp,500,maske_6.bmp,100,cs16.bmp,cs18.bmp,cs14.bmp,cs5.bmp,cs22.bmp,cs21.bmp
234,1,cs7.bmp,neg,900,9000.jpg,1000,maske_3.bmp,500,maske_1.bmp,100,cs7.bmp,cs15.bmp,cs6.bmp,cs30.bmp,cs27.bmp,cs11.bmp
180,1,cs30.bmp,neg,30,2053.JPG,1000,maske_3.bmp,500,maske_10.bmp,970,cs7.bmp,cs1.bmp,cs8.bmp,cs20.bmp,cs30.bmp,cs27.bmp
72,1,cs18.bmp,pos,30,2345.jpg,1000,maske_5.bmp,500,maske_3.bmp,970,cs22.bmp,cs9.bmp,cs12.bmp,cs21.bmp,cs26.bmp,cs18.bmp
162,1,cs15.bmp,neg,30,2900.1.jpg,1000,maske_10.bmp,500,maske_6.bmp,970,cs7.bmp,cs15.bmp,cs1.bmp,cs6.bmp,cs11.bmp,cs23.bmp
306,1,cs28.bmp,neu,30,7620.JPG,1000,maske_7.bmp,500,maske_6.bmp,970,3550.2.jpg,1935.jpg,5395.jpg,5455.jpg,7620.JPG,7004.jpg
