subject_nr,cs_filename_usmem,valmem_response_angenehm,valmem_response_unangenehm,valmem_response_neu,usmem_option_1,usmem_option_2,usmem_option_3,usmem_option_4,usmem_option_5,usmem_option_6,usmem_resp1,usmem_resp2,usmem_resp3,usmem_resp4,usmem_resp5,usmem_resp6,time_valmem_form,time_valmem_delay,time_usmem_form,time_usmem_delay
53,cs8.bmp,no,no,yes,1460.JPG,2395.jpg,2216.jpg,2080.jpg,2091.jpg,2070.jpg,yes,no,no,no,no,no,1719696,1727222,1727472,1734359
53,cs27.bmp,yes,no,no,8461.jpg,2050.jpg,1999.jpg,1460.JPG,2345.jpg,2340.JPG,no,yes,no,no,no,no,1735400,1738278,1738528,1744022
53,cs23.bmp,no,no,yes,6311.jpg,9530.JPG,9041.jpg,6831.jpg,9330.jpg,9320.jpg,no,no,no,yes,no,no,1744973,1748862,1749112,1752495
53,cs21.bmp,yes,no,no,3220.JPG,9830.jpg,2205.jpg,9330.jpg,2276.jpg,3300.jpg,no,yes,no,no,no,no,1753442,1757286,1757536,1767454
53,cs16.bmp,yes,no,no,4626.jpg,2345.jpg,7502.jpg,2260.JPG,1460.JPG,2660.jpg,no,yes,no,no,no,no,1768398,1770799,1771049,1777838
53,cs2.bmp,no,yes,no,7359.jpg,9561.jpg,9220.jpg,9265.jpg,6311.jpg,9432.jpg,no,no,no,yes,no,no,1778796,1782038,1782288,1784862
53,cs4.bmp,no,yes,no,7490.jpg,7187.jpg,7550.jpg,7504.jpg,1616.jpg,7503.JPG,no,no,no,no,yes,no,1785808,1790295,1790545,1794214
53,cs13.bmp,no,no,yes,5731.jpg,7211.jpg,2575.jpg,3550.2.jpg,7090.jpg,1935.jpg,no,no,yes,no,no,no,1795159,1798246,1798496,1803342
53,cs28.bmp,no,yes,no,2276.jpg,7359.jpg,9530.JPG,9561.jpg,2053.JPG,9340.JPG,no,no,no,yes,no,no,1804287,1807230,1807481,1810414
53,cs14.bmp,no,no,yes,8211.jpg,7820.jpg,7503.JPG,2487.jpg,5535.jpg,7640.jpg,yes,no,no,no,no,no,1811361,1815814,1816064,1818254
53,cs6.bmp,no,yes,no,2071.jpg,5830.JPG,2080.jpg,2345.jpg,2058.jpg,1710.JPG,no,no,yes,no,no,no,1819196,1822143,1822393,1828198
53,cs11.bmp,no,no,yes,9007.jpg,3160.JPG,2900.1.jpg,2455.jpg,9830.jpg,2053.JPG,yes,no,no,no,no,no,1829152,1833534,1833784,1837670
53,cs29.bmp,no,yes,no,2209.jpg,2080.jpg,1710.JPG,1920.JPG,2091.jpg,5831.jpg,no,yes,no,no,no,no,1838646,1843110,1843360,1846350
53,cs20.bmp,no,no,yes,3160.JPG,9180.JPG,9830.jpg,2053.JPG,9530.JPG,9340.JPG,no,no,yes,no,no,no,1847295,1851806,1852056,1854454
53,cs9.bmp,no,no,yes,2070.jpg,7330.JPG,8420.JPG,2071.jpg,8540.JPG,1440.jpg,no,no,yes,no,no,no,1855395,1859847,1860097,1864998
