subject_nr,blocknr,trialnr,cs_filename,usval,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,vis_option_6,vis_option_5,vis_option_4,vis_option_3,vis_option_2,vis_option_1,vis_option_6_resp,vis_option_5_resp,vis_option_4_resp,vis_option_3_resp,vis_option_2_resp,vis_option_1_resp,time_gesehen_form,time_trial_logger
6,1,0,cs6.bmp,pos,30,2395.jpg,1000,maske_1.bmp,500,maske_6.bmp,970,cs22.bmp,cs6.bmp,cs25.bmp,cs11.bmp,cs4.bmp,cs26.bmp,no,no,no,yes,no,no,70878,79376
6,1,1,cs16.bmp,neg,30,2141.jpg,1000,maske_1.bmp,500,maske_12.bmp,970,cs16.bmp,cs5.bmp,cs9.bmp,cs21.bmp,cs8.bmp,cs27.bmp,no,no,no,no,no,yes,81947,87793
6,1,2,cs19.bmp,neu,900,5395.jpg,1000,maske_6.bmp,500,maske_2.bmp,100,7090.jpg,1616.jpg,5395.jpg,7000.jpg,7503.JPG,1121.jpg,no,no,no,yes,no,no,90228,103945
6,1,3,cs18.bmp,pos,30,1710.JPG,1000,maske_5.bmp,500,maske_1.bmp,970,cs22.bmp,cs25.bmp,cs6.bmp,cs18.bmp,cs4.bmp,cs20.bmp,yes,no,no,no,no,no,106377,110376
6,1,4,cs26.bmp,pos,900,1710.JPG,1000,maske_6.bmp,500,maske_1.bmp,100,cs25.bmp,cs26.bmp,cs15.bmp,cs4.bmp,cs22.bmp,cs24.bmp,no,yes,no,no,no,no,112817,114576
6,1,5,cs14.bmp,neu,100,7004.jpg,1000,maske_2.bmp,500,maske_8.bmp,900,7550.jpg,7004.jpg,7090.jpg,7187.jpg,2635.jpg,7080.jpg,no,yes,no,no,no,no,117006,118352
6,1,6,cs4.bmp,pos,30,8461.jpg,1000,maske_12.bmp,500,maske_5.bmp,970,cs18.bmp,cs7.bmp,cs22.bmp,cs4.bmp,cs15.bmp,cs24.bmp,no,no,no,no,no,yes,120787,125832
6,1,7,cs7.bmp,pos,30,4626.jpg,1000,maske_1.bmp,500,maske_2.bmp,970,cs4.bmp,cs18.bmp,cs26.bmp,cs7.bmp,cs23.bmp,cs25.bmp,no,no,no,yes,no,no,128266,130464
6,1,8,cs14.bmp,neu,100,2487.jpg,1000,maske_5.bmp,500,maske_8.bmp,900,2575.jpg,8211.jpg,7503.JPG,2635.jpg,2372.jpg,2487.jpg,no,no,no,no,yes,no,132896,138489
6,1,9,cs30.bmp,neg,30,9041.jpg,1000,maske_4.bmp,500,maske_12.bmp,970,cs30.bmp,cs16.bmp,cs17.bmp,cs8.bmp,cs2.bmp,cs12.bmp,yes,no,no,no,no,no,140916,142800
6,1,10,cs22.bmp,pos,30,7502.jpg,1000,maske_12.bmp,500,maske_6.bmp,970,cs15.bmp,cs6.bmp,cs7.bmp,cs22.bmp,cs23.bmp,cs11.bmp,no,no,no,no,no,yes,145236,148296
6,1,11,cs21.bmp,neg,30,9415.jpg,1000,maske_3.bmp,500,maske_6.bmp,970,cs21.bmp,cs29.bmp,cs12.bmp,cs9.bmp,cs16.bmp,cs17.bmp,no,no,no,yes,no,no,150725,153256
6,1,12,cs10.bmp,neu,900,1121.jpg,1000,maske_6.bmp,500,maske_10.bmp,100,2220.jpg,1616.jpg,1121.jpg,7211.jpg,7000.jpg,7830.jpg,no,no,yes,no,no,no,155696,157249
6,1,13,cs19.bmp,neu,900,7504.jpg,1000,maske_9.bmp,500,maske_2.bmp,100,7504.jpg,7233.jpg,7503.JPG,5920.JPG,5731.jpg,2487.jpg,yes,no,no,no,no,no,159685,162216
6,1,14,cs3.bmp,neu,30,1616.jpg,1000,maske_6.bmp,500,maske_4.bmp,970,7640.jpg,1616.jpg,7004.jpg,2372.jpg,2575.jpg,7550.jpg,no,yes,no,no,no,no,164645,165616
6,1,15,cs6.bmp,pos,30,1710.JPG,1000,maske_10.bmp,500,maske_1.bmp,970,cs6.bmp,cs26.bmp,cs7.bmp,cs4.bmp,cs11.bmp,cs18.bmp,no,no,no,yes,no,no,168055,169568
6,1,16,cs3.bmp,neu,30,2372.jpg,1000,maske_7.bmp,500,maske_10.bmp,970,1313.jpg,4631.JPG,5510.jpg,2372.jpg,7187.jpg,5740.jpg,no,no,no,yes,no,no,171994,173449
6,1,17,cs13.bmp,neg,30,9530.JPG,1000,maske_11.bmp,500,maske_7.bmp,970,cs21.bmp,cs12.bmp,cs13.bmp,cs30.bmp,cs5.bmp,cs8.bmp,no,no,no,no,no,yes,175885,178064
6,1,18,cs15.bmp,pos,30,1710.JPG,1000,maske_11.bmp,500,maske_6.bmp,970,cs22.bmp,cs6.bmp,cs20.bmp,cs11.bmp,cs24.bmp,cs15.bmp,yes,no,no,no,no,no,180505,181656
6,1,19,cs4.bmp,pos,30,2080.jpg,1000,maske_6.bmp,500,maske_2.bmp,970,cs6.bmp,cs25.bmp,cs4.bmp,cs26.bmp,cs15.bmp,cs20.bmp,no,no,yes,no,no,no,184084,185352
6,1,20,cs28.bmp,neu,100,7211.jpg,1000,maske_10.bmp,500,maske_6.bmp,900,3550.2.jpg,7187.jpg,1616.jpg,7211.jpg,7820.jpg,7830.jpg,no,no,no,no,yes,no,187784,189873
6,1,21,cs28.bmp,neu,100,5395.jpg,1000,maske_10.bmp,500,maske_2.bmp,900,5731.jpg,2635.jpg,1313.jpg,7820.jpg,5455.jpg,5395.jpg,no,no,no,no,no,yes,192305,193289
