trialnr,blocknr,cs_filename,usval,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,vis_option_6,vis_option_5,vis_option_4,vis_option_3,vis_option_2,vis_option_1  
67,2,cs15.bmp,pos,30,1721.jpg,1000,maske_8.bmp,500,maske_12.bmp,970,cs14.bmp,cs22.bmp,cs20.bmp,cs15.bmp,cs4.bmp,cs2.bmp
13,2,cs10.bmp,pos,30,8540.JPG,1000,maske_1.bmp,500,maske_5.bmp,970,cs21.bmp,cs2.bmp,cs22.bmp,cs23.bmp,cs10.bmp,cs15.bmp
43,2,cs2.bmp,pos,30,5831.jpg,1000,maske_8.bmp,500,maske_3.bmp,970,cs2.bmp,cs28.bmp,cs21.bmp,cs15.bmp,cs22.bmp,cs4.bmp
295,2,cs24.bmp,neu,30,7090.jpg,1000,maske_9.bmp,500,maske_6.bmp,970,7490.jpg,7640.jpg,2372.jpg,7090.jpg,1616.jpg,2575.jpg
187,2,cs19.bmp,neg,30,2141.jpg,1000,maske_11.bmp,500,maske_10.bmp,970,cs18.bmp,cs6.bmp,cs17.bmp,cs13.bmp,cs19.bmp,cs27.bmp
193,2,cs30.bmp,neg,100,2205.jpg,1000,maske_11.bmp,500,maske_3.bmp,900,cs30.bmp,cs18.bmp,cs27.bmp,cs19.bmp,cs25.bmp,cs8.bmp
61,2,cs15.bmp,pos,30,2057.jpg,1000,maske_2.bmp,500,maske_1.bmp,970,cs22.bmp,cs14.bmp,cs15.bmp,cs21.bmp,cs23.bmp,cs2.bmp
301,2,cs24.bmp,neu,30,3550.2.jpg,1000,maske_9.bmp,500,maske_4.bmp,970,3550.2.jpg,4631.JPG,2635.jpg,7004.jpg,7211.jpg,7233.jpg
181,2,cs19.bmp,neg,30,9330.jpg,1000,maske_8.bmp,500,maske_7.bmp,970,cs25.bmp,cs11.bmp,cs19.bmp,cs27.bmp,cs8.bmp,cs7.bmp
97,2,cs28.bmp,pos,900,1999.jpg,1000,maske_3.bmp,500,maske_2.bmp,100,cs4.bmp,cs14.bmp,cs21.bmp,cs28.bmp,cs10.bmp,cs22.bmp
265,2,cs9.bmp,neu,100,7090.jpg,1000,maske_2.bmp,500,maske_5.bmp,900,2620.jpg,8211.jpg,2635.jpg,5510.jpg,1121.jpg,7090.jpg
223,2,cs13.bmp,neg,900,9530.JPG,1000,maske_6.bmp,500,maske_3.bmp,100,cs11.bmp,cs25.bmp,cs13.bmp,cs6.bmp,cs19.bmp,cs12.bmp
331,2,cs16.bmp,neu,900,7504.jpg,1000,maske_1.bmp,500,maske_2.bmp,100,7490.jpg,3550.2.jpg,7504.jpg,7830.jpg,5510.jpg,7620.JPG
