subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,vm_pos,vm_neg,vm_dk,time_vm_form,time_vm_blank
41,EC_only,normal,EC_only,normal,0,godacht,negative,70_80,paired_cs,no,no,yes,2736273,2747733
41,EC_only,normal,EC_only,normal,1,plonim,negative,90_10,paired_cs,no,yes,no,2748752,2753789
41,EC_only,normal,EC_only,normal,2,imstind,NA,NA,neither,no,no,yes,2754808,2759267
41,EC_only,normal,EC_only,normal,3,botuyn,NA,NA,neither,no,no,yes,2760286,2766424
41,EC_only,normal,EC_only,normal,4,tewok,negative,90_10,paired_cs,no,no,yes,2767444,2770082
41,EC_only,normal,EC_only,normal,5,emkruas,NA,NA,neither,no,no,yes,2771104,2774884
41,EC_only,normal,EC_only,normal,6,gowann,NA,NA,neither,no,no,yes,2775903,2779774
41,EC_only,normal,EC_only,normal,7,novuui,positive,90_10,paired_cs,yes,no,no,2780793,2790242
41,EC_only,normal,EC_only,normal,8,banzon,NA,NA,neither,yes,no,no,2791261,2799709
41,EC_only,normal,EC_only,normal,9,kiwehon,positive,90_10,paired_cs,no,yes,no,2800740,2802641
41,EC_only,normal,EC_only,normal,10,uwimor,NA,NA,neither,no,no,yes,2803660,2805656
41,EC_only,normal,EC_only,normal,11,hilejin,NA,NA,neither,no,no,yes,2806675,2808190
41,EC_only,normal,EC_only,normal,12,kantekt,positive,90_10,paired_cs,yes,no,no,2809209,2812720
41,EC_only,normal,EC_only,normal,13,ubajec,positive,50_60,paired_cs,no,yes,no,2813739,2817251
41,EC_only,normal,EC_only,normal,14,noste,negative,30_40,paired_cs,yes,no,no,2818270,2820546
41,EC_only,normal,EC_only,normal,15,botsy,NA,NA,neither,yes,no,no,2821565,2829130
41,EC_only,normal,EC_only,normal,16,umeuken,NA,NA,neither,no,no,yes,2830150,2831950
41,EC_only,normal,EC_only,normal,17,virlog,negative,30_40,paired_cs,no,no,yes,2832969,2835142
41,EC_only,normal,EC_only,normal,18,misukor,negative,50_60,paired_cs,no,no,yes,2836166,2839381
41,EC_only,normal,EC_only,normal,19,ikzunt,positive,30_40,paired_cs,no,no,yes,2840400,2843616
41,EC_only,normal,EC_only,normal,20,jaciyn,NA,NA,neither,no,no,yes,2844635,2846243
41,EC_only,normal,EC_only,normal,21,ampfong,NA,NA,neither,no,no,yes,2847262,2848678
41,EC_only,normal,EC_only,normal,22,plistuk,negative,70_80,paired_cs,no,yes,no,2849701,2852636
41,EC_only,normal,EC_only,normal,23,kibono,positive,70_80,paired_cs,no,yes,no,2853655,2857726
41,EC_only,normal,EC_only,normal,24,sprong,negative,50_60,paired_cs,yes,no,no,2858745,2866625
41,EC_only,normal,EC_only,normal,25,polust,NA,NA,neither,no,yes,no,2867644,2870123
41,EC_only,normal,EC_only,normal,26,oesgubi,negative,50_60,paired_cs,no,no,yes,2871142,2872098
41,EC_only,normal,EC_only,normal,27,hiwawa,positive,50_60,paired_cs,no,no,yes,2873117,2875286
41,EC_only,normal,EC_only,normal,28,ursitz,negative,30_40,paired_cs,no,no,yes,2876305,2879435
41,EC_only,normal,EC_only,normal,29,laumens,negative,90_10,paired_cs,no,yes,no,2880455,2885500
41,EC_only,normal,EC_only,normal,30,nalber,NA,NA,neither,no,no,yes,2886519,2888694
41,EC_only,normal,EC_only,normal,31,zofoll,NA,NA,neither,no,no,yes,2889716,2893589
41,EC_only,normal,EC_only,normal,32,offukt,positive,70_80,paired_cs,no,no,yes,2894608,2895365
41,EC_only,normal,EC_only,normal,33,doscho,positive,30_40,paired_cs,no,no,yes,2896384,2906679
41,EC_only,normal,EC_only,normal,34,yosud,positive,30_40,paired_cs,no,no,yes,2907699,2909679
41,EC_only,normal,EC_only,normal,35,fuhrrud,negative,70_80,paired_cs,no,yes,no,2910702,2914858
41,EC_only,normal,EC_only,normal,36,faloilo,NA,NA,neither,no,yes,no,2915877,2921947
41,EC_only,normal,EC_only,normal,37,muoror,positive,70_80,paired_cs,yes,no,no,2922966,2926966
41,EC_only,normal,EC_only,normal,38,larnist,positive,50_60,paired_cs,no,no,yes,2927986,2931116
41,EC_only,normal,EC_only,normal,39,obacu,NA,NA,neither,no,yes,no,2932135,2952569
