subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,vm_pos,vm_neg,vm_dk,time_vm_form,time_vm_blank
7,EC_only,exclusion,EC_only,exclusion,0,ubajec,negative,90_10,paired_cs,yes,no,no,2986887,3013622
7,EC_only,exclusion,EC_only,exclusion,1,sebjukt,NA,NA,neither,no,no,yes,3014641,3016429
7,EC_only,exclusion,EC_only,exclusion,2,muoror,negative,70_80,paired_cs,no,no,yes,3017449,3018663
7,EC_only,exclusion,EC_only,exclusion,3,imstind,negative,30_40,paired_cs,no,no,yes,3019683,3020527
7,EC_only,exclusion,EC_only,exclusion,4,sprong,NA,NA,neither,no,no,yes,3021546,3022764
7,EC_only,exclusion,EC_only,exclusion,5,uhnong,positive,90_10,paired_cs,no,no,yes,3023783,3025281
7,EC_only,exclusion,EC_only,exclusion,6,emkruas,NA,NA,neither,no,no,yes,3026300,3027992
7,EC_only,exclusion,EC_only,exclusion,7,faloilo,NA,NA,neither,no,no,yes,3029011,3029947
7,EC_only,exclusion,EC_only,exclusion,8,zofoll,positive,70_80,paired_cs,no,no,yes,3030966,3031902
7,EC_only,exclusion,EC_only,exclusion,9,plistuk,positive,90_10,paired_cs,no,yes,no,3032921,3034822
7,EC_only,exclusion,EC_only,exclusion,10,tewok,negative,30_40,paired_cs,no,no,yes,3035841,3037621
7,EC_only,exclusion,EC_only,exclusion,11,trupfan,negative,70_80,paired_cs,no,no,yes,3038641,3039857
7,EC_only,exclusion,EC_only,exclusion,12,stodeen,positive,90_10,paired_cs,no,no,yes,3040876,3041904
7,EC_only,exclusion,EC_only,exclusion,13,novuui,NA,NA,neither,no,no,yes,3042923,3046285
7,EC_only,exclusion,EC_only,exclusion,14,schese,NA,NA,neither,no,no,yes,3047307,3048149
7,EC_only,exclusion,EC_only,exclusion,15,larnist,positive,30_40,paired_cs,no,no,yes,3049168,3050012
7,EC_only,exclusion,EC_only,exclusion,16,hilejin,positive,30_40,paired_cs,no,no,yes,3051031,3051968
7,EC_only,exclusion,EC_only,exclusion,17,doscho,negative,90_10,paired_cs,no,yes,no,3052987,3055044
7,EC_only,exclusion,EC_only,exclusion,18,fonstir,NA,NA,neither,no,no,yes,3056068,3057287
7,EC_only,exclusion,EC_only,exclusion,19,furasti,negative,30_40,paired_cs,no,no,yes,3058306,3061114
7,EC_only,exclusion,EC_only,exclusion,20,ikzunt,NA,NA,neither,no,no,yes,3062133,3062879
7,EC_only,exclusion,EC_only,exclusion,21,umeuken,NA,NA,neither,no,no,yes,3063898,3065297
7,EC_only,exclusion,EC_only,exclusion,22,molkate,NA,NA,neither,no,no,yes,3066316,3067442
7,EC_only,exclusion,EC_only,exclusion,23,jaciyn,NA,NA,neither,no,no,yes,3068461,3069579
7,EC_only,exclusion,EC_only,exclusion,24,uwimor,negative,50_60,paired_cs,no,no,yes,3070598,3071629
7,EC_only,exclusion,EC_only,exclusion,25,plonim,positive,70_80,paired_cs,no,no,yes,3072648,3073863
7,EC_only,exclusion,EC_only,exclusion,26,nalber,negative,70_80,paired_cs,no,no,yes,3074882,3076098
7,EC_only,exclusion,EC_only,exclusion,27,obacu,NA,NA,neither,yes,no,no,3077120,3083397
7,EC_only,exclusion,EC_only,exclusion,28,ampfong,positive,50_60,paired_cs,no,no,yes,3084417,3085645
7,EC_only,exclusion,EC_only,exclusion,29,noste,NA,NA,neither,no,no,yes,3086664,3087223
7,EC_only,exclusion,EC_only,exclusion,30,hiwawa,NA,NA,neither,no,no,yes,3088242,3089177
7,EC_only,exclusion,EC_only,exclusion,31,botsy,negative,50_60,paired_cs,no,no,yes,3090201,3090668
7,EC_only,exclusion,EC_only,exclusion,32,yosud,positive,50_60,paired_cs,no,no,yes,3091687,3093651
7,EC_only,exclusion,EC_only,exclusion,33,pimuide,positive,70_80,paired_cs,no,yes,no,3094671,3099462
7,EC_only,exclusion,EC_only,exclusion,34,botuyn,negative,50_60,paired_cs,no,no,yes,3100482,3101610
7,EC_only,exclusion,EC_only,exclusion,35,laumens,negative,90_10,paired_cs,no,yes,no,3102629,3106561
7,EC_only,exclusion,EC_only,exclusion,36,godacht,positive,30_40,paired_cs,no,no,yes,3107580,3108898
7,EC_only,exclusion,EC_only,exclusion,37,oesgubi,NA,NA,neither,no,no,yes,3109917,3110574
7,EC_only,exclusion,EC_only,exclusion,38,offukt,NA,NA,neither,no,no,yes,3111593,3112247
7,EC_only,exclusion,EC_only,exclusion,39,ursitz,positive,50_60,paired_cs,no,no,yes,3113266,3113920
