subject_nr,learning_condition,memory_condition,trial_nr,trial_type,cs_nr,block,blockhalf,cs_dur_level,filler,masking,us_valence,us_filename,cs_filename,mask,cs_duration,postmask_duration,us_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,paired_opt_1,paired_opt_2,paired_opt_3,paired_opt_4,vf_neg,vf_pos,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,opt_1,opt_2,opt_3,opt_4,time_blank_show,time_fixation_dot_show,time_cs_us_show,time_postmask_show,time_us_show,time_valence_focus,time_subjective_rating,time_identification,time_logger
17,EC_subj_obj,inclusion,0,subjective,cs7,1,first,30_40,no,yes,positive,2311.bmp,permife,maske_1.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,no,no,no,no,NA,NA,NA,NA,176576,177479,177582,177615,177668,180088,184227,NA,185572
17,EC_subj_obj,inclusion,1,subjective,cs14,1,first,50_60,no,yes,negative,9331.bmp,muoror,maske_8.bmp,60,50,2390,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,no,no,no,no,no,NA,NA,NA,NA,185716,186619,186722,186785,186838,189228,190534,NA,192556
17,EC_subj_obj,inclusion,2,objective,cs26,1,first,90_10,no,no,negative,3160.bmp,doscho,NA,90,50,2360,doscho,medan,sleshen,molkate,current_cs,other_cs,unpaired,other_cs,yes,no,NA,NA,NA,NA,NA,NA,yes,no,no,no,192719,193622,193725,193818,193871,196231,NA,198156,199325
17,EC_subj_obj,inclusion,3,subjective,cs22,1,first,90_10,no,no,negative,9920.bmp,medan,NA,90,50,2360,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,yes,no,no,NA,NA,NA,NA,199487,200390,200493,200586,200639,202999,204531,NA,208105
17,EC_subj_obj,inclusion,4,objective,cs12,1,first,50_60,no,yes,negative,9500.bmp,hilejin,maske_3.bmp,50,50,2400,muoror,yosud,schese,hilejin,other_cs,other_cs,unpaired,current_cs,yes,no,NA,NA,NA,NA,NA,NA,yes,no,no,no,208247,209150,209253,209306,209359,211759,NA,215395,219866
17,EC_subj_obj,inclusion,5,objective,cs9,1,first,50_60,no,yes,positive,8170.bmp,fuhrrud,maske_4.bmp,50,50,2400,jaciyn,fuhrrud,novuui,uhnong,other_cs,current_cs,unpaired,other_cs,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,yes,220012,220915,221018,221071,221124,223524,NA,224381,227283
17,EC_subj_obj,inclusion,6,subjective,cs20,1,first,70_80,no,yes,negative,2900.bmp,oesgubi,maske_9.bmp,80,50,2370,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,no,no,no,no,no,NA,NA,NA,NA,227450,228353,228456,228539,228592,230962,233038,NA,234609
17,EC_subj_obj,inclusion,7,subjective,cs18,1,first,70_80,no,yes,negative,6555.bmp,pimuide,maske_10.bmp,80,50,2370,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,yes,no,no,NA,NA,NA,NA,234751,235654,235757,235840,235893,238263,239129,NA,241383
17,EC_subj_obj,inclusion,8,subjective,cs2,1,first,30_40,yes,yes,negative,9000.bmp,NA,maske_10.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,241494,242397,242500,242543,242596,245006,246160,NA,249092
17,EC_subj_obj,inclusion,9,objective,cs16,1,first,70_80,no,yes,negative,9180.bmp,polust,maske_1.bmp,70,50,2380,godacht,polust,pimuide,oesgubi,unpaired,current_cs,other_cs,other_cs,yes,no,NA,NA,NA,NA,NA,NA,yes,no,no,no,249234,250138,250241,250314,250367,252747,NA,254294,257628
