subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,eval_rating,time_rating_form,time_rating_blank
71,EC_only,normal,EC_only,normal,0,nalber,negative,50_60,paired_cs,9,1561734,1567677
71,EC_only,normal,EC_only,normal,1,ursitz,NA,NA,neither,12,1568697,1574234
71,EC_only,normal,EC_only,normal,2,sprong,NA,NA,neither,17,1575253,1577621
71,EC_only,normal,EC_only,normal,3,uhnong,negative,50_60,paired_cs,7,1578640,1582821
71,EC_only,normal,EC_only,normal,4,offukt,NA,NA,neither,2,1583840,1585983
71,EC_only,normal,EC_only,normal,5,kumutoa,NA,NA,neither,10,1587002,1591973
71,EC_only,normal,EC_only,normal,6,pimuide,negative,30_40,paired_cs,12,1592991,1595910
71,EC_only,normal,EC_only,normal,7,kiwehon,NA,NA,neither,15,1596928,1600745
71,EC_only,normal,EC_only,normal,8,stodeen,negative,70_80,paired_cs,19,1601763,1604689
71,EC_only,normal,EC_only,normal,9,uwimor,positive,70_80,paired_cs,19,1605708,1608748
71,EC_only,normal,EC_only,normal,10,faloilo,positive,90_10,paired_cs,18,1609766,1611345
71,EC_only,normal,EC_only,normal,11,schese,negative,30_40,paired_cs,1,1612364,1614606
71,EC_only,normal,EC_only,normal,12,frask,negative,70_80,paired_cs,3,1615625,1618450
71,EC_only,normal,EC_only,normal,13,jaciyn,NA,NA,neither,6,1619468,1622627
71,EC_only,normal,EC_only,normal,14,sleshen,NA,NA,neither,10,1623650,1626359
71,EC_only,normal,EC_only,normal,15,sebjukt,NA,NA,neither,10,1627377,1629847
71,EC_only,normal,EC_only,normal,16,plistuk,negative,70_80,paired_cs,5,1630866,1633796
71,EC_only,normal,EC_only,normal,17,oesgubi,positive,70_80,paired_cs,8,1634815,1637865
71,EC_only,normal,EC_only,normal,18,imstind,NA,NA,neither,10,1638884,1642725
71,EC_only,normal,EC_only,normal,19,larnist,positive,50_60,paired_cs,10,1643743,1645999
71,EC_only,normal,EC_only,normal,20,botsy,negative,30_40,paired_cs,9,1647017,1648704
71,EC_only,normal,EC_only,normal,21,virlog,NA,NA,neither,9,1649722,1651402
71,EC_only,normal,EC_only,normal,22,ikzunt,NA,NA,neither,9,1652420,1654892
71,EC_only,normal,EC_only,normal,23,trupfan,negative,50_60,paired_cs,9,1655912,1659637
71,EC_only,normal,EC_only,normal,24,plonim,positive,70_80,paired_cs,18,1660656,1663142
71,EC_only,normal,EC_only,normal,25,kibono,positive,90_10,paired_cs,18,1664161,1665281
71,EC_only,normal,EC_only,normal,26,molkate,positive,30_40,paired_cs,12,1666300,1670119
71,EC_only,normal,EC_only,normal,27,gowann,positive,30_40,paired_cs,8,1671137,1673853
71,EC_only,normal,EC_only,normal,28,kantekt,positive,90_10,paired_cs,16,1674872,1680172
71,EC_only,normal,EC_only,normal,29,ubajec,positive,50_60,paired_cs,10,1681190,1682768
71,EC_only,normal,EC_only,normal,30,botuyn,positive,50_60,paired_cs,6,1683787,1687045
71,EC_only,normal,EC_only,normal,31,ampfong,positive,30_40,paired_cs,9,1688064,1690542
71,EC_only,normal,EC_only,normal,32,godacht,negative,90_10,paired_cs,2,1691560,1694604
71,EC_only,normal,EC_only,normal,33,noste,negative,90_10,paired_cs,2,1695624,1698008
71,EC_only,normal,EC_only,normal,34,tewok,NA,NA,neither,9,1699027,1701057
71,EC_only,normal,EC_only,normal,35,polust,NA,NA,neither,0,1702075,1705453
71,EC_only,normal,EC_only,normal,36,misukor,NA,NA,neither,8,1706471,1708271
71,EC_only,normal,EC_only,normal,37,doscho,NA,NA,neither,8,1709289,1710856
71,EC_only,normal,EC_only,normal,38,permife,NA,NA,neither,9,1711878,1713229
71,EC_only,normal,EC_only,normal,39,emkruas,negative,90_10,paired_cs,13,1714247,1717287
