subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,correct_us,us_opt_1,us_opt_2,us_opt_3,us_opt_4,us_opt_5,us_opt_6,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,im_opt_dk,time_im_form,time_im_blank
77,EC_subj_only,inclusion,EC_subj_only,inclusion,0,kumutoa,positive,70_80,paired_cs,5594.bmp,7580.bmp,2040.bmp,5460.bmp,4606.bmp,5594.bmp,1650.bmp,no,no,no,no,yes,no,no,4189468,4200360
77,EC_subj_only,inclusion,EC_subj_only,inclusion,1,faloilo,negative,NA,neither,none_correct,8485.bmp,3300.bmp,9500.bmp,9435.bmp,6570.1.bmp,9920.bmp,no,no,no,no,no,no,yes,4201416,4206641
77,EC_subj_only,inclusion,EC_subj_only,inclusion,2,sleshen,negative,NA,neither,none_correct,9342.bmp,6831.bmp,9180.bmp,2375.1.bmp,9561.bmp,9630.bmp,no,no,no,no,no,no,yes,4207695,4212613
77,EC_subj_only,inclusion,EC_subj_only,inclusion,3,furasti,negative,50_60,paired_cs,9520.bmp,2053.bmp,9520.bmp,6530.bmp,8485.bmp,9430.bmp,9050.bmp,no,no,no,no,no,no,yes,4213667,4218247
77,EC_subj_only,inclusion,EC_subj_only,inclusion,4,virlog,positive,90_10,distractor,none_correct,8330.bmp,8190.bmp,5830.bmp,8420.bmp,8470.bmp,5629.bmp,no,no,no,no,no,no,yes,4219300,4228248
77,EC_subj_only,inclusion,EC_subj_only,inclusion,5,stodeen,positive,50_60,paired_cs,7330.bmp,7330.bmp,8501.bmp,4220.bmp,7230.bmp,2209.bmp,2660.bmp,no,no,no,no,no,no,yes,4229301,4233126
77,EC_subj_only,inclusion,EC_subj_only,inclusion,6,banzon,positive,90_10,paired_cs,5831.bmp,7330.bmp,8496.bmp,1999.bmp,2050.bmp,5831.bmp,2091.bmp,no,no,no,no,yes,no,no,4234179,4240360
77,EC_subj_only,inclusion,EC_subj_only,inclusion,7,frask,negative,90_10,distractor,none_correct,9400.bmp,9342.bmp,9430.bmp,2141.bmp,7380.bmp,6242.bmp,no,no,no,no,no,no,yes,4241413,4246612
77,EC_subj_only,inclusion,EC_subj_only,inclusion,8,ikzunt,positive,30_40,paired_cs,7350.bmp,2071.bmp,2340.bmp,7350.bmp,7502.bmp,2550.bmp,2057.bmp,no,no,no,no,no,no,yes,4247665,4253400
77,EC_subj_only,inclusion,EC_subj_only,inclusion,9,sebjukt,negative,90_10,paired_cs,9041.bmp,9265.bmp,9400.bmp,9182.bmp,7380.bmp,9041.bmp,2141.bmp,no,no,no,no,yes,no,no,4254454,4259417
