subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,eval_rating,time_rating_form,time_rating_blank
76,EC_subj_only,inclusion,EC_subj_only,inclusion,0,plonim,NA,NA,neither,5,2223262,2225636
76,EC_subj_only,inclusion,EC_subj_only,inclusion,1,laumens,NA,NA,neither,12,2226681,2228466
76,EC_subj_only,inclusion,EC_subj_only,inclusion,2,hilejin,NA,NA,neither,15,2229512,2232227
76,EC_subj_only,inclusion,EC_subj_only,inclusion,3,imstind,NA,NA,neither,8,2233274,2235244
76,EC_subj_only,inclusion,EC_subj_only,inclusion,4,doscho,positive,70_80,paired_cs,14,2236290,2237832
76,EC_subj_only,inclusion,EC_subj_only,inclusion,5,ubajec,NA,NA,neither,3,2238877,2240933
76,EC_subj_only,inclusion,EC_subj_only,inclusion,6,schese,negative,90_10,paired_cs,4,2241979,2243649
76,EC_subj_only,inclusion,EC_subj_only,inclusion,7,ikzunt,negative,90_10,paired_cs,6,2244694,2246465
76,EC_subj_only,inclusion,EC_subj_only,inclusion,8,novuui,NA,NA,neither,12,2247511,2250238
76,EC_subj_only,inclusion,EC_subj_only,inclusion,9,botuyn,positive,50_60,paired_cs,5,2251283,2253837
76,EC_subj_only,inclusion,EC_subj_only,inclusion,10,nalber,negative,50_60,paired_cs,13,2254883,2256931
76,EC_subj_only,inclusion,EC_subj_only,inclusion,11,umeuken,NA,NA,neither,14,2257976,2260054
76,EC_subj_only,inclusion,EC_subj_only,inclusion,12,larnist,positive,30_40,paired_cs,7,2261099,2263612
76,EC_subj_only,inclusion,EC_subj_only,inclusion,13,hiwawa,negative,70_80,paired_cs,12,2264657,2267348
76,EC_subj_only,inclusion,EC_subj_only,inclusion,14,obacu,positive,30_40,paired_cs,11,2268394,2273060
76,EC_subj_only,inclusion,EC_subj_only,inclusion,15,sprong,positive,70_80,paired_cs,13,2274105,2275786
76,EC_subj_only,inclusion,EC_subj_only,inclusion,16,tewok,negative,70_80,paired_cs,6,2276833,2278697
76,EC_subj_only,inclusion,EC_subj_only,inclusion,17,emkruas,negative,30_40,paired_cs,3,2279743,2282341
76,EC_subj_only,inclusion,EC_subj_only,inclusion,18,botsy,NA,NA,neither,8,2283386,2287147
76,EC_subj_only,inclusion,EC_subj_only,inclusion,19,virlog,NA,NA,neither,4,2288193,2290931
76,EC_subj_only,inclusion,EC_subj_only,inclusion,20,godacht,NA,NA,neither,12,2291976,2294123
76,EC_subj_only,inclusion,EC_subj_only,inclusion,21,uwimor,negative,90_10,paired_cs,7,2295168,2298587
76,EC_subj_only,inclusion,EC_subj_only,inclusion,22,gowann,positive,30_40,paired_cs,15,2299633,2301524
76,EC_subj_only,inclusion,EC_subj_only,inclusion,23,pimuide,positive,90_10,paired_cs,14,2302569,2304686
76,EC_subj_only,inclusion,EC_subj_only,inclusion,24,uhnong,positive,70_80,paired_cs,7,2305731,2309420
76,EC_subj_only,inclusion,EC_subj_only,inclusion,25,medan,NA,NA,neither,12,2310465,2312070
76,EC_subj_only,inclusion,EC_subj_only,inclusion,26,permife,negative,70_80,paired_cs,14,2313115,2314377
76,EC_subj_only,inclusion,EC_subj_only,inclusion,27,muoror,NA,NA,neither,9,2315422,2319947
76,EC_subj_only,inclusion,EC_subj_only,inclusion,28,jaciyn,negative,30_40,paired_cs,8,2320993,2322571
76,EC_subj_only,inclusion,EC_subj_only,inclusion,29,zofoll,NA,NA,neither,12,2323618,2326397
76,EC_subj_only,inclusion,EC_subj_only,inclusion,30,furasti,NA,NA,neither,13,2327444,2330912
76,EC_subj_only,inclusion,EC_subj_only,inclusion,31,fuhrrud,NA,NA,neither,13,2331958,2333055
76,EC_subj_only,inclusion,EC_subj_only,inclusion,32,faloilo,negative,50_60,paired_cs,11,2334101,2336945
76,EC_subj_only,inclusion,EC_subj_only,inclusion,33,frask,negative,30_40,paired_cs,12,2337991,2340812
76,EC_subj_only,inclusion,EC_subj_only,inclusion,34,noste,positive,90_10,paired_cs,10,2341858,2344547
76,EC_subj_only,inclusion,EC_subj_only,inclusion,35,offukt,positive,90_10,paired_cs,13,2345593,2347347
76,EC_subj_only,inclusion,EC_subj_only,inclusion,36,banzon,positive,50_60,paired_cs,7,2348394,2350426
76,EC_subj_only,inclusion,EC_subj_only,inclusion,37,kumutoa,negative,50_60,paired_cs,11,2351472,2352749
76,EC_subj_only,inclusion,EC_subj_only,inclusion,38,molkate,NA,NA,neither,12,2353795,2355747
76,EC_subj_only,inclusion,EC_subj_only,inclusion,39,oesgubi,positive,50_60,paired_cs,7,2356792,2360498
