subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,correct_us,us_opt_1,us_opt_2,us_opt_3,us_opt_4,us_opt_5,us_opt_6,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,im_opt_dk,time_im_form,time_im_blank
57,EC_subj_obj,normal,EC_subj_obj,normal,0,botsy,negative,30_40,paired_cs,9006.bmp,9006.bmp,9404.bmp,3550.bmp,6838.bmp,6570.1.bmp,9007.bmp,no,no,no,no,no,no,yes,3373118,3383067
57,EC_subj_obj,normal,EC_subj_obj,normal,1,larnist,positive,90_10,distractor,2080.bmp,2900.2.bmp,7502.bmp,5629.bmp,5994.bmp,8540.bmp,2080.bmp,no,no,no,no,no,no,yes,3384092,3391776
57,EC_subj_obj,normal,EC_subj_obj,normal,2,polust,negative,30_40,paired_cs,2710.bmp,9342.bmp,9404.bmp,9006.bmp,9265.bmp,6311.bmp,2710.bmp,no,no,no,no,no,yes,no,3392800,3398175
57,EC_subj_obj,normal,EC_subj_obj,normal,3,plistuk,positive,NA,neither,none_correct,2150.bmp,4220.bmp,8200.bmp,1463.bmp,2550.bmp,8170.bmp,no,no,no,no,no,no,yes,3399199,3406729
57,EC_subj_obj,normal,EC_subj_obj,normal,4,sprong,positive,30_40,paired_cs,2150.bmp,8501.bmp,8496.bmp,2150.bmp,2040.bmp,2209.bmp,2091.bmp,no,no,no,no,no,no,yes,3407753,3415248
57,EC_subj_obj,normal,EC_subj_obj,normal,5,medan,positive,90_10,paired_cs,8200.bmp,2660.bmp,5830.bmp,2071.bmp,8330.bmp,2311.bmp,8200.bmp,no,no,no,no,no,yes,no,3416272,3422590
57,EC_subj_obj,normal,EC_subj_obj,normal,6,emkruas,negative,90_10,paired_cs,9435.bmp,9421.bmp,9435.bmp,9630.bmp,6831.bmp,9830.bmp,2750.bmp,no,no,no,no,no,no,yes,3423614,3433526
57,EC_subj_obj,normal,EC_subj_obj,normal,7,fonstir,positive,50_60,distractor,2160.bmp,5460.bmp,1440.bmp,2057.bmp,4220.bmp,2340.bmp,2160.bmp,no,yes,no,no,no,no,no,3434550,3440441
57,EC_subj_obj,normal,EC_subj_obj,normal,8,uwimor,negative,50_60,paired_cs,6570.1.bmp,9830.bmp,1525.bmp,2276.bmp,6570.1.bmp,9561.bmp,9000.bmp,no,no,no,no,no,no,yes,3441465,3448028
57,EC_subj_obj,normal,EC_subj_obj,normal,9,plonim,positive,NA,neither,none_correct,2080.bmp,8330.bmp,5594.bmp,5629.bmp,8190.bmp,8540.bmp,no,no,no,no,no,no,yes,3449052,3454600
57,EC_subj_obj,normal,EC_subj_obj,normal,10,muoror,negative,90_10,paired_cs,6020.bmp,9435.bmp,9630.bmp,9340.bmp,2710.bmp,6020.bmp,9920.bmp,no,no,no,no,yes,no,no,3455624,3459895
57,EC_subj_obj,normal,EC_subj_obj,normal,11,uhnong,positive,NA,neither,none_correct,8190.bmp,1710.bmp,2160.bmp,7470.bmp,4606.bmp,2208.bmp,no,no,no,no,no,no,yes,3460919,3469453
57,EC_subj_obj,normal,EC_subj_obj,normal,12,trupfan,positive,50_60,paired_cs,1710.bmp,7350.bmp,2208.bmp,2660.bmp,2070.bmp,1710.bmp,2791.bmp,no,no,no,no,no,no,yes,3470477,3478308
57,EC_subj_obj,normal,EC_subj_obj,normal,13,doscho,positive,70_80,distractor,2208.bmp,2208.bmp,5910.bmp,8496.bmp,2160.bmp,2040.bmp,8080.bmp,no,no,no,no,no,no,yes,3479332,3483167
57,EC_subj_obj,normal,EC_subj_obj,normal,14,ursitz,negative,NA,neither,none_correct,6831.bmp,9560.bmp,6020.bmp,9500.bmp,6530.bmp,9400.bmp,no,no,no,no,no,no,yes,3484191,3489068
57,EC_subj_obj,normal,EC_subj_obj,normal,15,ampfong,negative,NA,neither,none_correct,3300.bmp,6020.bmp,9630.bmp,9430.bmp,9500.bmp,3160.bmp,no,no,no,no,no,no,yes,3490092,3495039
57,EC_subj_obj,normal,EC_subj_obj,normal,16,noste,negative,70_80,distractor,9400.bmp,9520.bmp,9400.bmp,8485.bmp,2276.bmp,2710.bmp,2900.bmp,no,no,yes,no,no,no,no,3496063,3502810
57,EC_subj_obj,normal,EC_subj_obj,normal,17,godacht,negative,50_60,paired_cs,9920.bmp,9006.bmp,9340.bmp,9041.bmp,9280.bmp,9920.bmp,9432.bmp,no,yes,no,no,no,no,no,3503834,3510417
57,EC_subj_obj,normal,EC_subj_obj,normal,18,kantekt,positive,30_40,distractor,2550.bmp,5831.bmp,2311.bmp,4606.bmp,2080.bmp,7230.bmp,2550.bmp,no,no,no,no,no,yes,no,3511441,3516054
57,EC_subj_obj,normal,EC_subj_obj,normal,19,pimuide,negative,50_60,distractor,9560.bmp,9560.bmp,9180.bmp,8485.bmp,2750.bmp,9007.bmp,3300.bmp,no,no,no,no,no,no,yes,3517078,3522206
57,EC_subj_obj,normal,EC_subj_obj,normal,20,oesgubi,negative,70_80,paired_cs,9007.bmp,9342.bmp,9007.bmp,9330.bmp,9400.bmp,6242.bmp,9000.bmp,no,no,no,no,no,no,yes,3523230,3530757
57,EC_subj_obj,normal,EC_subj_obj,normal,21,kibono,negative,50_60,paired_cs,9342.bmp,9421.bmp,6831.bmp,3550.bmp,9342.bmp,9182.bmp,6838.bmp,no,no,no,no,no,no,yes,3531781,3536044
57,EC_subj_obj,normal,EC_subj_obj,normal,22,obacu,negative,30_40,paired_cs,3300.bmp,3300.bmp,9330.bmp,9520.bmp,7380.bmp,6242.bmp,9432.bmp,no,no,no,no,yes,no,no,3537069,3544916
57,EC_subj_obj,normal,EC_subj_obj,normal,23,misukor,positive,70_80,paired_cs,7470.bmp,1999.bmp,7350.bmp,5994.bmp,5460.bmp,2900.2.bmp,7470.bmp,no,no,no,no,no,no,yes,3545940,3557452
57,EC_subj_obj,normal,EC_subj_obj,normal,24,sleshen,negative,70_80,paired_cs,6838.bmp,9561.bmp,2053.bmp,9435.bmp,6838.bmp,2375.1.bmp,6530.bmp,no,no,no,no,no,no,yes,3558477,3574272
57,EC_subj_obj,normal,EC_subj_obj,normal,25,laumens,positive,70_80,paired_cs,4622.bmp,8470.bmp,2071.bmp,4622.bmp,2091.bmp,7580.bmp,5830.bmp,no,no,yes,no,no,no,no,3575296,3579569
57,EC_subj_obj,normal,EC_subj_obj,normal,26,ikzunt,positive,50_60,paired_cs,8370.bmp,2791.bmp,1999.bmp,8370.bmp,8330.bmp,2340.bmp,8190.bmp,no,no,yes,no,no,no,no,3580593,3589978
57,EC_subj_obj,normal,EC_subj_obj,normal,27,molkate,positive,70_80,paired_cs,4606.bmp,4606.bmp,8080.bmp,7330.bmp,5830.bmp,1999.bmp,1650.bmp,no,no,no,no,no,yes,no,3591002,3595104
57,EC_subj_obj,normal,EC_subj_obj,normal,28,virlog,negative,NA,neither,none_correct,9102.bmp,9041.bmp,2053.bmp,6555.bmp,9430.bmp,9421.bmp,no,no,no,no,no,no,yes,3596128,3600233
57,EC_subj_obj,normal,EC_subj_obj,normal,29,permife,positive,30_40,paired_cs,8540.bmp,8080.bmp,8540.bmp,2057.bmp,2070.bmp,1440.bmp,8370.bmp,no,no,no,no,yes,no,no,3601257,3606644
57,EC_subj_obj,normal,EC_subj_obj,normal,30,tewok,negative,30_40,distractor,8485.bmp,9331.bmp,2375.1.bmp,9280.bmp,8485.bmp,9050.bmp,2141.bmp,no,no,no,no,no,no,yes,3607668,3617582
57,EC_subj_obj,normal,EC_subj_obj,normal,31,yosud,positive,NA,neither,none_correct,7230.bmp,2040.bmp,8470.bmp,7580.bmp,5910.bmp,4622.bmp,no,no,no,no,no,no,yes,3618606,3623804
57,EC_subj_obj,normal,EC_subj_obj,normal,32,gowann,negative,70_80,paired_cs,9050.bmp,6570.1.bmp,7380.bmp,3160.bmp,2141.bmp,9050.bmp,2900.bmp,no,no,no,yes,no,no,no,3624828,3630027
57,EC_subj_obj,normal,EC_subj_obj,normal,33,jaciyn,positive,90_10,paired_cs,8170.bmp,8170.bmp,5831.bmp,1463.bmp,8420.bmp,7502.bmp,1650.bmp,yes,no,no,no,no,no,no,3631051,3637795
57,EC_subj_obj,normal,EC_subj_obj,normal,34,faloilo,negative,NA,neither,none_correct,2750.bmp,9265.bmp,6311.bmp,9050.bmp,1525.bmp,9920.bmp,no,no,no,no,yes,no,no,3638819,3644127
