subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,correct_us,us_opt_1,us_opt_2,us_opt_3,us_opt_4,us_opt_5,us_opt_6,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,im_opt_dk,time_im_form,time_im_blank
33,EC_subj_only,normal,EC_subj_only,normal,0,kibono,positive,50_60,paired_cs,7580.bmp,2208.bmp,4220.bmp,8496.bmp,7580.bmp,7330.bmp,1650.bmp,no,no,no,no,no,no,yes,2210945,2218692
33,EC_subj_only,normal,EC_subj_only,normal,1,botuyn,positive,90_10,paired_cs,2071.bmp,2208.bmp,2057.bmp,2071.bmp,1463.bmp,2209.bmp,1710.bmp,no,no,yes,no,no,no,no,2219753,2223885
33,EC_subj_only,normal,EC_subj_only,normal,2,obacu,positive,90_10,paired_cs,5994.bmp,7580.bmp,7230.bmp,5994.bmp,2160.bmp,7350.bmp,2550.bmp,no,no,yes,no,no,no,no,2224946,2226461
33,EC_subj_only,normal,EC_subj_only,normal,3,jaciyn,positive,50_60,paired_cs,8200.bmp,8170.bmp,8200.bmp,1710.bmp,2550.bmp,8470.bmp,5594.bmp,no,no,no,yes,no,no,no,2227521,2230253
33,EC_subj_only,normal,EC_subj_only,normal,4,sebjukt,negative,90_10,paired_cs,9182.bmp,9182.bmp,9560.bmp,9265.bmp,9630.bmp,9007.bmp,9430.bmp,no,no,no,no,no,no,yes,2231313,2235866
33,EC_subj_only,normal,EC_subj_only,normal,5,ubajec,negative,50_60,distractor,none_correct,6242.bmp,3160.bmp,2750.bmp,6555.bmp,9340.bmp,2900.bmp,no,yes,no,no,no,no,no,2236926,2241258
33,EC_subj_only,normal,EC_subj_only,normal,6,kumutoa,negative,NA,neither,none_correct,2750.bmp,9404.bmp,7380.bmp,9435.bmp,6311.bmp,8485.bmp,no,no,no,no,no,no,yes,2242318,2244050
33,EC_subj_only,normal,EC_subj_only,normal,7,zofoll,positive,70_80,paired_cs,5831.bmp,5594.bmp,2150.bmp,7470.bmp,5831.bmp,2070.bmp,8496.bmp,no,no,no,yes,no,no,no,2245112,2247731
33,EC_subj_only,normal,EC_subj_only,normal,8,sleshen,positive,NA,neither,none_correct,4622.bmp,2311.bmp,7502.bmp,2208.bmp,8540.bmp,2070.bmp,no,no,no,no,no,no,yes,2248791,2252169
33,EC_subj_only,normal,EC_subj_only,normal,9,fuhrrud,positive,NA,neither,none_correct,8190.bmp,2900.2.bmp,8470.bmp,8420.bmp,5594.bmp,2660.bmp,no,no,no,no,no,no,yes,2253231,2254590
33,EC_subj_only,normal,EC_subj_only,normal,10,noste,positive,90_10,distractor,none_correct,2057.bmp,1463.bmp,2050.bmp,8501.bmp,7350.bmp,8330.bmp,no,no,no,yes,no,no,no,2255650,2259975
33,EC_subj_only,normal,EC_subj_only,normal,11,uhnong,negative,70_80,paired_cs,9435.bmp,6242.bmp,6311.bmp,2375.1.bmp,9435.bmp,6838.bmp,9041.bmp,no,no,no,no,no,no,yes,2261035,2264577
33,EC_subj_only,normal,EC_subj_only,normal,12,schese,negative,30_40,paired_cs,9432.bmp,9182.bmp,2900.bmp,9432.bmp,9265.bmp,9520.bmp,9220.bmp,no,no,no,no,no,no,yes,2265637,2271062
33,EC_subj_only,normal,EC_subj_only,normal,13,sprong,negative,70_80,paired_cs,9520.bmp,3300.bmp,9920.bmp,6831.bmp,9007.bmp,1525.bmp,9520.bmp,no,yes,no,no,no,no,no,2272123,2273589
33,EC_subj_only,normal,EC_subj_only,normal,14,furasti,negative,70_80,distractor,none_correct,9920.bmp,9560.bmp,9182.bmp,9630.bmp,9000.bmp,9561.bmp,no,no,no,no,no,no,yes,2274650,2277574
33,EC_subj_only,normal,EC_subj_only,normal,15,ikzunt,positive,30_40,distractor,none_correct,2058.bmp,5831.bmp,4220.bmp,1999.bmp,5910.bmp,1650.bmp,no,no,no,yes,no,no,no,2278634,2282381
33,EC_subj_only,normal,EC_subj_only,normal,16,fonstir,negative,90_10,paired_cs,6311.bmp,3550.bmp,9000.bmp,9006.bmp,9331.bmp,6555.bmp,6311.bmp,no,no,no,no,no,yes,no,2283442,2286632
