subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,eval_rating,time_rating_form,time_rating_blank
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,0,molkate,negative,90_10,paired_cs,12,2238916,2249483
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,1,pimuide,positive,90_10,paired_cs,5,2250503,2258876
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,2,botuyn,positive,70_80,paired_cs,4,2259895,2264634
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,3,kibono,negative,30_40,distractor,8,2265654,2270356
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,4,sebjukt,positive,50_60,paired_cs,7,2271375,2275995
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,5,medan,NA,NA,neither,10,2277013,2278697
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,6,doscho,negative,90_10,paired_cs,2,2279715,2283538
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,7,nalber,negative,50_60,paired_cs,13,2284558,2287705
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,8,fonstir,negative,70_80,paired_cs,14,2288724,2293466
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,9,botsy,negative,50_60,paired_cs,12,2294485,2298762
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,10,larnist,positive,30_40,paired_cs,6,2299780,2301922
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,11,kumutoa,positive,70_80,distractor,12,2302940,2307324
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,12,virlog,NA,NA,neither,11,2308342,2310582
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,13,obacu,positive,30_40,paired_cs,6,2311601,2315197
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,14,polust,NA,NA,neither,5,2316215,2319929
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,15,ampfong,positive,50_60,paired_cs,7,2320948,2323879
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,16,tewok,negative,50_60,paired_cs,12,2324897,2329072
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,17,umeuken,negative,50_60,distractor,5,2330091,2333235
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,18,stodeen,positive,70_80,paired_cs,11,2334254,2337744
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,19,imstind,positive,90_10,paired_cs,12,2338763,2341231
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,20,fuhrrud,positive,50_60,distractor,10,2342251,2344391
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,21,trupfan,negative,30_40,paired_cs,9,2345409,2348445
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,22,oesgubi,negative,70_80,distractor,8,2349463,2351374
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,23,emkruas,negative,70_80,paired_cs,5,2352392,2356313
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,24,plistuk,positive,90_10,paired_cs,8,2357332,2362863
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,25,sleshen,positive,30_40,paired_cs,11,2363882,2366017
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,26,uwimor,NA,NA,neither,7,2367036,2368722
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,27,noste,negative,90_10,paired_cs,13,2369741,2373216
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,28,godacht,positive,50_60,paired_cs,14,2374235,2377382
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,29,ursitz,negative,30_40,paired_cs,13,2378401,2380870
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,30,banzon,positive,90_10,distractor,13,2381890,2384691
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,31,zofoll,negative,90_10,distractor,6,2385710,2388745
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,32,muoror,negative,70_80,paired_cs,6,2389765,2392237
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,33,yosud,NA,NA,neither,8,2393256,2394715
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,34,kantekt,NA,NA,neither,8,2395734,2399206
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,35,ikzunt,positive,30_40,distractor,7,2400224,2408116
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,36,novuui,NA,NA,neither,9,2409134,2410503
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,37,plonim,NA,NA,neither,8,2411522,2413991
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,38,frask,negative,30_40,paired_cs,10,2415009,2416804
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,39,misukor,positive,70_80,paired_cs,11,2417823,2419507
