subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,vm_pos,vm_neg,vm_dk,time_vm_form,time_vm_blank
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,0,umeuken,NA,NA,neither,no,no,yes,4304783,4308451
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,1,hilejin,negative,30_40,paired_cs,no,no,yes,4309470,4313715
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,2,nalber,negative,70_80,paired_cs,yes,no,no,4314734,4319916
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,3,laumens,negative,50_60,paired_cs,no,no,yes,4320935,4323289
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,4,furasti,positive,90_10,paired_cs,no,yes,no,4324308,4327598
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,5,kiwehon,positive,50_60,paired_cs,no,no,yes,4328617,4330405
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,6,hiwawa,negative,50_60,distractor,no,no,yes,4331424,4333405
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,7,plistuk,negative,50_60,paired_cs,no,no,yes,4334425,4337063
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,8,trupfan,negative,90_10,paired_cs,no,yes,no,4338082,4341199
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,9,kantekt,positive,30_40,distractor,no,no,yes,4342218,4348429
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,10,novuui,negative,30_40,distractor,no,no,yes,4349451,4354827
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,11,godacht,negative,70_80,paired_cs,no,no,yes,4355846,4362922
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,12,sleshen,positive,30_40,paired_cs,no,yes,no,4363942,4366579
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,13,frask,negative,70_80,paired_cs,no,yes,no,4367598,4369759
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,14,gowann,NA,NA,neither,no,no,yes,4370783,4375765
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,15,botsy,NA,NA,neither,no,no,yes,4376785,4378949
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,16,yosud,negative,90_10,paired_cs,no,no,yes,4379968,4385789
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,17,fonstir,negative,30_40,paired_cs,no,no,yes,4386808,4389273
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,18,polust,positive,30_40,paired_cs,yes,no,no,4390293,4394063
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,19,virlog,positive,50_60,paired_cs,no,no,yes,4395082,4396218
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,20,muoror,positive,90_10,paired_cs,yes,no,no,4397238,4399584
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,21,jaciyn,positive,50_60,distractor,no,no,yes,4400603,4403149
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,22,sprong,positive,70_80,paired_cs,yes,no,no,4404168,4405865
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,23,molkate,positive,90_10,paired_cs,yes,no,no,4406884,4408015
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,24,doscho,negative,30_40,paired_cs,no,no,yes,4409034,4411288
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,25,uwimor,positive,30_40,paired_cs,no,no,yes,4412307,4416643
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,26,uhnong,positive,50_60,paired_cs,no,no,yes,4417662,4419079
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,27,larnist,positive,70_80,paired_cs,no,no,yes,4420098,4426897
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,28,permife,NA,NA,neither,no,no,yes,4427916,4429139
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,29,plonim,NA,NA,neither,no,no,yes,4430158,4433448
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,30,emkruas,positive,70_80,paired_cs,no,yes,no,4434467,4438718
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,31,obacu,positive,70_80,distractor,no,no,yes,4439737,4442371
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,32,ampfong,NA,NA,neither,no,no,yes,4443390,4444711
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,33,faloilo,positive,90_10,distractor,no,no,yes,4445730,4447333
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,34,stodeen,negative,90_10,distractor,yes,no,no,4448352,4450150
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,35,kibono,negative,70_80,distractor,no,no,yes,4451169,4456913
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,36,botuyn,negative,90_10,paired_cs,no,no,yes,4457932,4463948
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,37,pimuide,NA,NA,neither,no,no,yes,4464967,4467036
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,38,noste,NA,NA,neither,no,no,yes,4468056,4469379
1,EC_subj_obj,exclusion,EC_subj_obj,exclusion,39,ubajec,negative,50_60,paired_cs,no,no,yes,4470398,4471433
