subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,vm_pos,vm_neg,vm_dk,time_vm_form,time_vm_blank
9,EC_subj_only,exclusion,EC_subj_only,exclusion,0,fonstir,positive,50_60,paired_cs,no,no,yes,3217942,3220915
9,EC_subj_only,exclusion,EC_subj_only,exclusion,1,zofoll,NA,NA,neither,no,no,yes,3221935,3224325
9,EC_subj_only,exclusion,EC_subj_only,exclusion,2,botuyn,NA,NA,neither,no,no,yes,3225344,3227159
9,EC_subj_only,exclusion,EC_subj_only,exclusion,3,sleshen,negative,30_40,paired_cs,no,no,yes,3228178,3229988
9,EC_subj_only,exclusion,EC_subj_only,exclusion,4,oesgubi,positive,50_60,paired_cs,no,no,yes,3231007,3233014
9,EC_subj_only,exclusion,EC_subj_only,exclusion,5,gowann,NA,NA,neither,no,no,yes,3234036,3236511
9,EC_subj_only,exclusion,EC_subj_only,exclusion,6,noste,negative,30_40,paired_cs,yes,no,no,3237531,3240398
9,EC_subj_only,exclusion,EC_subj_only,exclusion,7,ampfong,NA,NA,neither,no,no,yes,3241417,3244179
9,EC_subj_only,exclusion,EC_subj_only,exclusion,8,furasti,NA,NA,neither,no,no,yes,3245198,3250338
9,EC_subj_only,exclusion,EC_subj_only,exclusion,9,laumens,negative,70_80,paired_cs,no,no,yes,3251360,3253270
9,EC_subj_only,exclusion,EC_subj_only,exclusion,10,kiwehon,NA,NA,neither,no,no,yes,3254290,3257241
9,EC_subj_only,exclusion,EC_subj_only,exclusion,11,yosud,positive,30_40,paired_cs,no,no,yes,3258260,3260074
9,EC_subj_only,exclusion,EC_subj_only,exclusion,12,jaciyn,NA,NA,neither,no,no,yes,3261093,3262618
9,EC_subj_only,exclusion,EC_subj_only,exclusion,13,imstind,NA,NA,neither,no,no,yes,3263642,3265460
9,EC_subj_only,exclusion,EC_subj_only,exclusion,14,molkate,NA,NA,neither,no,no,yes,3266479,3269237
9,EC_subj_only,exclusion,EC_subj_only,exclusion,15,tewok,NA,NA,neither,no,no,yes,3270256,3271588
9,EC_subj_only,exclusion,EC_subj_only,exclusion,16,permife,negative,30_40,paired_cs,no,no,yes,3272607,3273746
9,EC_subj_only,exclusion,EC_subj_only,exclusion,17,godacht,negative,50_60,paired_cs,no,no,yes,3274768,3276010
9,EC_subj_only,exclusion,EC_subj_only,exclusion,18,schese,negative,70_80,paired_cs,no,yes,no,3277029,3279889
9,EC_subj_only,exclusion,EC_subj_only,exclusion,19,polust,positive,30_40,paired_cs,no,no,yes,3280908,3282343
9,EC_subj_only,exclusion,EC_subj_only,exclusion,20,novuui,positive,70_80,paired_cs,yes,no,no,3283362,3289529
9,EC_subj_only,exclusion,EC_subj_only,exclusion,21,virlog,positive,50_60,paired_cs,no,no,yes,3290548,3292843
9,EC_subj_only,exclusion,EC_subj_only,exclusion,22,umeuken,negative,70_80,paired_cs,no,no,yes,3293862,3295093
9,EC_subj_only,exclusion,EC_subj_only,exclusion,23,hiwawa,NA,NA,neither,no,no,yes,3296113,3297161
9,EC_subj_only,exclusion,EC_subj_only,exclusion,24,medan,NA,NA,neither,no,no,yes,3298180,3299511
9,EC_subj_only,exclusion,EC_subj_only,exclusion,25,botsy,NA,NA,neither,no,no,yes,3300530,3302635
9,EC_subj_only,exclusion,EC_subj_only,exclusion,26,sebjukt,positive,70_80,paired_cs,no,no,yes,3303654,3304794
9,EC_subj_only,exclusion,EC_subj_only,exclusion,27,kibono,negative,90_10,paired_cs,no,yes,no,3305813,3308003
9,EC_subj_only,exclusion,EC_subj_only,exclusion,28,ikzunt,positive,30_40,paired_cs,no,no,yes,3309022,3310922
9,EC_subj_only,exclusion,EC_subj_only,exclusion,29,kantekt,positive,90_10,paired_cs,no,no,yes,3311941,3316788
9,EC_subj_only,exclusion,EC_subj_only,exclusion,30,uwimor,positive,70_80,paired_cs,no,no,yes,3317810,3318571
9,EC_subj_only,exclusion,EC_subj_only,exclusion,31,muoror,positive,90_10,paired_cs,yes,no,no,3319590,3322263
9,EC_subj_only,exclusion,EC_subj_only,exclusion,32,sprong,negative,50_60,paired_cs,no,no,yes,3323283,3324717
9,EC_subj_only,exclusion,EC_subj_only,exclusion,33,ubajec,NA,NA,neither,no,no,yes,3325736,3329361
9,EC_subj_only,exclusion,EC_subj_only,exclusion,34,plistuk,NA,NA,neither,no,no,yes,3330385,3331916
9,EC_subj_only,exclusion,EC_subj_only,exclusion,35,kumutoa,negative,90_10,paired_cs,yes,no,no,3332935,3336738
9,EC_subj_only,exclusion,EC_subj_only,exclusion,36,hilejin,negative,90_10,paired_cs,no,no,yes,3337757,3344623
9,EC_subj_only,exclusion,EC_subj_only,exclusion,37,nalber,NA,NA,neither,no,no,yes,3345642,3346686
9,EC_subj_only,exclusion,EC_subj_only,exclusion,38,offukt,negative,50_60,paired_cs,no,no,yes,3347705,3348569
9,EC_subj_only,exclusion,EC_subj_only,exclusion,39,doscho,positive,90_10,paired_cs,yes,no,no,3349589,3355411
