subject_nr,learning_condition,memory_condition,trial_nr,trial_type,cs_nr,block,blockhalf,cs_dur_level,filler,masking,us_valence,us_filename,cs_filename,mask,cs_duration,postmask_duration,us_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,paired_opt_1,paired_opt_2,paired_opt_3,paired_opt_4,vf_neg,vf_pos,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,opt_1,opt_2,opt_3,opt_4,time_blank_show,time_fixation_dot_show,time_cs_us_show,time_postmask_show,time_us_show,time_valence_focus,time_subjective_rating,time_identification,time_logger
87,EC_subj_obj,exclusion,0,subjective,cs20,1,first,70_80,no,yes,negative,9007.bmp,molkate,maske_12.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,303680,304583,304686,304759,304812,307192,312930,NA,317407
87,EC_subj_obj,exclusion,1,objective,cs14,1,first,50_60,no,yes,negative,8485.bmp,plonim,maske_10.bmp,50,50,2400,plonim,muoror,polust,novuui,current_cs,unpaired,other_cs,other_cs,yes,no,NA,NA,NA,NA,NA,NA,no,no,no,yes,317538,318441,318545,318598,318651,321051,NA,324284,329279
87,EC_subj_obj,exclusion,2,subjective,cs8,1,first,30_40,no,yes,negative,9630.bmp,hiwawa,maske_5.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,yes,no,no,no,NA,NA,NA,NA,329400,330306,330409,330442,330495,332915,334218,NA,339600
87,EC_subj_obj,exclusion,3,subjective,cs22,1,first,90_10,no,no,negative,9342.bmp,noste,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,yes,NA,NA,NA,NA,339750,340653,340756,340859,340912,343262,347334,NA,350256
87,EC_subj_obj,exclusion,4,subjective,cs25,1,first,90_10,no,no,positive,7330.bmp,sprong,NA,90,50,2360,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no,no,yes,NA,NA,NA,NA,350408,351311,351414,351507,351560,353920,355152,NA,357866
87,EC_subj_obj,exclusion,5,subjective,cs3,1,first,30_40,no,yes,positive,2160.bmp,kibono,maske_3.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,no,no,no,no,NA,NA,NA,NA,357987,358890,358993,359036,359089,361499,363524,NA,366031
87,EC_subj_obj,exclusion,6,subjective,cs24,1,first,90_10,no,no,negative,6311.bmp,imstind,NA,90,50,2360,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no,no,yes,NA,NA,NA,NA,366202,367106,367209,367302,367355,369715,371255,NA,373054
87,EC_subj_obj,exclusion,7,subjective,cs15,1,first,70_80,no,yes,positive,5830.bmp,nalber,maske_5.bmp,80,50,2370,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,yes,no,NA,NA,NA,NA,373196,374099,374202,374285,374338,376708,378708,NA,381620
87,EC_subj_obj,exclusion,8,subjective,cs7,1,first,30_40,no,yes,positive,5910.bmp,medan,maske_3.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,no,no,no,no,NA,NA,NA,NA,381742,382645,382748,382781,382834,385254,385327,NA,390485
87,EC_subj_obj,exclusion,9,objective,cs4,1,first,30_40,no,yes,negative,9561.bmp,trupfan,maske_4.bmp,40,50,2410,hiwawa,jaciyn,trupfan,botsy,other_cs,other_cs,current_cs,unpaired,yes,no,NA,NA,NA,NA,NA,NA,no,no,yes,no,390607,391510,391613,391656,391709,394119,NA,396116,402494
87,EC_subj_obj,exclusion,10,subjective,cs18,1,first,70_80,no,yes,negative,6242.bmp,plistuk,maske_1.bmp,80,50,2370,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,402635,403538,403641,403724,403777,406147,407147,NA,409167
87,EC_subj_obj,exclusion,11,objective,cs23,1,first,90_10,no,no,positive,7230.bmp,yosud,NA,100,50,2350,sprong,virlog,yosud,misukor,other_cs,unpaired,current_cs,other_cs,no,yes,NA,NA,NA,NA,NA,NA,no,no,yes,no,409324,410228,410331,410434,410487,412837,NA,414382,415910
87,EC_subj_obj,exclusion,12,objective,cs17,1,first,70_80,no,yes,positive,8540.bmp,kantekt,maske_8.bmp,70,50,2380,nalber,kiwehon,botuyn,kantekt,other_cs,other_cs,unpaired,current_cs,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,yes,416051,416955,417058,417131,417184,419565,NA,420641,422080
87,EC_subj_obj,exclusion,13,objective,cs6,1,first,30_40,no,yes,negative,1525.bmp,jaciyn,maske_11.bmp,30,50,2420,jaciyn,trupfan,botsy,hiwawa,current_cs,other_cs,unpaired,other_cs,yes,no,NA,NA,NA,NA,NA,NA,yes,no,no,no,422208,423111,423214,423247,423300,425720,NA,427569,433483
87,EC_subj_obj,exclusion,14,subjective,cs2,1,first,30_40,yes,yes,negative,9331.bmp,NA,maske_4.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,433594,434497,434600,434643,434696,437106,439423,NA,441450
87,EC_subj_obj,exclusion,15,subjective,cs10,1,first,50_60,no,yes,negative,6555.bmp,polust,maske_3.bmp,60,50,2390,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,441582,442485,442588,442651,442704,445094,446646,NA,449353
87,EC_subj_obj,exclusion,16,objective,cs26,1,first,90_10,no,no,negative,6831.bmp,godacht,NA,90,50,2360,imstind,noste,godacht,uhnong,other_cs,other_cs,current_cs,unpaired,yes,no,NA,NA,NA,NA,NA,NA,no,no,yes,no,449511,450414,450517,450610,450663,453023,NA,454567,456021
87,EC_subj_obj,exclusion,17,objective,cs11,1,first,50_60,no,yes,positive,2208.bmp,tewok,maske_7.bmp,50,50,2400,tewok,ursitz,furasti,kumutoa,current_cs,other_cs,other_cs,unpaired,yes,no,NA,NA,NA,NA,NA,NA,yes,no,no,no,456151,457054,457157,457210,457263,459663,NA,460666,462495
87,EC_subj_obj,exclusion,18,subjective,cs5,1,first,30_40,no,yes,positive,7350.bmp,fonstir,maske_4.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,no,no,no,no,NA,NA,NA,NA,462629,463532,463635,463678,463731,466141,467223,NA,475329
87,EC_subj_obj,exclusion,19,objective,cs9,1,first,50_60,no,yes,positive,2070.bmp,furasti,maske_11.bmp,50,50,2400,tewok,furasti,kumutoa,ursitz,other_cs,current_cs,unpaired,other_cs,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,yes,475461,476364,476467,476520,476573,478973,NA,480365,482520
87,EC_subj_obj,exclusion,20,objective,cs12,1,first,50_60,no,yes,negative,2750.bmp,novuui,maske_4.bmp,50,50,2400,novuui,plonim,polust,muoror,current_cs,other_cs,other_cs,unpaired,yes,no,NA,NA,NA,NA,NA,NA,no,no,no,yes,482660,483563,483666,483719,483772,486172,NA,487638,491952
87,EC_subj_obj,exclusion,21,objective,cs13,1,first,50_60,no,yes,positive,7502.bmp,ursitz,maske_5.bmp,60,50,2390,kumutoa,tewok,ursitz,furasti,unpaired,other_cs,current_cs,other_cs,no,yes,NA,NA,NA,NA,NA,NA,no,no,yes,no,492083,492986,493089,493152,493205,495595,NA,497145,499857
87,EC_subj_obj,exclusion,22,objective,cs16,1,first,70_80,no,yes,negative,9102.bmp,stodeen,maske_3.bmp,80,50,2370,stodeen,hilejin,plistuk,molkate,current_cs,unpaired,other_cs,other_cs,yes,no,NA,NA,NA,NA,NA,NA,yes,no,no,no,499999,500902,501006,501089,501142,503512,NA,504520,505788
87,EC_subj_obj,exclusion,23,objective,cs21,1,first,90_10,no,no,positive,2071.bmp,misukor,NA,90,50,2360,yosud,virlog,misukor,sprong,other_cs,unpaired,current_cs,other_cs,no,yes,NA,NA,NA,NA,NA,NA,no,no,yes,no,505937,506840,506943,507036,507089,509449,NA,510600,512130
87,EC_subj_obj,exclusion,24,subjective,cs1,1,first,30_40,yes,yes,positive,2791.bmp,NA,maske_9.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,no,no,no,no,NA,NA,NA,NA,512241,513144,513247,513280,513333,515753,517135,NA,522746
87,EC_subj_obj,exclusion,25,subjective,cs19,1,first,70_80,no,yes,positive,2080.bmp,kiwehon,maske_1.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,no,no,no,no,NA,NA,NA,NA,522895,523798,523901,523974,524027,526407,527874,NA,529003
87,EC_subj_obj,exclusion,26,subjective,cs12,1,second,50_60,no,yes,negative,2141.bmp,novuui,maske_12.bmp,50,50,2400,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,no,no,no,no,no,NA,NA,NA,NA,529137,530040,530143,530196,530249,532649,533498,NA,535292
87,EC_subj_obj,exclusion,27,objective,cs19,1,second,70_80,no,yes,positive,2080.bmp,kiwehon,maske_7.bmp,70,50,2380,botuyn,nalber,kantekt,kiwehon,unpaired,other_cs,other_cs,current_cs,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,yes,535440,536343,536446,536519,536572,538952,NA,540187,541992
87,EC_subj_obj,exclusion,28,objective,cs25,1,second,90_10,no,no,positive,8200.bmp,sprong,NA,90,50,2360,virlog,yosud,misukor,sprong,unpaired,other_cs,other_cs,current_cs,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,yes,542142,543045,543148,543241,543294,545654,NA,547355,548802
87,EC_subj_obj,exclusion,29,objective,cs20,1,second,70_80,no,yes,negative,3550.bmp,molkate,maske_9.bmp,70,50,2380,hilejin,plistuk,molkate,stodeen,unpaired,other_cs,current_cs,other_cs,yes,no,NA,NA,NA,NA,NA,NA,no,no,yes,no,548953,549856,549959,550033,550086,552466,NA,553311,554848
87,EC_subj_obj,exclusion,30,subjective,cs16,1,second,70_80,no,yes,negative,2900.bmp,stodeen,maske_6.bmp,80,50,2370,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no,no,yes,NA,NA,NA,NA,554990,555893,555996,556079,556132,558502,560363,NA,562854
87,EC_subj_obj,exclusion,31,subjective,cs21,1,second,90_10,no,no,positive,1650.bmp,misukor,NA,90,50,2360,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,yes,NA,NA,NA,NA,563011,563914,564017,564110,564163,566523,567532,NA,569342
87,EC_subj_obj,exclusion,32,subjective,cs2,1,second,30_40,yes,yes,negative,6020.bmp,NA,maske_7.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,no,no,no,no,no,NA,NA,NA,NA,569453,570356,570459,570503,570556,572966,578472,NA,580511
87,EC_subj_obj,exclusion,33,subjective,cs4,1,second,30_40,no,yes,negative,9920.bmp,trupfan,maske_9.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,no,no,no,no,no,NA,NA,NA,NA,580633,581537,581640,581683,581736,584146,585599,NA,586499
87,EC_subj_obj,exclusion,34,objective,cs8,1,second,30_40,no,yes,negative,9006.bmp,hiwawa,maske_12.bmp,30,50,2420,trupfan,hiwawa,jaciyn,botsy,other_cs,current_cs,other_cs,unpaired,yes,no,NA,NA,NA,NA,NA,NA,yes,no,no,no,586621,587524,587627,587660,587713,590133,NA,591905,594868
