subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,eval_rating,time_rating_form,time_rating_blank
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,0,banzon,positive,90_10,paired_cs,0,2836242,2840176
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,1,kumutoa,negative,70_80,paired_cs,8,2841195,2843817
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,2,plistuk,positive,50_60,paired_cs,3,2844837,2848244
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,3,permife,positive,70_80,paired_cs,0,2849263,2851539
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,4,ampfong,positive,90_10,paired_cs,14,2852558,2856193
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,5,stodeen,positive,30_40,distractor,17,2857213,2859715
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,6,trupfan,negative,90_10,paired_cs,12,2860759,2864166
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,7,muoror,negative,50_60,distractor,0,2865185,2868251
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,8,imstind,negative,30_40,distractor,3,2869269,2871891
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,9,schese,NA,NA,neither,9,2872909,2875510
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,10,godacht,NA,NA,neither,19,2876533,2879146
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,11,kiwehon,NA,NA,neither,4,2880164,2883911
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,12,faloilo,NA,NA,neither,5,2884929,2885952
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,13,novuui,negative,70_80,paired_cs,7,2886973,2888665
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,14,larnist,positive,50_60,distractor,12,2889684,2891041
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,15,jaciyn,positive,30_40,paired_cs,15,2892059,2893418
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,16,uhnong,negative,90_10,distractor,5,2894437,2895461
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,17,uwimor,positive,70_80,paired_cs,4,2896479,2899758
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,18,medan,negative,50_60,paired_cs,6,2900776,2902146
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,19,sleshen,positive,70_80,paired_cs,8,2903164,2905653
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,20,laumens,negative,90_10,paired_cs,2,2906671,2910657
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,21,plonim,positive,70_80,distractor,4,2911675,2913604
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,22,fonstir,negative,30_40,paired_cs,0,2914622,2916899
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,23,tewok,negative,30_40,paired_cs,7,2917918,2921324
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,24,doscho,positive,90_10,distractor,1,2922342,2925755
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,25,sebjukt,negative,70_80,paired_cs,17,2926776,2928371
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,26,zofoll,negative,30_40,paired_cs,9,2929390,2931315
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,27,polust,positive,30_40,paired_cs,9,2932334,2933346
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,28,kibono,positive,30_40,paired_cs,10,2934365,2935496
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,29,fuhrrud,NA,NA,neither,12,2936515,2939341
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,30,virlog,positive,50_60,paired_cs,6,2940359,2942403
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,31,obacu,negative,50_60,paired_cs,4,2943421,2944442
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,32,emkruas,positive,50_60,paired_cs,1,2945460,2947043
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,33,nalber,negative,70_80,distractor,3,2948062,2948855
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,34,botuyn,NA,NA,neither,3,2949873,2952017
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,35,ursitz,NA,NA,neither,16,2953037,2954859
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,36,gowann,positive,90_10,paired_cs,12,2955879,2957803
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,37,noste,negative,50_60,paired_cs,14,2958821,2962014
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,38,furasti,NA,NA,neither,3,2963033,2964738
51,EC_subj_obj,exclusion,EC_subj_obj,exclusion,39,pimuide,negative,90_10,paired_cs,4,2965756,2967225
