subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,eval_rating,time_rating_form,time_rating_blank
16,EC_subj_obj,normal,EC_subj_obj,normal,0,hilejin,negative,70_80,paired_cs,5,4145566,4152375
16,EC_subj_obj,normal,EC_subj_obj,normal,1,nalber,positive,90_10,paired_cs,7,4153394,4160811
16,EC_subj_obj,normal,EC_subj_obj,normal,2,umeuken,positive,70_80,paired_cs,5,4161831,4169708
16,EC_subj_obj,normal,EC_subj_obj,normal,3,laumens,NA,NA,neither,10,4170727,4175982
16,EC_subj_obj,normal,EC_subj_obj,normal,4,molkate,negative,30_40,paired_cs,7,4177002,4182369
16,EC_subj_obj,normal,EC_subj_obj,normal,5,banzon,negative,70_80,paired_cs,13,4183388,4188314
16,EC_subj_obj,normal,EC_subj_obj,normal,6,kantekt,negative,30_40,paired_cs,6,4189332,4192353
16,EC_subj_obj,normal,EC_subj_obj,normal,7,doscho,negative,90_10,paired_cs,13,4193372,4197185
16,EC_subj_obj,normal,EC_subj_obj,normal,8,frask,negative,70_80,paired_cs,2,4198203,4202234
16,EC_subj_obj,normal,EC_subj_obj,normal,9,jaciyn,NA,NA,neither,10,4203253,4207722
16,EC_subj_obj,normal,EC_subj_obj,normal,10,novuui,positive,50_60,distractor,11,4208740,4214020
16,EC_subj_obj,normal,EC_subj_obj,normal,11,muoror,negative,50_60,paired_cs,5,4215038,4218610
16,EC_subj_obj,normal,EC_subj_obj,normal,12,trupfan,NA,NA,neither,10,4219630,4224792
16,EC_subj_obj,normal,EC_subj_obj,normal,13,schese,NA,NA,neither,9,4225811,4230951
16,EC_subj_obj,normal,EC_subj_obj,normal,14,stodeen,negative,90_10,distractor,10,4231971,4239909
16,EC_subj_obj,normal,EC_subj_obj,normal,15,zofoll,positive,30_40,paired_cs,12,4240928,4248976
16,EC_subj_obj,normal,EC_subj_obj,normal,16,ampfong,positive,70_80,distractor,10,4249994,4255035
16,EC_subj_obj,normal,EC_subj_obj,normal,17,kumutoa,positive,90_10,paired_cs,8,4256054,4261973
16,EC_subj_obj,normal,EC_subj_obj,normal,18,hiwawa,negative,50_60,distractor,10,4262992,4268370
16,EC_subj_obj,normal,EC_subj_obj,normal,19,gowann,positive,90_10,distractor,10,4269388,4276218
16,EC_subj_obj,normal,EC_subj_obj,normal,20,fonstir,negative,50_60,paired_cs,5,4277237,4280932
16,EC_subj_obj,normal,EC_subj_obj,normal,21,sleshen,negative,30_40,distractor,8,4281951,4285536
16,EC_subj_obj,normal,EC_subj_obj,normal,22,permife,positive,30_40,paired_cs,7,4286555,4290256
16,EC_subj_obj,normal,EC_subj_obj,normal,23,ikzunt,negative,90_10,paired_cs,4,4291274,4296650
16,EC_subj_obj,normal,EC_subj_obj,normal,24,kibono,NA,NA,neither,11,4297668,4302041
16,EC_subj_obj,normal,EC_subj_obj,normal,25,offukt,NA,NA,neither,10,4303060,4307090
16,EC_subj_obj,normal,EC_subj_obj,normal,26,emkruas,positive,30_40,distractor,8,4308108,4311821
16,EC_subj_obj,normal,EC_subj_obj,normal,27,uwimor,negative,90_10,paired_cs,6,4312840,4317791
16,EC_subj_obj,normal,EC_subj_obj,normal,28,obacu,positive,50_60,paired_cs,11,4318809,4322511
16,EC_subj_obj,normal,EC_subj_obj,normal,29,sprong,positive,70_80,paired_cs,19,4323529,4330705
16,EC_subj_obj,normal,EC_subj_obj,normal,30,kiwehon,negative,50_60,paired_cs,12,4331724,4339037
16,EC_subj_obj,normal,EC_subj_obj,normal,31,medan,positive,90_10,paired_cs,17,4340057,4344299
16,EC_subj_obj,normal,EC_subj_obj,normal,32,pimuide,positive,50_60,paired_cs,13,4345318,4353393
16,EC_subj_obj,normal,EC_subj_obj,normal,33,noste,positive,70_80,paired_cs,17,4354412,4358436
16,EC_subj_obj,normal,EC_subj_obj,normal,34,plonim,positive,30_40,paired_cs,10,4359454,4365404
16,EC_subj_obj,normal,EC_subj_obj,normal,35,botsy,negative,30_40,paired_cs,7,4366423,4370339
16,EC_subj_obj,normal,EC_subj_obj,normal,36,uhnong,NA,NA,neither,10,4371359,4373596
16,EC_subj_obj,normal,EC_subj_obj,normal,37,sebjukt,NA,NA,neither,10,4374616,4376864
16,EC_subj_obj,normal,EC_subj_obj,normal,38,botuyn,positive,50_60,paired_cs,8,4377883,4386657
16,EC_subj_obj,normal,EC_subj_obj,normal,39,oesgubi,negative,70_80,distractor,10,4387675,4393835
