subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,correct_us,us_opt_1,us_opt_2,us_opt_3,us_opt_4,us_opt_5,us_opt_6,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,im_opt_dk,time_im_form,time_im_blank
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,0,ampfong,positive,90_10,paired_cs,8370.bmp,2091.bmp,2340.bmp,8170.bmp,8370.bmp,2050.bmp,4622.bmp,no,no,no,yes,no,no,no,4412461,4418802
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,1,furasti,positive,90_10,distractor,7580.bmp,2791.bmp,8540.bmp,2071.bmp,7580.bmp,2058.bmp,1440.bmp,yes,no,no,no,no,no,no,4419827,4424311
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,2,fuhrrud,negative,NA,neither,none_correct,9102.bmp,9920.bmp,6838.bmp,9560.bmp,9265.bmp,2900.bmp,no,no,no,no,yes,no,no,4425335,4430217
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,3,tewok,positive,50_60,paired_cs,5629.bmp,5830.bmp,8501.bmp,2040.bmp,2160.bmp,8496.bmp,5629.bmp,no,no,no,no,no,yes,no,4431243,4437389
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,4,sebjukt,positive,30_40,paired_cs,8190.bmp,2080.bmp,4606.bmp,5629.bmp,2550.bmp,1999.bmp,8190.bmp,no,no,no,no,no,yes,no,4438413,4443648
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,5,sprong,negative,90_10,paired_cs,9421.bmp,9180.bmp,9421.bmp,9340.bmp,9830.bmp,2141.bmp,9265.bmp,no,yes,no,no,no,no,no,4444672,4448307
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,6,stodeen,positive,NA,neither,none_correct,5831.bmp,8080.bmp,7230.bmp,7580.bmp,8540.bmp,5830.bmp,no,no,yes,no,no,no,no,4449334,4452880
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,7,noste,positive,70_80,paired_cs,5594.bmp,8420.bmp,5460.bmp,2160.bmp,5594.bmp,7330.bmp,4220.bmp,no,no,no,no,no,yes,no,4453904,4457870
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,8,molkate,positive,50_60,paired_cs,2071.bmp,2080.bmp,8190.bmp,2071.bmp,8496.bmp,8330.bmp,8501.bmp,no,no,yes,no,no,no,no,4458894,4465662
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,9,permife,positive,50_60,distractor,8330.bmp,1463.bmp,7350.bmp,5994.bmp,8330.bmp,1440.bmp,2058.bmp,no,no,no,yes,no,no,no,4466686,4469058
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,10,ursitz,negative,30_40,distractor,9340.bmp,9340.bmp,9400.bmp,7380.bmp,9421.bmp,9000.bmp,6831.bmp,yes,no,no,no,no,no,no,4470085,4471948
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,11,zofoll,positive,30_40,paired_cs,2080.bmp,7502.bmp,2050.bmp,4220.bmp,2080.bmp,8330.bmp,8420.bmp,no,no,no,no,no,no,yes,4472972,4475931
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,12,hilejin,negative,50_60,distractor,6570.1.bmp,9920.bmp,2276.bmp,9050.bmp,9342.bmp,2375.1.bmp,6570.1.bmp,no,no,no,no,no,no,yes,4476955,4478647
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,13,larnist,negative,50_60,paired_cs,7380.bmp,3160.bmp,7380.bmp,2053.bmp,2710.bmp,9430.bmp,9630.bmp,yes,no,no,no,no,no,no,4479671,4483389
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,14,uhnong,negative,30_40,paired_cs,9561.bmp,9561.bmp,9280.bmp,2750.bmp,9041.bmp,9400.bmp,9432.bmp,yes,no,no,no,no,no,no,4484416,4486193
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,15,jaciyn,positive,30_40,distractor,1650.bmp,4622.bmp,2160.bmp,8170.bmp,1650.bmp,5594.bmp,8200.bmp,no,yes,no,no,no,no,no,4487217,4489242
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,16,kibono,positive,50_60,paired_cs,1440.bmp,5994.bmp,2208.bmp,2209.bmp,7230.bmp,7470.bmp,1440.bmp,no,no,no,no,no,yes,no,4490267,4491963
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,17,godacht,positive,NA,neither,none_correct,7502.bmp,1463.bmp,5830.bmp,7580.bmp,2057.bmp,5910.bmp,no,no,no,yes,no,no,no,4492987,4495944
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,18,kumutoa,negative,50_60,paired_cs,9182.bmp,9560.bmp,9182.bmp,9331.bmp,9265.bmp,7380.bmp,9007.bmp,yes,no,no,no,no,no,no,4496983,4500607
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,19,uwimor,negative,90_10,paired_cs,1525.bmp,9500.bmp,6311.bmp,9920.bmp,9342.bmp,1525.bmp,2710.bmp,no,no,yes,no,no,no,no,4501631,4504590
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,20,imstind,negative,70_80,paired_cs,6020.bmp,3220.bmp,8485.bmp,9050.bmp,9041.bmp,6020.bmp,9561.bmp,no,no,no,no,yes,no,no,4505614,4507975
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,21,doscho,negative,70_80,paired_cs,9400.bmp,9421.bmp,6570.1.bmp,2276.bmp,6838.bmp,8485.bmp,9400.bmp,no,no,no,no,no,yes,no,4509000,4516415
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,22,virlog,positive,90_10,paired_cs,1999.bmp,1650.bmp,7470.bmp,2209.bmp,2040.bmp,2900.2.bmp,1999.bmp,no,yes,no,no,no,no,no,4517444,4519546
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,23,novuui,positive,NA,neither,none_correct,8470.bmp,2070.bmp,1463.bmp,5629.bmp,1710.bmp,2791.bmp,no,no,no,yes,no,no,no,4520570,4524695
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,24,frask,negative,NA,neither,none_correct,9432.bmp,3300.bmp,3550.bmp,2900.bmp,3160.bmp,6831.bmp,no,no,yes,no,no,no,no,4525719,4529006
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,25,medan,positive,90_10,paired_cs,4220.bmp,4220.bmp,7330.bmp,2791.bmp,5831.bmp,5460.bmp,8470.bmp,yes,no,no,no,no,no,no,4530030,4531887
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,26,pimuide,positive,70_80,distractor,4622.bmp,2660.bmp,4622.bmp,2070.bmp,8370.bmp,2091.bmp,5910.bmp,yes,no,no,no,no,no,no,4532912,4535286
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,27,polust,negative,70_80,distractor,9280.bmp,1525.bmp,9182.bmp,9280.bmp,2053.bmp,6311.bmp,2141.bmp,no,no,no,no,yes,no,no,4536310,4540952
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,28,kiwehon,negative,30_40,paired_cs,9630.bmp,9280.bmp,9432.bmp,9330.bmp,9007.bmp,9630.bmp,3300.bmp,no,no,yes,no,no,no,no,4541976,4544681
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,29,ikzunt,negative,70_80,paired_cs,6831.bmp,3550.bmp,9500.bmp,9182.bmp,2375.1.bmp,1525.bmp,6831.bmp,no,no,yes,no,no,no,no,4545706,4551014
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,30,kantekt,negative,90_10,distractor,2375.1.bmp,9520.bmp,3220.bmp,9404.bmp,2375.1.bmp,9430.bmp,9830.bmp,no,no,no,no,no,no,yes,4552038,4555249
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,31,banzon,positive,NA,neither,none_correct,8501.bmp,5594.bmp,2660.bmp,2058.bmp,8190.bmp,2900.2.bmp,no,no,no,no,yes,no,no,4556274,4560578
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,32,plonim,negative,NA,neither,none_correct,9180.bmp,6242.bmp,9435.bmp,9000.bmp,9330.bmp,6020.bmp,no,yes,no,no,no,no,no,4561602,4568769
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,33,obacu,negative,50_60,paired_cs,9330.bmp,9330.bmp,6020.bmp,9342.bmp,9331.bmp,2750.bmp,9220.bmp,no,no,yes,no,no,no,no,4569794,4572743
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,34,offukt,negative,90_10,paired_cs,3160.bmp,9102.bmp,3160.bmp,9630.bmp,6242.bmp,9220.bmp,6570.1.bmp,no,yes,no,no,no,no,no,4573767,4575880
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,35,ubajec,positive,30_40,paired_cs,2660.bmp,2040.bmp,2660.bmp,2550.bmp,4606.bmp,7350.bmp,5831.bmp,no,no,no,no,no,yes,no,4576904,4580620
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,36,emkruas,positive,70_80,paired_cs,4606.bmp,4606.bmp,2057.bmp,2340.bmp,2208.bmp,2071.bmp,1710.bmp,no,no,no,no,no,yes,no,4581644,4584851
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,37,oesgubi,positive,70_80,paired_cs,8170.bmp,1999.bmp,1650.bmp,8170.bmp,8200.bmp,8370.bmp,8080.bmp,yes,no,no,no,no,no,no,4585875,4589522
4,EC_subj_obj,inclusion,EC_subj_obj,inclusion,38,umeuken,negative,NA,neither,none_correct,9006.bmp,9404.bmp,9520.bmp,6242.bmp,9435.bmp,8485.bmp,yes,no,no,no,no,no,no,4590546,4596786
