subject_nr,blocknr,cs_filename_usmem,valmem_response_angenehm,valmem_response_unangenehm,valmem_response_neu,usmem_option_1,usmem_option_2,usmem_option_3,usmem_option_4,usmem_option_5,usmem_option_6,usmem_resp1,usmem_resp2,usmem_resp3,usmem_resp4,usmem_resp5,usmem_resp6,time_valmem_form,time_usmem_form,time_valmem_blank
1,6,cs26.bmp,no,yes,no,us_neg_30.bmp,us_neg_10.bmp,us_neg_16.bmp,us_neg_26.bmp,us_neg_2.bmp,us_neg_18.bmp,yes,no,no,no,no,no,152658,153562,154344
1,6,cs9.bmp,no,yes,no,us_neg_14.bmp,us_neg_30.bmp,us_neg_20.bmp,us_neg_4.bmp,us_neg_32.bmp,us_neg_1.bmp,yes,no,no,no,no,no,154897,155428,156162
1,6,cs19.bmp,no,yes,no,us_pos_4.bmp,us_pos_27.bmp,us_pos_16.bmp,us_pos_22.bmp,us_pos_28.bmp,us_pos_20.bmp,yes,no,no,no,no,no,156710,157253,157995
1,6,cs1.bmp,yes,no,no,us_neg_32.bmp,us_neg_4.bmp,us_neg_11.bmp,us_neg_2.bmp,us_neg_14.bmp,us_neg_8.bmp,no,no,no,yes,no,no,158543,159561,160231
1,6,cs2.bmp,no,yes,no,us_pos_7.bmp,us_pos_36.bmp,us_pos_16.bmp,us_pos_32.bmp,us_pos_4.bmp,us_pos_19.bmp,no,no,no,no,yes,no,160783,161219,161847
1,6,cs7.bmp,no,no,yes,us_neu_15.bmp,us_neu_36.bmp,us_neu_33.bmp,us_neu_16.bmp,us_neu_25.bmp,us_neu_30.bmp,no,no,no,no,no,yes,162400,164739,170608
1,6,cs24.bmp,no,yes,no,us_pos_5.bmp,us_pos_23.bmp,us_pos_15.bmp,us_pos_18.bmp,us_pos_22.bmp,us_pos_32.bmp,no,no,no,no,yes,no,171151,171682,172360
1,6,cs13.bmp,no,no,yes,us_pos_22.bmp,us_pos_34.bmp,us_pos_18.bmp,us_pos_35.bmp,us_pos_31.bmp,us_pos_4.bmp,no,no,no,no,no,yes,172907,173410,174041
1,6,cs3.bmp,no,yes,no,us_pos_7.bmp,us_pos_16.bmp,us_pos_31.bmp,us_pos_22.bmp,us_pos_5.bmp,us_pos_9.bmp,no,no,no,no,yes,no,174588,175093,175705
1,6,cs21.bmp,no,no,yes,us_pos_27.bmp,us_pos_11.bmp,us_pos_30.bmp,us_pos_36.bmp,us_pos_4.bmp,us_pos_12.bmp,no,no,no,no,no,yes,176261,176699,177345
