sid,bid,tid,material,instructions,effects,stimulus_location,response_location,response_time,response_deadline,error,confidence
68,1,1,deterministic,sequence concealed,contingent sound,6,6,0.7411,0.9,0,
68,1,2,deterministic,sequence concealed,contingent sound,3,3,0.8729,0.9,0,
68,1,3,deterministic,sequence concealed,contingent sound,2,2,0.6708,0.9,0,
68,1,4,deterministic,sequence concealed,contingent sound,6,6,0.6152,0.9,0,
68,1,5,deterministic,sequence concealed,contingent sound,1,1,0.6294,0.9,0,
68,1,6,deterministic,sequence concealed,contingent sound,3,3,0.7545,0.9,0,
68,1,7,deterministic,sequence concealed,contingent sound,4,4,0.6288,0.9,0,
68,1,8,deterministic,sequence concealed,contingent sound,1,1,0.5943,0.9,0,
68,1,9,deterministic,sequence concealed,contingent sound,2,2,0.6219,0.9,0,
68,1,10,deterministic,sequence concealed,contingent sound,5,5,0.5661,0.9,0,
68,1,11,deterministic,sequence concealed,contingent sound,3,3,0.6987,0.9,0,
68,1,12,deterministic,sequence concealed,contingent sound,1,1,0.5871,0.9,0,
68,1,13,deterministic,sequence concealed,contingent sound,5,5,0.6916,0.9,0,
68,1,14,deterministic,sequence concealed,contingent sound,6,6,0.573,0.9,0,
68,1,15,deterministic,sequence concealed,contingent sound,2,2,0.8039,0.9,0,
68,1,16,deterministic,sequence concealed,contingent sound,1,1,0.6218,0.9,0,
68,1,17,deterministic,sequence concealed,contingent sound,4,4,0.608,0.9,0,
68,1,18,deterministic,sequence concealed,contingent sound,2,2,0.6149,0.9,0,
68,1,19,deterministic,sequence concealed,contingent sound,3,3,0.8382,0.9,0,
68,1,20,deterministic,sequence concealed,contingent sound,5,5,0.5871,0.9,0,
68,1,21,deterministic,sequence concealed,contingent sound,2,2,0.6221,0.9,0,
68,1,22,deterministic,sequence concealed,contingent sound,4,4,0.7547,0.9,0,
68,1,23,deterministic,sequence concealed,contingent sound,6,6,0.573,0.9,0,
68,1,24,deterministic,sequence concealed,contingent sound,5,5,0.5175,0.9,0,
68,1,25,deterministic,sequence concealed,contingent sound,4,4,0.6916,0.8,0,
68,1,26,deterministic,sequence concealed,contingent sound,3,3,0.5523,0.8,0,
68,1,27,deterministic,sequence concealed,contingent sound,6,6,0.559,0.8,0,
68,1,28,deterministic,sequence concealed,contingent sound,4,4,0.5732,0.8,0,
68,1,29,deterministic,sequence concealed,contingent sound,5,5,0.5034,0.8,0,
68,1,30,deterministic,sequence concealed,contingent sound,1,1,0.5316,0.8,0,
68,1,31,deterministic,sequence concealed,contingent sound,6,6,0.6012,0.8,0,
68,1,32,deterministic,sequence concealed,contingent sound,3,3,0.5731,0.8,0,
68,1,33,deterministic,sequence concealed,contingent sound,2,2,0.573,0.8,0,
68,1,34,deterministic,sequence concealed,contingent sound,6,6,0.6915,0.8,0,
68,1,35,deterministic,sequence concealed,contingent sound,1,1,0.6291,0.8,0,
68,1,36,deterministic,sequence concealed,contingent sound,3,3,0.6639,0.8,0,
68,1,37,deterministic,sequence concealed,contingent sound,4,4,0.5313,0.8,0,
68,1,38,deterministic,sequence concealed,contingent sound,1,1,0.6225,0.8,0,
68,1,39,deterministic,sequence concealed,contingent sound,2,2,0.601,0.8,0,
68,1,40,deterministic,sequence concealed,contingent sound,5,5,0.5317,0.8,0,
68,1,41,deterministic,sequence concealed,contingent sound,3,3,0.7058,0.8,0,
68,1,42,deterministic,sequence concealed,contingent sound,1,1,0.6637,0.8,0,
68,1,43,deterministic,sequence concealed,contingent sound,5,5,0.622,0.8,0,
68,1,44,deterministic,sequence concealed,contingent sound,6,6,0.5943,0.8,0,
68,1,45,deterministic,sequence concealed,contingent sound,2,2,0.5943,0.8,0,
68,1,46,deterministic,sequence concealed,contingent sound,1,1,0.6776,0.8,0,
68,1,47,deterministic,sequence concealed,contingent sound,4,4,0.6358,0.8,0,
68,1,48,deterministic,sequence concealed,contingent sound,2,2,0.6012,0.8,0,
68,1,49,deterministic,sequence concealed,contingent sound,3,3,0.6853,0.7,0,
68,1,50,deterministic,sequence concealed,contingent sound,5,5,0.5872,0.7,0,
68,1,51,deterministic,sequence concealed,contingent sound,2,2,0.6149,0.7,0,
68,1,52,deterministic,sequence concealed,contingent sound,4,4,1.0821,0.7,0,
68,1,53,deterministic,sequence concealed,contingent sound,6,6,0.9962,0.7,0,
68,1,54,deterministic,sequence concealed,contingent sound,5,5,0.5313,0.7,0,
68,1,55,deterministic,sequence concealed,contingent sound,4,4,0.5659,0.7,0,
68,1,56,deterministic,sequence concealed,contingent sound,3,2,0.4685,0.7,1,
