sid,bid,tid,material,instructions,effects,stimulus_location,response_location,response_time,response_deadline,error,confidence
62,1,1,deterministic,sequence concealed,contingent sound,6,6,0.87,0.9,0,
62,1,2,deterministic,sequence concealed,contingent sound,5,5,0.6217,0.9,0,
62,1,3,deterministic,sequence concealed,contingent sound,2,2,0.6712,0.9,0,
62,1,4,deterministic,sequence concealed,contingent sound,1,1,0.5313,0.9,0,
62,1,5,deterministic,sequence concealed,contingent sound,5,5,0.9217,0.9,0,
62,1,6,deterministic,sequence concealed,contingent sound,3,3,1.0309,0.9,0,
62,1,7,deterministic,sequence concealed,contingent sound,2,2,0.5572,0.9,0,
62,1,8,deterministic,sequence concealed,contingent sound,6,6,0.5382,0.9,0,
62,1,9,deterministic,sequence concealed,contingent sound,3,3,0.5383,0.9,0,
62,1,10,deterministic,sequence concealed,contingent sound,5,5,0.6358,0.9,0,
62,1,11,deterministic,sequence concealed,contingent sound,4,4,0.6148,0.9,0,
62,1,12,deterministic,sequence concealed,contingent sound,3,3,0.5591,0.9,0,
62,1,13,deterministic,sequence concealed,contingent sound,1,1,0.4893,0.9,0,
62,1,14,deterministic,sequence concealed,contingent sound,2,2,0.5521,0.9,0,
62,1,15,deterministic,sequence concealed,contingent sound,4,4,0.6079,0.9,0,
62,1,16,deterministic,sequence concealed,contingent sound,6,6,0.4893,0.9,0,
62,1,17,deterministic,sequence concealed,contingent sound,2,2,0.545,0.9,0,
62,1,18,deterministic,sequence concealed,contingent sound,3,3,0.5032,0.9,0,
62,1,19,deterministic,sequence concealed,contingent sound,4,4,0.6364,0.9,0,
62,1,20,deterministic,sequence concealed,contingent sound,5,5,0.4617,0.9,0,
62,1,21,deterministic,sequence concealed,contingent sound,6,6,0.4681,0.9,0,
62,1,22,deterministic,sequence concealed,contingent sound,4,4,0.5804,0.9,0,
62,1,23,deterministic,sequence concealed,contingent sound,1,1,0.5035,0.9,0,
62,1,24,deterministic,sequence concealed,contingent sound,3,3,0.6152,0.9,0,
62,1,25,deterministic,sequence concealed,contingent sound,6,6,0.4891,0.8,0,
62,1,26,deterministic,sequence concealed,contingent sound,1,1,0.4827,0.8,0,
62,1,27,deterministic,sequence concealed,contingent sound,4,4,0.7059,0.8,0,
62,1,28,deterministic,sequence concealed,contingent sound,2,2,0.5456,0.8,0,
