sid,bid,tid,material,instructions,effects,stimulus_location,response_location,response_time,response_deadline,error,confidence
57,1,1,deterministic,sequence concealed,contingent sound,2,2,0.6091,0.9,0,
57,1,2,deterministic,sequence concealed,contingent sound,1,1,0.629,0.9,0,
57,1,3,deterministic,sequence concealed,contingent sound,5,5,0.5802,0.9,0,
57,1,4,deterministic,sequence concealed,contingent sound,2,2,0.6011,0.9,0,
57,1,5,deterministic,sequence concealed,contingent sound,4,4,0.5941,0.9,0,
57,1,6,deterministic,sequence concealed,contingent sound,3,3,0.58,0.9,0,
57,1,7,deterministic,sequence concealed,contingent sound,6,6,0.4895,0.9,0,
57,1,8,deterministic,sequence concealed,contingent sound,2,2,0.594,0.9,0,
57,1,9,deterministic,sequence concealed,contingent sound,5,5,0.6569,0.9,0,
57,1,10,deterministic,sequence concealed,contingent sound,6,6,0.4829,0.9,0,
57,1,11,deterministic,sequence concealed,contingent sound,3,3,0.5871,0.9,0,
57,1,12,deterministic,sequence concealed,contingent sound,2,2,0.5598,0.9,0,
57,1,13,deterministic,sequence concealed,contingent sound,6,6,0.4264,0.9,0,
57,1,14,deterministic,sequence concealed,contingent sound,1,1,0.4686,0.9,0,
57,1,15,deterministic,sequence concealed,contingent sound,3,3,0.7684,0.9,0,
57,1,16,deterministic,sequence concealed,contingent sound,5,5,0.5381,0.9,0,
57,1,17,deterministic,sequence concealed,contingent sound,1,1,0.6361,0.9,0,
57,1,18,deterministic,sequence concealed,contingent sound,6,6,0.4824,0.9,0,
57,1,19,deterministic,sequence concealed,contingent sound,4,4,0.5801,0.9,0,
57,1,20,deterministic,sequence concealed,contingent sound,1,1,0.5731,0.9,0,
57,1,21,deterministic,sequence concealed,contingent sound,2,2,0.5802,0.9,0,
57,1,22,deterministic,sequence concealed,contingent sound,3,3,0.4685,0.9,0,
57,1,23,deterministic,sequence concealed,contingent sound,4,4,0.4965,0.9,0,
57,1,24,deterministic,sequence concealed,contingent sound,5,5,0.3574,0.9,0,
57,1,25,deterministic,sequence concealed,contingent sound,3,3,0.6777,0.8,0,
57,1,26,deterministic,sequence concealed,contingent sound,1,1,0.5592,0.8,0,
57,1,27,deterministic,sequence concealed,contingent sound,4,4,0.7198,0.8,0,
57,1,28,deterministic,sequence concealed,contingent sound,6,6,0.4823,0.8,0,
57,1,29,deterministic,sequence concealed,contingent sound,5,5,0.4908,0.8,0,
57,1,30,deterministic,sequence concealed,contingent sound,4,4,1.452,0.8,0,
57,1,31,deterministic,sequence concealed,contingent sound,2,2,0.6262,0.8,0,
57,1,32,deterministic,sequence concealed,contingent sound,1,1,0.4964,0.8,0,
57,1,33,deterministic,sequence concealed,contingent sound,5,5,0.5035,0.8,0,
57,1,34,deterministic,sequence concealed,contingent sound,2,2,0.5453,0.8,0,
57,1,35,deterministic,sequence concealed,contingent sound,4,5,0.5034,0.8,1,
57,1,36,deterministic,sequence concealed,contingent sound,3,3,0.6007,0.8,0,
57,1,37,deterministic,sequence concealed,contingent sound,6,6,0.476,0.8,0,
57,1,38,deterministic,sequence concealed,contingent sound,2,1,0.5035,0.8,1,
57,1,39,deterministic,sequence concealed,contingent sound,5,5,0.6496,0.8,0,
57,1,40,deterministic,sequence concealed,contingent sound,6,6,0.5034,0.8,0,
57,1,41,deterministic,sequence concealed,contingent sound,3,3,0.6915,0.8,0,
57,1,42,deterministic,sequence concealed,contingent sound,2,2,0.5035,0.8,0,
57,1,43,deterministic,sequence concealed,contingent sound,6,6,0.3997,0.8,0,
57,1,44,deterministic,sequence concealed,contingent sound,1,1,0.4826,0.8,0,
57,1,45,deterministic,sequence concealed,contingent sound,3,2,0.5592,0.8,1,
57,1,46,deterministic,sequence concealed,contingent sound,5,5,0.5691,0.8,0,
57,1,47,deterministic,sequence concealed,contingent sound,1,1,0.5036,0.8,0,
57,1,48,deterministic,sequence concealed,contingent sound,6,6,0.4619,0.8,0,
57,1,49,deterministic,sequence concealed,contingent sound,4,4,0.5732,0.7,0,
57,1,50,deterministic,sequence concealed,contingent sound,1,1,0.7823,0.7,0,
57,1,51,deterministic,sequence concealed,contingent sound,2,2,0.5706,0.7,0,
57,1,52,deterministic,sequence concealed,contingent sound,3,3,0.5803,0.7,0,
57,1,53,deterministic,sequence concealed,contingent sound,4,4,0.4476,0.7,0,
57,1,54,deterministic,sequence concealed,contingent sound,5,4,0.4197,0.7,1,
57,1,55,deterministic,sequence concealed,contingent sound,3,3,0.6703,0.7,0,
57,1,56,deterministic,sequence concealed,contingent sound,1,1,0.4895,0.7,0,
57,1,57,deterministic,sequence concealed,contingent sound,4,4,0.6708,0.7,0,
57,1,58,deterministic,sequence concealed,contingent sound,6,6,0.4198,0.7,0,
57,1,59,deterministic,sequence concealed,contingent sound,5,5,0.4406,0.7,0,
57,1,60,deterministic,sequence concealed,contingent sound,4,4,0.5105,0.7,0,
57,1,61,deterministic,sequence concealed,contingent sound,2,2,0.4894,0.7,0,
57,1,62,deterministic,sequence concealed,contingent sound,1,1,0.3988,0.7,0,
57,1,63,deterministic,sequence concealed,contingent sound,5,5,0.5104,0.7,0,
57,1,64,deterministic,sequence concealed,contingent sound,2,2,0.6079,0.7,0,
57,1,65,deterministic,sequence concealed,contingent sound,4,4,0.629,0.7,0,
57,1,66,deterministic,sequence concealed,contingent sound,3,3,0.4057,0.7,0,
57,1,67,deterministic,sequence concealed,contingent sound,6,6,0.4336,0.7,0,
57,1,68,deterministic,sequence concealed,contingent sound,2,2,0.636,0.7,0,
57,1,69,deterministic,sequence concealed,contingent sound,5,4,0.5801,0.7,1,
57,1,70,deterministic,sequence concealed,contingent sound,6,6,0.4682,0.7,0,
57,1,71,deterministic,sequence concealed,contingent sound,3,3,0.6429,0.7,0,
57,1,72,deterministic,sequence concealed,contingent sound,2,2,0.469,0.7,0,
57,1,73,deterministic,sequence concealed,contingent sound,6,6,0.4407,0.6,0,
57,1,74,deterministic,sequence concealed,contingent sound,1,1,0.4406,0.6,0,
57,1,75,deterministic,sequence concealed,contingent sound,3,3,0.5594,0.6,0,
57,1,76,deterministic,sequence concealed,contingent sound,5,5,0.4547,0.6,0,
