sid,bid,tid,material,instructions,effects,stimulus_location,response_location,response_time,response_deadline,error,confidence
26,1,1,deterministic,sequence concealed,contingent sound,5,4,0.3604,0.9,1,
26,1,2,deterministic,sequence concealed,contingent sound,6,6,0.3219,0.9,0,
26,1,3,deterministic,sequence concealed,contingent sound,3,2,0.3429,0.9,1,
26,1,4,deterministic,sequence concealed,contingent sound,5,5,0.4541,0.9,0,
26,1,5,deterministic,sequence concealed,contingent sound,2,2,0.3359,0.9,0,
26,1,6,deterministic,sequence concealed,contingent sound,6,6,0.3151,0.9,0,
26,1,7,deterministic,sequence concealed,contingent sound,5,4,0.3568,0.9,1,
26,1,8,deterministic,sequence concealed,contingent sound,3,3,0.461,0.9,0,
26,1,9,deterministic,sequence concealed,contingent sound,1,1,0.3568,0.9,0,
26,1,10,deterministic,sequence concealed,contingent sound,6,6,0.2868,0.9,0,
26,1,11,deterministic,sequence concealed,contingent sound,2,2,0.4135,0.9,0,
26,1,12,deterministic,sequence concealed,contingent sound,4,5,0.3151,0.9,1,
26,1,13,deterministic,sequence concealed,contingent sound,6,6,0.3041,0.9,0,
26,1,14,deterministic,sequence concealed,contingent sound,1,1,0.2732,0.9,0,
26,1,15,deterministic,sequence concealed,contingent sound,2,2,0.3151,0.9,0,
26,1,16,deterministic,sequence concealed,contingent sound,5,5,0.2453,0.9,0,
26,1,17,deterministic,sequence concealed,contingent sound,1,1,0.3569,0.9,0,
26,1,18,deterministic,sequence concealed,contingent sound,4,5,0.343,0.9,1,
26,1,19,deterministic,sequence concealed,contingent sound,3,3,0.325,0.9,0,
26,1,20,deterministic,sequence concealed,contingent sound,2,2,0.3575,0.9,0,
26,1,21,deterministic,sequence concealed,contingent sound,1,1,0.329,0.9,0,
26,1,22,deterministic,sequence concealed,contingent sound,3,3,0.4337,0.9,0,
26,1,23,deterministic,sequence concealed,contingent sound,6,5,0.2801,0.9,1,
26,1,24,deterministic,sequence concealed,contingent sound,4,5,0.325,0.9,1,
26,1,25,deterministic,sequence concealed,contingent sound,1,1,0.4505,0.8,0,
26,1,26,deterministic,sequence concealed,contingent sound,5,5,0.329,0.8,0,
26,1,27,deterministic,sequence concealed,contingent sound,4,6,-0.1872,0.8,1,
26,1,28,deterministic,sequence concealed,contingent sound,2,2,0.3235,0.8,0,
26,1,29,deterministic,sequence concealed,contingent sound,3,3,0.3778,0.8,0,
26,1,30,deterministic,sequence concealed,contingent sound,4,4,0.3289,0.8,0,
26,1,31,deterministic,sequence concealed,contingent sound,5,5,0.2313,0.8,0,
26,1,32,deterministic,sequence concealed,contingent sound,6,6,0.2313,0.8,0,
26,1,33,deterministic,sequence concealed,contingent sound,3,3,0.3777,0.8,0,
26,1,34,deterministic,sequence concealed,contingent sound,5,4,0.2598,0.8,1,
26,1,35,deterministic,sequence concealed,contingent sound,2,2,0.2901,0.8,0,
26,1,36,deterministic,sequence concealed,contingent sound,6,6,0.2523,0.8,0,
26,1,37,deterministic,sequence concealed,contingent sound,5,5,0.301,0.8,0,
26,1,38,deterministic,sequence concealed,contingent sound,3,3,0.3639,0.8,0,
26,1,39,deterministic,sequence concealed,contingent sound,1,1,0.3708,0.8,0,
26,1,40,deterministic,sequence concealed,contingent sound,6,6,0.3219,0.8,0,
26,1,41,deterministic,sequence concealed,contingent sound,2,2,0.2942,0.8,0,
26,1,42,deterministic,sequence concealed,contingent sound,4,4,0.4055,0.8,0,
26,1,43,deterministic,sequence concealed,contingent sound,6,5,0.2873,0.8,1,
26,1,44,deterministic,sequence concealed,contingent sound,1,1,0.248,0.8,0,
26,1,45,deterministic,sequence concealed,contingent sound,2,2,0.4127,0.8,0,
26,1,46,deterministic,sequence concealed,contingent sound,5,5,0.4196,0.8,0,
26,1,47,deterministic,sequence concealed,contingent sound,1,1,0.3567,0.8,0,
26,1,48,deterministic,sequence concealed,contingent sound,4,5,0.3222,0.8,1,
26,1,49,deterministic,sequence concealed,contingent sound,3,2,0.2798,0.7,1,
26,1,50,deterministic,sequence concealed,contingent sound,2,2,0.2833,0.7,0,
26,1,51,deterministic,sequence concealed,contingent sound,1,2,-0.1452,0.7,1,
26,1,52,deterministic,sequence concealed,contingent sound,3,3,0.7418,0.7,0,
26,1,53,deterministic,sequence concealed,contingent sound,6,6,0.3151,0.7,0,
26,1,54,deterministic,sequence concealed,contingent sound,4,3,0.35,0.7,1,
26,1,55,deterministic,sequence concealed,contingent sound,1,1,0.2873,0.7,0,
26,1,56,deterministic,sequence concealed,contingent sound,5,4,0.3082,0.7,1,
26,1,57,deterministic,sequence concealed,contingent sound,4,4,0.3945,0.7,0,
26,1,58,deterministic,sequence concealed,contingent sound,2,2,0.2732,0.7,0,
26,1,59,deterministic,sequence concealed,contingent sound,3,3,0.643,0.7,0,
26,1,60,deterministic,sequence concealed,contingent sound,4,5,0.2667,0.7,1,
26,1,61,deterministic,sequence concealed,contingent sound,5,5,0.2412,0.7,0,
26,1,62,deterministic,sequence concealed,contingent sound,6,6,0.3011,0.7,0,
26,1,63,deterministic,sequence concealed,contingent sound,3,3,0.3639,0.7,0,
26,1,64,deterministic,sequence concealed,contingent sound,5,5,0.2731,0.7,0,
26,1,65,deterministic,sequence concealed,contingent sound,2,3,0.2384,0.7,1,
26,1,66,deterministic,sequence concealed,contingent sound,6,5,0.3463,0.7,1,
26,1,67,deterministic,sequence concealed,contingent sound,5,4,0.3635,0.7,1,
26,1,68,deterministic,sequence concealed,contingent sound,3,3,0.3395,0.7,0,
26,1,69,deterministic,sequence concealed,contingent sound,1,1,0.2734,0.7,0,
26,1,70,deterministic,sequence concealed,contingent sound,6,6,0.3082,0.7,0,
26,1,71,deterministic,sequence concealed,contingent sound,2,2,0.4335,0.7,0,
26,1,72,deterministic,sequence concealed,contingent sound,4,4,0.3502,0.7,0,
26,1,73,deterministic,sequence concealed,contingent sound,6,6,0.2943,0.6,0,
26,1,74,deterministic,sequence concealed,contingent sound,1,1,0.3151,0.6,0,
26,1,75,deterministic,sequence concealed,contingent sound,2,1,0.329,0.6,1,
26,1,76,deterministic,sequence concealed,contingent sound,5,6,0.3247,0.6,1,
26,1,77,deterministic,sequence concealed,contingent sound,1,1,0.2972,0.6,0,
26,1,78,deterministic,sequence concealed,contingent sound,4,5,0.2942,0.6,1,
26,1,79,deterministic,sequence concealed,contingent sound,3,3,0.3806,0.6,0,
26,1,80,deterministic,sequence concealed,contingent sound,2,2,0.329,0.6,0,
26,1,81,deterministic,sequence concealed,contingent sound,1,1,0.3289,0.6,0,
26,1,82,deterministic,sequence concealed,contingent sound,3,4,0.4057,0.6,1,
26,1,83,deterministic,sequence concealed,contingent sound,6,6,0.3463,0.6,0,
26,1,84,deterministic,sequence concealed,contingent sound,4,4,0.3638,0.6,0,
26,1,85,deterministic,sequence concealed,contingent sound,1,1,0.2873,0.6,0,
26,1,86,deterministic,sequence concealed,contingent sound,5,5,0.3081,0.6,0,
26,1,87,deterministic,sequence concealed,contingent sound,4,2,0.2313,0.6,1,
26,1,88,deterministic,sequence concealed,contingent sound,2,2,0.2759,0.6,0,
26,1,89,deterministic,sequence concealed,contingent sound,3,3,0.3289,0.6,0,
26,1,90,deterministic,sequence concealed,contingent sound,4,4,0.4057,0.6,0,
26,1,91,deterministic,sequence concealed,contingent sound,5,5,0.2732,0.6,0,
26,1,92,deterministic,sequence concealed,contingent sound,6,6,0.3291,0.6,0,
26,1,93,deterministic,sequence concealed,contingent sound,3,3,0.3499,0.6,0,
26,1,94,deterministic,sequence concealed,contingent sound,5,5,0.3499,0.6,0,
26,1,95,deterministic,sequence concealed,contingent sound,2,2,0.301,0.6,0,
26,1,96,deterministic,sequence concealed,contingent sound,6,6,0.2662,0.6,0,
26,1,97,deterministic,sequence concealed,contingent sound,5,5,0.5039,0.5,0,
26,1,98,deterministic,sequence concealed,contingent sound,3,2,0.2436,0.5,1,
26,1,99,deterministic,sequence concealed,contingent sound,1,1,0.3216,0.5,0,
26,1,100,deterministic,sequence concealed,contingent sound,6,6,0.308,0.5,0,
26,1,101,deterministic,sequence concealed,contingent sound,2,2,0.2876,0.5,0,
26,1,102,deterministic,sequence concealed,contingent sound,4,4,0.2591,0.5,0,
26,1,103,deterministic,sequence concealed,contingent sound,6,5,0.2801,0.5,1,
26,1,104,deterministic,sequence concealed,contingent sound,1,1,0.2796,0.5,0,
26,1,105,deterministic,sequence concealed,contingent sound,2,2,0.336,0.5,0,
26,1,106,deterministic,sequence concealed,contingent sound,5,6,0.3291,0.5,1,
26,1,107,deterministic,sequence concealed,contingent sound,1,1,0.3217,0.5,0,
26,1,108,deterministic,sequence concealed,contingent sound,4,3,0.2942,0.5,1,
26,1,109,deterministic,sequence concealed,contingent sound,3,3,0.2969,0.5,0,
26,1,110,deterministic,sequence concealed,contingent sound,2,2,0.3291,0.5,0,
26,1,111,deterministic,sequence concealed,contingent sound,1,1,0.301,0.5,0,
26,1,112,deterministic,sequence concealed,contingent sound,3,3,0.3222,0.5,0,
26,1,113,deterministic,sequence concealed,contingent sound,6,6,0.3777,0.5,0,
26,1,114,deterministic,sequence concealed,contingent sound,4,4,0.3292,0.5,0,
26,1,115,deterministic,sequence concealed,contingent sound,1,1,0.2802,0.5,0,
26,1,116,deterministic,sequence concealed,contingent sound,5,4,0.2384,0.5,1,
26,1,117,deterministic,sequence concealed,contingent sound,4,5,0.2588,0.5,1,
26,1,118,deterministic,sequence concealed,contingent sound,2,2,0.2522,0.5,0,
26,1,119,deterministic,sequence concealed,contingent sound,3,4,0.3081,0.5,1,
26,1,120,deterministic,sequence concealed,contingent sound,4,5,0.3006,0.5,1,
26,1,121,deterministic,sequence concealed,contingent sound,5,5,0.3497,0.5,0,
26,1,122,deterministic,sequence concealed,contingent sound,6,6,0.2944,0.5,0,
26,1,123,deterministic,sequence concealed,contingent sound,3,3,0.2664,0.5,0,
26,1,124,deterministic,sequence concealed,contingent sound,5,5,0.2798,0.5,0,
26,1,125,deterministic,sequence concealed,contingent sound,2,1,0.3013,0.5,1,
26,1,126,deterministic,sequence concealed,contingent sound,6,6,0.3391,0.5,0,
26,1,127,deterministic,sequence concealed,contingent sound,5,5,0.3081,0.5,0,
26,1,128,deterministic,sequence concealed,contingent sound,3,2,0.2593,0.5,1,
26,1,129,deterministic,sequence concealed,contingent sound,1,1,0.2866,0.5,0,
26,1,130,deterministic,sequence concealed,contingent sound,6,6,0.3151,0.5,0,
26,1,131,deterministic,sequence concealed,contingent sound,2,2,0.2661,0.5,0,
26,1,132,deterministic,sequence concealed,contingent sound,4,4,0.3151,0.5,0,
26,1,133,deterministic,sequence concealed,contingent sound,6,5,0.2454,0.5,1,
26,1,134,deterministic,sequence concealed,contingent sound,1,1,0.2622,0.5,0,
26,1,135,deterministic,sequence concealed,contingent sound,2,2,0.2871,0.5,0,
26,1,136,deterministic,sequence concealed,contingent sound,5,5,0.3848,0.5,0,
26,1,137,deterministic,sequence concealed,contingent sound,1,2,0.3714,0.5,1,
26,1,138,deterministic,sequence concealed,contingent sound,4,3,0.2727,0.5,1,
26,1,139,deterministic,sequence concealed,contingent sound,3,3,0.2937,0.5,0,
26,1,140,deterministic,sequence concealed,contingent sound,2,2,0.3503,0.5,0,
26,1,141,deterministic,sequence concealed,contingent sound,1,1,0.2663,0.5,0,
26,1,142,deterministic,sequence concealed,contingent sound,3,3,0.4754,0.5,0,
26,1,143,deterministic,sequence concealed,contingent sound,6,6,0.3499,0.5,0,
26,1,144,deterministic,sequence concealed,contingent sound,4,4,0.2941,0.5,0,
26,2,145,deterministic,sequence concealed,contingent sound,1,1,0.2622,0.5,0,
26,2,146,deterministic,sequence concealed,contingent sound,5,5,0.2734,0.5,0,
26,2,147,deterministic,sequence concealed,contingent sound,4,3,0.3151,0.5,1,
26,2,148,deterministic,sequence concealed,contingent sound,2,2,0.297,0.5,0,
26,2,149,deterministic,sequence concealed,contingent sound,3,4,0.2523,0.5,1,
26,2,150,deterministic,sequence concealed,contingent sound,4,4,0.2482,0.5,0,
26,2,151,deterministic,sequence concealed,contingent sound,5,5,0.2313,0.5,0,
26,2,152,deterministic,sequence concealed,contingent sound,6,6,0.2384,0.5,0,
26,2,153,deterministic,sequence concealed,contingent sound,3,3,0.3501,0.5,0,
26,2,154,deterministic,sequence concealed,contingent sound,5,5,0.336,0.5,0,
26,2,155,deterministic,sequence concealed,contingent sound,2,2,0.3639,0.5,0,
26,2,156,deterministic,sequence concealed,contingent sound,6,6,0.3501,0.5,0,
26,2,157,deterministic,sequence concealed,contingent sound,5,4,0.301,0.5,1,
26,2,158,deterministic,sequence concealed,contingent sound,3,3,0.2799,0.5,0,
26,2,159,deterministic,sequence concealed,contingent sound,1,1,0.3497,0.5,0,
26,2,160,deterministic,sequence concealed,contingent sound,6,5,0.2663,0.5,1,
26,2,161,deterministic,sequence concealed,contingent sound,2,2,0.2901,0.5,0,
26,2,162,deterministic,sequence concealed,contingent sound,4,5,0.2876,0.5,1,
26,2,163,deterministic,sequence concealed,contingent sound,6,6,0.3076,0.5,0,
26,2,164,deterministic,sequence concealed,contingent sound,1,1,0.3081,0.5,0,
26,2,165,deterministic,sequence concealed,contingent sound,2,2,0.3361,0.5,0,
26,2,166,deterministic,sequence concealed,contingent sound,5,5,0.3778,0.5,0,
26,2,167,deterministic,sequence concealed,contingent sound,1,1,0.4061,0.5,0,
26,2,168,deterministic,sequence concealed,contingent sound,4,4,0.4057,0.5,0,
26,2,169,deterministic,sequence concealed,contingent sound,3,3,0.2524,0.5,0,
26,2,170,deterministic,sequence concealed,contingent sound,2,2,0.3151,0.5,0,
26,2,171,deterministic,sequence concealed,contingent sound,1,1,0.2384,0.5,0,
26,2,172,deterministic,sequence concealed,contingent sound,3,3,0.5037,0.5,0,
26,2,173,deterministic,sequence concealed,contingent sound,6,6,0.3267,0.5,0,
26,2,174,deterministic,sequence concealed,contingent sound,4,4,0.35,0.5,0,
26,2,175,deterministic,sequence concealed,contingent sound,1,1,0.3081,0.5,0,
26,2,176,deterministic,sequence concealed,contingent sound,5,5,0.3569,0.5,0,
26,2,177,deterministic,sequence concealed,contingent sound,4,5,0.4336,0.5,1,
26,2,178,deterministic,sequence concealed,contingent sound,2,2,0.3666,0.5,0,
26,2,179,deterministic,sequence concealed,contingent sound,3,3,0.392,0.5,0,
26,2,180,deterministic,sequence concealed,contingent sound,4,4,0.2593,0.5,0,
26,2,181,deterministic,sequence concealed,contingent sound,5,5,0.2731,0.5,0,
26,2,182,deterministic,sequence concealed,contingent sound,6,5,-0.1104,0.5,1,
26,2,183,deterministic,sequence concealed,contingent sound,3,2,0.3232,0.5,1,
26,2,184,deterministic,sequence concealed,contingent sound,5,4,0.4266,0.5,1,
26,2,185,deterministic,sequence concealed,contingent sound,2,2,0.3564,0.5,0,
26,2,186,deterministic,sequence concealed,contingent sound,6,6,0.2876,0.5,0,
26,2,187,deterministic,sequence concealed,contingent sound,5,4,0.322,0.5,1,
26,2,188,deterministic,sequence concealed,contingent sound,3,3,0.3285,0.5,0,
26,2,189,deterministic,sequence concealed,contingent sound,1,1,0.2729,0.5,0,
