subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,vm_pos,vm_neg,vm_dk, vm_neither,time_vm,time_blank
1,15,a,EC_only,nonword,0,tafta,none,filler,no,no,no,yes,1476075,1477460
1,15,a,EC_only,nonword,1,babit,negative,critical,no,yes,no,no,1478493,1479402
1,15,a,EC_only,nonword,2,roosle,negative,critical,no,no,yes,no,1480435,1480902
1,15,a,EC_only,nonword,3,tavoo,none,filler,no,yes,no,no,1481935,1482254
1,15,a,EC_only,nonword,4,trelle,negative,critical,no,no,yes,no,1483288,1483586
1,15,a,EC_only,nonword,5,coskie,positive,control,no,no,no,yes,1484624,1484921
1,15,a,EC_only,nonword,6,makan,none,filler,no,no,yes,no,1485954,1486224
1,15,a,EC_only,nonword,7,avouco,positive,critical,yes,no,no,no,1487257,1487625
1,15,a,EC_only,nonword,8,seloom,positive,critical,no,no,no,yes,1488657,1488950
1,15,a,EC_only,nonword,9,hesire,positive,critical,no,yes,no,no,1489983,1490257
1,15,a,EC_only,nonword,10,zillie,none,filler,no,no,yes,no,1491289,1491556
1,15,a,EC_only,nonword,11,naptor,none,filler,yes,no,no,no,1492588,1492861
1,15,a,EC_only,nonword,12,pubio,none,filler,no,no,no,yes,1493893,1494192
1,15,a,EC_only,nonword,13,parlic,negative,critical,no,yes,no,no,1495224,1495494
1,15,a,EC_only,nonword,14,lobee,negative,control,no,no,yes,no,1496537,1496808
1,15,a,EC_only,nonword,15,altine,positive,critical,yes,no,no,no,1497840,1498111
