subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
2,19,b,EC_subj_obj,pokemon,0,24_mittel.png,positive,critical,13,2485001,2489817
2,19,b,EC_subj_obj,pokemon,1,4_mittel.png,negative,critical,5,2490849,2493394
2,19,b,EC_subj_obj,pokemon,2,22_mittel.png,negative,control,10,2494426,2495746
2,19,b,EC_subj_obj,pokemon,3,23_mittel.png,positive,critical,13,2496779,2498830
2,19,b,EC_subj_obj,pokemon,4,25_mittel.png,none,filler,4,2499861,2503367
2,19,b,EC_subj_obj,pokemon,5,2_mittel.png,none,filler,17,2504399,2506840
2,19,b,EC_subj_obj,pokemon,6,9_mittel.png,positive,critical,11,2507873,2510156
2,19,b,EC_subj_obj,pokemon,7,40_mittel.png,negative,critical,15,2511187,2512823
2,19,b,EC_subj_obj,pokemon,8,15_mittel.png,none,filler,10,2513854,2516216
2,19,b,EC_subj_obj,pokemon,9,18_mittel.png,none,filler,15,2517247,2520007
2,19,b,EC_subj_obj,pokemon,10,11_mittel.png,negative,critical,4,2521039,2533645
2,19,b,EC_subj_obj,pokemon,11,5_mittel.png,negative,critical,7,2534676,2543025
2,19,b,EC_subj_obj,pokemon,12,10_mittel.png,none,filler,15,2544057,2545917
2,19,b,EC_subj_obj,pokemon,13,37_mittel.png,none,filler,13,2546949,2548956
2,19,b,EC_subj_obj,pokemon,14,39_mittel.png,positive,critical,15,2549987,2570521
2,19,b,EC_subj_obj,pokemon,15,16_mittel.png,positive,control,11,2571552,2576017
