subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
97,19,a,EC_only,pokemon,0,22_mittel.png,negative,control,12,1486307,1489320
97,19,a,EC_only,pokemon,1,15_mittel.png,none,filler,13,1490371,1491537
97,19,a,EC_only,pokemon,2,2_mittel.png,none,filler,13,1492569,1493783
97,19,a,EC_only,pokemon,3,10_mittel.png,none,filler,14,1494815,1496048
97,19,a,EC_only,pokemon,4,18_mittel.png,none,filler,9,1497080,1498803
97,19,a,EC_only,pokemon,5,23_mittel.png,positive,critical,11,1499836,1501327
97,19,a,EC_only,pokemon,6,40_mittel.png,negative,critical,13,1502359,1503887
97,19,a,EC_only,pokemon,7,25_mittel.png,none,filler,15,1504920,1506257
97,19,a,EC_only,pokemon,8,5_mittel.png,negative,critical,15,1507288,1508673
97,19,a,EC_only,pokemon,9,11_mittel.png,negative,critical,11,1509704,1511172
97,19,a,EC_only,pokemon,10,24_mittel.png,positive,critical,12,1512203,1514171
97,19,a,EC_only,pokemon,11,9_mittel.png,positive,critical,11,1515204,1519383
97,19,a,EC_only,pokemon,12,16_mittel.png,positive,control,11,1520415,1521433
97,19,a,EC_only,pokemon,13,4_mittel.png,negative,critical,14,1522465,1523741
97,19,a,EC_only,pokemon,14,37_mittel.png,none,filler,15,1524774,1526626
97,19,a,EC_only,pokemon,15,39_mittel.png,positive,critical,15,1527658,1530259
