subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,vm_pos,vm_neg,vm_dk, vm_neither,time_vm,time_blank
84,19,a,EC_only,pokemon,0,25_mittel.png,none,filler,no,no,yes,no,1494683,1496929
84,19,a,EC_only,pokemon,1,23_mittel.png,positive,critical,yes,no,no,no,1497963,1500186
84,19,a,EC_only,pokemon,2,4_mittel.png,negative,critical,no,no,no,yes,1501219,1502151
84,19,a,EC_only,pokemon,3,18_mittel.png,none,filler,no,no,yes,no,1503184,1504068
84,19,a,EC_only,pokemon,4,5_mittel.png,negative,critical,no,no,yes,no,1505101,1505787
84,19,a,EC_only,pokemon,5,2_mittel.png,none,filler,yes,no,no,no,1506820,1508182
84,19,a,EC_only,pokemon,6,39_mittel.png,positive,critical,no,yes,no,no,1509215,1510466
84,19,a,EC_only,pokemon,7,22_mittel.png,negative,control,yes,no,no,no,1511498,1513667
84,19,a,EC_only,pokemon,8,40_mittel.png,negative,critical,no,no,no,yes,1514705,1516221
84,19,a,EC_only,pokemon,9,15_mittel.png,none,filler,no,no,yes,no,1517254,1518434
84,19,a,EC_only,pokemon,10,37_mittel.png,none,filler,no,no,yes,no,1519467,1520561
84,19,a,EC_only,pokemon,11,16_mittel.png,positive,control,no,no,yes,no,1521594,1522482
84,19,a,EC_only,pokemon,12,10_mittel.png,none,filler,no,yes,no,no,1523515,1526031
84,19,a,EC_only,pokemon,13,9_mittel.png,positive,critical,no,no,yes,no,1527064,1528122
84,19,a,EC_only,pokemon,14,11_mittel.png,negative,critical,no,no,yes,no,1529155,1531389
84,19,a,EC_only,pokemon,15,24_mittel.png,positive,critical,no,no,no,yes,1532421,1533681
