subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
84,19,a,EC_only,pokemon,0,16_mittel.png,positive,control,10,1428897,1431828
84,19,a,EC_only,pokemon,1,24_mittel.png,positive,critical,10,1432859,1434004
84,19,a,EC_only,pokemon,2,40_mittel.png,negative,critical,12,1435036,1437740
84,19,a,EC_only,pokemon,3,2_mittel.png,none,filler,14,1438772,1440355
84,19,a,EC_only,pokemon,4,25_mittel.png,none,filler,15,1441387,1442838
84,19,a,EC_only,pokemon,5,11_mittel.png,negative,critical,15,1443871,1446126
84,19,a,EC_only,pokemon,6,22_mittel.png,negative,control,17,1447159,1448844
84,19,a,EC_only,pokemon,7,9_mittel.png,positive,critical,14,1449876,1451244
84,19,a,EC_only,pokemon,8,4_mittel.png,negative,critical,15,1452276,1453553
84,19,a,EC_only,pokemon,9,5_mittel.png,negative,critical,15,1454586,1455576
84,19,a,EC_only,pokemon,10,37_mittel.png,none,filler,17,1456607,1458145
84,19,a,EC_only,pokemon,11,10_mittel.png,none,filler,13,1459176,1461394
84,19,a,EC_only,pokemon,12,15_mittel.png,none,filler,10,1462425,1463513
84,19,a,EC_only,pokemon,13,23_mittel.png,positive,critical,14,1464545,1466250
84,19,a,EC_only,pokemon,14,39_mittel.png,positive,critical,14,1467281,1468425
84,19,a,EC_only,pokemon,15,18_mittel.png,none,filler,11,1469456,1471442
