subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,vm_pos,vm_neg,vm_dk, vm_neither,time_vm,time_blank
102,15,b,EC_subj_obj,nonword,0,coskie,positive,control,yes,no,no,no,1769004,1772879
102,15,b,EC_subj_obj,nonword,1,naptor,none,filler,no,yes,no,no,1773912,1775989
102,15,b,EC_subj_obj,nonword,2,roosle,negative,critical,no,no,yes,no,1777023,1778402
102,15,b,EC_subj_obj,nonword,3,makan,none,filler,no,no,yes,no,1779436,1780395
102,15,b,EC_subj_obj,nonword,4,hesire,positive,critical,no,no,yes,no,1781428,1785549
102,15,b,EC_subj_obj,nonword,5,tavoo,none,filler,no,no,no,yes,1786582,1790086
102,15,b,EC_subj_obj,nonword,6,avouco,positive,critical,no,no,yes,no,1791120,1792585
102,15,b,EC_subj_obj,nonword,7,babit,negative,critical,yes,no,no,no,1793619,1795534
102,15,b,EC_subj_obj,nonword,8,trelle,negative,critical,yes,no,no,no,1796566,1797844
102,15,b,EC_subj_obj,nonword,9,seloom,positive,critical,yes,no,no,no,1798885,1800238
102,15,b,EC_subj_obj,nonword,10,pubio,none,filler,no,no,no,yes,1801270,1802087
102,15,b,EC_subj_obj,nonword,11,lobee,negative,control,no,no,yes,no,1803120,1803858
102,15,b,EC_subj_obj,nonword,12,tafta,none,filler,no,no,yes,no,1804891,1805723
102,15,b,EC_subj_obj,nonword,13,altine,positive,critical,no,no,yes,no,1806755,1807788
102,15,b,EC_subj_obj,nonword,14,zillie,none,filler,no,yes,no,no,1808821,1809728
102,15,b,EC_subj_obj,nonword,15,parlic,negative,critical,no,no,yes,no,1810761,1811876
