subject_nr,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,correct_opt,correct_type,im_opt_1, im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,time_im,time_blank
97,EC_only,pokemon,0,5_mittel.png,negative,critical,9561.png,picture,9400.png,6555.png,9561.png,Eiter,Mühe,Not,picture,picture,picture,word,word,word,no,no,no,no,no,no,1589459,1596581
97,EC_only,pokemon,1,22_mittel.png,negative,control,9830.png,picture,9830.png,9432.png,9102.png,Folter,Mord,Tyrann,picture,picture,picture,word,word,word,no,no,no,yes,no,no,1597621,1605655
97,EC_only,pokemon,2,4_mittel.png,negative,critical,Teufel,word,9421.png,9102.png,3220.png,Gewalt,Sucht,Teufel,picture,picture,picture,word,word,word,no,no,no,no,no,no,1606696,1612535
97,EC_only,pokemon,3,18_mittel.png,neutral,filler,Wand,word,neu1616.png,neu7187.png,neu7004.png,Sessel,Tuch,Wand,picture,picture,picture,word,word,word,no,yes,no,no,no,no,1613575,1618382
97,EC_only,pokemon,4,40_mittel.png,negative,critical,Ärger,word,9560.png,6020.png,2900.png,Abgas,Angst,Ärger,picture,picture,picture,word,word,word,no,yes,no,no,no,no,1619421,1623253
97,EC_only,pokemon,5,2_mittel.png,neutral,filler,neu5510.png,picture,neu7830.png,neu5510.png,neu5740.png,Taste,Bein,Schrank,picture,picture,picture,word,word,word,no,no,yes,no,no,no,1624293,1628293
97,EC_only,pokemon,6,24_mittel.png,positive,critical,7470.png,picture,5910.png,7470.png,2040.png,Himmel,Liebe,Mutter,picture,picture,picture,word,word,word,no,no,no,no,no,no,1629334,1634352
97,EC_only,pokemon,7,15_mittel.png,neutral,filler,Sessel,word,neu7830.png,neu7080.png,neu2487.png,Wand,Tuch,Sessel,picture,picture,picture,word,word,word,no,no,no,no,yes,no,1635393,1641404
97,EC_only,pokemon,8,11_mittel.png,negative,critical,9920.png,picture,2141.png,9007.png,9920.png,Sucht,Abscheu,Neid,picture,picture,picture,word,word,word,no,yes,no,no,no,no,1642452,1646997
97,EC_only,pokemon,9,25_mittel.png,neutral,filler,Linie,word,neu5510.png,neu7090.png,neu7080.png,Linie,Hand,Glas,picture,picture,picture,word,word,word,no,yes,no,no,no,no,1648037,1650385
97,EC_only,pokemon,10,37_mittel.png,neutral,filler,Knopf,word,neu7090.png,neu7004.png,neu7080.png,Kreis,Glas,Knopf,picture,picture,picture,word,word,word,no,no,no,no,no,no,1651425,1653478
97,EC_only,pokemon,11,16_mittel.png,positive,control,Kunst,word,2160.png,4220.png,2040.png,Kunst,Sommer,Scherz,picture,picture,picture,word,word,word,no,no,no,no,no,no,1654518,1656098
97,EC_only,pokemon,12,39_mittel.png,positive,critical,Kunst,word,2340.png,7330.png,5910.png,Freund,Kunst,Rose,picture,picture,picture,word,word,word,no,no,no,no,no,no,1657137,1664341
97,EC_only,pokemon,13,10_mittel.png,neutral,filler,neu7830.png,picture,neu7830.png,neu5731.png,neu2487.png,Tuch,Bein,Taste,picture,picture,picture,word,word,word,no,no,no,no,no,no,1665381,1667323
97,EC_only,pokemon,14,9_mittel.png,positive,critical,2660.png,picture,5831.png,1463.png,2660.png,Natur,Urlaub,Freund,picture,picture,picture,word,word,word,yes,no,no,no,no,no,1668362,1670290
97,EC_only,pokemon,15,23_mittel.png,positive,critical,Paradies,word,4606.png,2791.png,4622.png,Fete,Paradies,Wärme,picture,picture,picture,word,word,word,no,yes,no,no,no,no,1671330,1675887
