subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
102,15,b,EC_subj_obj,nonword,0,roosle,negative,critical,17,1696033,1699234
102,15,b,EC_subj_obj,nonword,1,lobee,negative,control,15,1700266,1703166
102,15,b,EC_subj_obj,nonword,2,makan,none,filler,7,1704198,1705771
102,15,b,EC_subj_obj,nonword,3,avouco,positive,critical,11,1706803,1708473
102,15,b,EC_subj_obj,nonword,4,altine,positive,critical,18,1709505,1711078
102,15,b,EC_subj_obj,nonword,5,pubio,none,filler,16,1712110,1713699
102,15,b,EC_subj_obj,nonword,6,parlic,negative,critical,17,1714731,1716291
102,15,b,EC_subj_obj,nonword,7,naptor,none,filler,13,1717323,1718790
102,15,b,EC_subj_obj,nonword,8,coskie,positive,control,12,1719821,1720798
102,15,b,EC_subj_obj,nonword,9,babit,negative,critical,10,1721829,1723864
102,15,b,EC_subj_obj,nonword,10,seloom,positive,critical,16,1724895,1726275
102,15,b,EC_subj_obj,nonword,11,hesire,positive,critical,12,1727306,1728898
102,15,b,EC_subj_obj,nonword,12,zillie,none,filler,11,1729929,1731387
102,15,b,EC_subj_obj,nonword,13,tafta,none,filler,15,1732418,1734402
102,15,b,EC_subj_obj,nonword,14,trelle,negative,critical,13,1735433,1736778
102,15,b,EC_subj_obj,nonword,15,tavoo,none,filler,13,1737809,1739883
