subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,vm_pos,vm_neg,vm_dk, vm_neither,time_vm,time_blank
2,19,b,EC_subj_obj,pokemon,0,39_mittel.png,positive,critical,no,no,yes,no,2665366,2674842
2,19,b,EC_subj_obj,pokemon,1,11_mittel.png,negative,critical,no,no,yes,no,2675875,2678615
2,19,b,EC_subj_obj,pokemon,2,5_mittel.png,negative,critical,no,no,yes,no,2679649,2681028
2,19,b,EC_subj_obj,pokemon,3,25_mittel.png,none,filler,no,no,yes,no,2682062,2683825
2,19,b,EC_subj_obj,pokemon,4,24_mittel.png,positive,critical,no,no,yes,no,2684858,2688094
2,19,b,EC_subj_obj,pokemon,5,2_mittel.png,none,filler,yes,no,no,no,2689127,2692343
2,19,b,EC_subj_obj,pokemon,6,15_mittel.png,none,filler,no,yes,no,no,2693375,2695892
2,19,b,EC_subj_obj,pokemon,7,18_mittel.png,none,filler,no,no,yes,no,2696929,2698552
2,19,b,EC_subj_obj,pokemon,8,37_mittel.png,none,filler,no,no,yes,no,2699584,2701864
2,19,b,EC_subj_obj,pokemon,9,10_mittel.png,none,filler,no,no,no,yes,2702897,2705211
2,19,b,EC_subj_obj,pokemon,10,22_mittel.png,negative,control,no,no,no,yes,2706243,2707166
2,19,b,EC_subj_obj,pokemon,11,4_mittel.png,negative,critical,no,yes,no,no,2708198,2709984
2,19,b,EC_subj_obj,pokemon,12,40_mittel.png,negative,critical,no,no,yes,no,2711017,2712338
2,19,b,EC_subj_obj,pokemon,13,23_mittel.png,positive,critical,no,no,yes,no,2713370,2714497
2,19,b,EC_subj_obj,pokemon,14,16_mittel.png,positive,control,no,no,no,yes,2715530,2718671
2,19,b,EC_subj_obj,pokemon,15,9_mittel.png,positive,critical,no,no,yes,no,2719703,2720786
