subject_nr,color_counter,target_color,target_role,target_1,target_2,target_3,target_4,eval_rating, trial_nr,time_rate_form,time_rate_delay
27,ES_yellow,green,starting_scream,IAT_green3.bmp,IAT_green4.bmp,IAT_green1.bmp,IAT_green2.bmp,3,0,2442029,2457063
27,ES_yellow,purple,ending_melody,IAT_purple3.bmp,IAT_purple2.bmp,IAT_purple4.bmp,IAT_purple1.bmp,3,1,2459343,2467608
27,ES_yellow,yellow,ending_scream,IAT_yellow4.bmp,IAT_yellow1.bmp,IAT_yellow2.bmp,IAT_yellow3.bmp,4,2,2469888,2479916
27,ES_yellow,red,starting_melody,IAT_red3.bmp,IAT_red4.bmp,IAT_red1.bmp,IAT_red2.bmp,7,3,2482196,2485598
