subject_nr,target,target_role,start_melody,end_melody,start_scream,end_scream,trial_nr,time_mem_form,time_mem_delay
15,grünen Wesen,starting_scream,no,no,yes,no,0,2686044,2696540
15,roten Wesen,starting_melody,yes,no,no,no,1,2698818,2703712
15,gelben Wesen,ending_scream,no,no,no,yes,2,2705989,2721490
15,lila Wesen,ending_melody,no,yes,no,no,3,2723767,2736433
