subject_nr,frage,yes,no,time_form,time_delay
41,schrei_beenden_positiv,yes,no,2421953,2425360
41,musik_beenden_negativ,no,yes,2427360,2431277
41,kopfhoerer_abgesetzt,no,yes,2433277,2437239
