subject_nr,frage,yes,no,time_form,time_delay
66,schrei_beenden_positiv,yes,no,2436768,2440372
66,musik_beenden_negativ,yes,no,2442372,2444475
66,kopfhoerer_abgesetzt,no,yes,2446475,2450171
