subject_nr,frage,yes,no,time_form,time_delay
108,schrei_beenden_positiv,yes,no,2474999,2477523
108,musik_beenden_negativ,yes,no,2479523,2483067
108,kopfhoerer_abgesetzt,no,yes,2485067,2489114
