subject_nr,frage,yes,no,time_form,time_delay
44,schrei_beenden_positiv,yes,no,2577173,2580944
44,musik_beenden_negativ,yes,no,2582944,2585812
44,kopfhoerer_abgesetzt,no,yes,2587812,2593604
