subject_nr,frage,yes,no,time_form,time_delay
83,schrei_beenden_positiv,yes,no,2493196,2497522
83,musik_beenden_negativ,yes,no,2499522,2504614
83,kopfhoerer_abgesetzt,no,yes,2506614,2512210
