subject_nr,frage,yes,no,time_form,time_delay
61,schrei_beenden_positiv,yes,no,2561738,2567056
61,musik_beenden_negativ,no,yes,2569056,2576453
61,kopfhoerer_abgesetzt,no,yes,2578453,2584719
