subject_nr,frage,yes,no,time_form,time_delay
94,schrei_beenden_positiv,yes,no,2422675,2425021
94,musik_beenden_negativ,yes,no,2427021,2429261
94,kopfhoerer_abgesetzt,no,yes,2431261,2433834
