subject_nr,frage,yes,no,time_form,time_delay
60,schrei_beenden_positiv,yes,no,2488439,2491893
60,musik_beenden_negativ,no,yes,2493893,2498063
60,kopfhoerer_abgesetzt,yes,no,2500063,2504733
