subject_nr,frage,yes,no,time_form,time_delay
72,schrei_beenden_positiv,yes,no,2435294,2438054
72,musik_beenden_negativ,yes,no,2440055,2443145
72,kopfhoerer_abgesetzt,no,yes,2445145,2450335
