subject_nr,target,target_role,start_melody,end_melody,start_scream,end_scream,trial_nr,time_mem_form,time_mem_delay
9,grünen Wesen,ending_melody,no,yes,no,no,0,3230430,3238095
9,roten Wesen,ending_scream,no,no,no,yes,1,3240373,3249287
9,gelben Wesen,starting_scream,no,no,yes,no,2,3251564,3255989
9,lila Wesen,starting_melody,yes,no,no,no,3,3258266,3263460
