subject_nr,target,target_role,start_melody,end_melody,start_scream,end_scream,trial_nr,time_mem_form,time_mem_delay
96,grünen Wesen,starting_melody,yes,no,no,no,0,2391813,2396824
96,gelben Wesen,ending_melody,no,yes,no,no,1,2399102,2400853
96,roten Wesen,starting_scream,no,no,yes,no,2,2403130,2404810
96,lila Wesen,ending_scream,no,no,no,yes,3,2407091,2408669
