subject_nr,frage,yes,no,time_form,time_delay
48,schrei_beenden_positiv,yes,no,2466892,2471345
48,musik_beenden_negativ,yes,no,2473345,2476692
48,kopfhoerer_abgesetzt,no,yes,2478692,2483617
